,0CAC FP Equity_PX_LAST
2025-07-17,100.86
2025-07-18,100.94
2025-07-21,100.56
2025-07-22,99.82
2025-07-23,101.38
2025-07-24,100.94
2025-07-25,101.26
2025-07-28,100.64
2025-07-29,101.3
2025-07-30,101.6
2025-07-31,100.44
2025-08-01,97.48
2025-08-04,98.45
2025-08-05,98.44
2025-08-06,98.56
2025-08-07,99.47
2025-08-08,100.04
2025-08-11,99.33
2025-08-12,100.1
2025-08-13,100.86
2025-08-14,101.44
2025-08-15,102.26
2025-08-18,101.68
2025-08-19,102.98
2025-08-20,102.9
2025-08-21,102.42
2025-08-22,102.94
2025-08-25,101.18
2025-08-26,99.68
2025-08-27,99.94
2025-08-28,100.22
2025-08-29,99.47
