,AEUSE FP Equity_PX_LAST
2025-01-16,10.058
2025-01-17,10.138
2025-01-20,10.146
2025-01-21,10.174
2025-01-22,10.21
2025-01-23,10.254
2025-01-24,10.274
2025-01-27,10.274
2025-01-28,10.334
2025-01-29,10.356
2025-01-30,10.438
2025-01-31,10.452
2025-02-03,10.34
2025-02-04,10.348
2025-02-05,10.39
2025-02-06,10.536
2025-02-07,10.492
2025-02-10,10.558
2025-02-11,10.572
2025-02-12,10.57
2025-02-13,10.694
2025-02-14,10.668
2025-02-17,10.718
2025-02-18,10.758
2025-02-19,10.662
2025-02-20,10.66
2025-02-21,10.722
2025-02-24,10.698
2025-02-25,10.718
2025-02-26,10.81
2025-02-27,10.74
2025-02-28,10.726
2025-03-03,10.832
2025-03-04,10.598
2025-03-05,10.686
2025-03-06,10.702
2025-03-07,10.654
2025-03-10,10.516
2025-03-11,10.348
2025-03-12,10.408
2025-03-13,10.392
2025-03-14,10.494
2025-03-17,10.578
2025-03-18,10.632
2025-03-19,10.664
2025-03-20,10.616
2025-03-21,10.546
2025-03-24,10.548
2025-03-25,10.592
2025-03-26,10.504
2025-03-27,10.464
2025-03-28,10.42
2025-03-31,10.244
2025-04-01,10.358
2025-04-02,10.288
2025-04-03,10.058
2025-04-04,9.609
2025-04-07,9.153
2025-04-08,9.383
2025-04-09,9.061
2025-04-10,9.421
2025-04-11,9.397
2025-04-14,9.639
2025-04-15,9.795
2025-04-16,9.766
2025-04-17,9.755
2025-04-22,9.721
2025-04-23,9.943
2025-04-24,10.024
2025-04-25,10.052
2025-04-28,10.126
2025-04-29,10.156
2025-04-30,10.202
2025-05-02,10.408
2025-05-05,10.436
2025-05-06,10.4
2025-05-07,10.366
2025-05-08,10.388
2025-05-09,10.438
2025-05-12,10.58
2025-05-13,10.584
2025-05-14,10.55
2025-05-15,10.624
2025-05-16,10.654
2025-05-19,10.702
2025-05-20,10.796
2025-05-21,10.798
2025-05-22,10.73
2025-05-23,10.634
2025-05-26,10.76
2025-05-27,10.788
2025-05-28,10.706
2025-05-29,10.682
2025-05-30,10.696
2025-06-02,10.682
2025-06-03,10.662
2025-06-04,10.736
2025-06-05,10.748
2025-06-06,10.792
2025-06-09,10.774
2025-06-10,10.772
2025-06-11,10.746
2025-06-12,10.7
2025-06-13,10.57
2025-06-16,10.628
2025-06-17,10.52
2025-06-18,10.462
2025-06-19,10.376
2025-06-20,10.324
2025-06-23,10.356
2025-06-24,10.488
2025-06-25,10.398
2025-06-26,10.398
2025-06-27,10.51
2025-06-30,10.476
2025-07-01,10.468
2025-07-02,10.444
2025-07-03,10.49
2025-07-04,10.444
2025-07-07,10.478
2025-07-08,10.518
2025-07-09,10.592
2025-07-10,10.656
2025-07-11,10.51
2025-07-14,10.506
2025-07-15,10.478
2025-07-16,10.424
2025-07-17,10.522
2025-07-18,10.512
2025-07-21,10.5
2025-07-22,10.472
2025-07-23,10.59
2025-07-24,10.63
2025-07-25,10.596
2025-07-28,10.576
2025-07-29,10.608
2025-07-30,10.636
2025-07-31,10.542
2025-08-01,10.314
2025-08-04,10.422
2025-08-05,10.422
2025-08-06,10.39
2025-08-07,10.532
2025-08-08,10.562
2025-08-11,10.554
2025-08-12,10.574
2025-08-13,10.636
2025-08-14,10.7
2025-08-15,10.714
2025-08-18,10.69
2025-08-19,10.802
2025-08-20,10.836
2025-08-21,10.826
2025-08-22,10.88
2025-08-25,10.808
2025-08-26,10.734
2025-08-27,10.736
2025-08-28,10.71
2025-08-29,10.64
