,ALFPC FP Equity_DX_SI_QTY,ALFPC FP Equity_DX_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFPC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFPC FP Equity_DX_SI_MV,ALFPC FP Equity_DX_DSS,ALFPC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SUPPLY_SI_QTY,ALFPC FP Equity_DX_BROKER_SI_QTY,ALFPC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALFPC FP Equity_DX_BROKER_SI_MV_INC_x,ALFPC FP Equity_DX_BROKER_SI_QTY_ADD,ALFPC FP Equity_DX_SUPPLY_SI_MV_DEC,ALFPC FP Equity_DX_BROKER_SI_QTY_INC,ALFPC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFPC FP Equity_DX_BROKER_SI_MV_INC_y,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALFPC FP Equity_DX_BROKER_SI_MV_ADD,ALFPC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFPC FP Equity_DX_BROKER_SI_QTY_DEC,ALFPC FP Equity_DX_SUPPLY_SI_MV,ALFPC FP Equity_DX_BROKER_SI_MV_DEC,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFPC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALFPC FP Equity_DX_BROKER_SI_CON_RATIO,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFPC FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-04-19,202.0,23634.0,0.01,0.33,0.01,0.02,0.0,11817.0,101.0,101.0,11817.0,,,,,,,,,,,,0.01,,100.0,0.46,0.0,0.0,0.0,100.0,1.01,0.9799,98.99,0.0092
2024-04-22,202.0,23391.6,0.01,0.33,0.01,0.02,0.0,11695.8,101.0,101.0,11695.8,,,,,,,,,,,,0.01,,100.0,0.47,0.0,0.0,0.0,100.0,1.01,0.9799,98.99,0.0093
2024-04-23,202.0,26058.0,0.01,0.33,0.01,0.02,0.0,13029.0,101.0,101.0,13029.0,,,,,,,,,,,,0.01,,100.0,0.47,0.0,0.0,0.0,100.0,1.01,0.9799,98.99,0.0093
2024-04-24,2.0,274.0,0.0,0.0,0.0,0.0,0.0,137.0,1.0,1.0,137.0,,,,0.01,,100.0,,,,,100.0,0.0,0.01,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-04-25,2.0,270.0,0.0,0.0,0.0,0.0,0.0,135.0,1.0,1.0,135.0,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-04-26,2.0,267.0,0.0,0.0,0.0,0.0,0.0,133.5,1.0,1.0,133.5,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-04-29,2.0,268.0,0.0,0.0,0.0,0.0,0.0,134.0,1.0,1.0,134.0,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-04-30,2.0,260.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,1.0,130.0,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-05-01,2.0,260.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,1.0,130.0,,,,,,,,,,,,0.0,,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-05-02,1.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,128.0,,,,,,,,,,,1.0,0.0,0.0,100.0,0.01,0.0,0.0,0.0,100.0,,1.0,100.0,0.0001
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,1.0,,,,,,0.0,,0.0,0.0,18623.0,2402367.0,2.38,0.0,,0.0,,0.0
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2327875.0,2.4,0.0,,0.0,,0.0
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2420990.0,2.33,0.0,,0.0,,0.0
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2439613.0,2.42,0.0,,0.0,,0.0
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2458236.0,2.44,0.0,,0.0,,0.0
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2420990.0,2.46,0.0,,0.0,,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18523.0,2370944.0,2.41,0.0,,0.0,,0.0
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18523.0,2407990.0,2.37,0.0,,0.0,,0.0
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2411678.5,2.42,0.0,,0.0,,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2448924.5,2.41,0.0,,0.0,,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18623.0,2458236.0,2.45,0.0,,0.0,,0.0
2024-05-20,731.0,95395.5,0.05,0.45,0.04,0.1,0.0,95395.5,731.0,731.0,95395.5,,,731.0,,,,,,0.1,731.0,,0.1,,100.0,3.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.039
2024-05-21,731.0,96126.5,0.05,0.45,0.04,0.1,0.0,96126.5,731.0,731.0,96126.5,,,,,,,,,,,,0.1,,100.0,3.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.039
2024-05-22,131.0,17357.5,0.01,0.08,0.01,0.02,0.0,17357.5,131.0,131.0,17357.5,,,,0.08,,600.0,,,,,600.0,0.02,0.08,100.0,0.71,0.0,0.0,0.0,100.0,,1.0,100.0,0.0071
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.02,,131.0,,,,,131.0,0.0,0.02,0.0,0.0,18554.0,2412020.0,2.46,0.0,,0.0,,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18575.0,2424037.5,2.42,0.0,,0.0,,0.0
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2462863.5,2.44,0.0,,0.0,,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18829.0,2570158.5,2.46,0.0,,0.0,,0.0
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2528415.0,2.56,0.0,,0.0,,0.0
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2519050.5,2.53,0.0,,0.0,,0.0
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2556508.5,2.52,0.0,,0.0,,0.0
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2584602.0,2.56,0.0,,0.0,,0.0
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18729.0,2603331.0,2.58,0.0,,0.0,,0.0
2024-06-05,200.0,28100.0,0.01,0.11,0.01,0.03,0.0,14050.0,100.0,100.0,14050.0,,,100.0,,,,,,0.01,100.0,,0.01,,100.0,0.53,0.0,0.0,0.0,100.0,,1.0,100.0,0.0107
2024-06-06,200.0,28100.0,0.01,0.15,0.01,0.03,0.0,14050.0,100.0,100.0,14050.0,,,,,,,,,,,,0.01,,100.0,0.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.0107
2024-06-07,200.0,28600.0,0.01,0.17,0.01,0.03,0.0,14300.0,100.0,100.0,14300.0,,,,,,,,,,,,0.01,,100.0,0.53,0.0,0.0,0.0,100.0,,1.0,100.0,0.0107
2024-06-10,200.0,27200.0,0.01,0.2,0.01,0.03,0.0,13600.0,100.0,100.0,13600.0,,,,,,,,,,,,0.01,,100.0,0.53,0.0,0.0,0.0,100.0,,1.0,100.0,0.0106
2024-06-11,200.0,25900.0,0.01,0.19,0.01,0.03,0.0,12950.0,100.0,100.0,12950.0,,,,,,,,,,,,0.01,,100.0,0.53,0.0,0.0,0.0,100.0,,1.0,100.0,0.0106
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.01,,100.0,,,,,100.0,0.0,0.01,0.0,0.0,18967.0,2285523.5,2.45,0.0,,0.0,,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18667.0,2165372.0,2.25,0.0,,0.0,,0.0
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,18667.0,2128038.0,2.17,0.0,,0.0,,0.0
2024-06-17,1000.0,108500.0,0.07,0.64,0.06,0.11,0.0,108500.0,0.0,1000.0,0.0,,,1000.0,,,,,,0.11,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0525
2024-06-18,3294.0,355752.0,0.24,1.9,0.2,0.36,0.0,182952.0,1694.0,1694.0,182952.0,,,694.0,,,,,,0.08,1694.0,,0.18,,100.0,8.4,0.0,0.0,0.0,100.0,35.83,0.5041,61.22,0.1633
2024-06-19,3639.0,385734.0,0.26,1.86,0.22,0.4,0.0,216134.0,2039.0,2039.0,216134.0,,0.04,,0.01,345.0,94.0,0.04,,,439.0,,0.22,,100.0,10.15,0.0,0.0,0.0,100.0,32.48,0.429,55.62,0.1812
