,ALGEV FP Equity_DX_SI_QTY,ALGEV FP Equity_DX_SHORT_INTEREST_VALUE,ALGEV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALGEV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALGEV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALGEV FP Equity_DX_SI_MV,ALGEV FP Equity_DX_DSS,ALGEV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALGEV FP Equity_DX_SUPPLY_SI_QTY,ALGEV FP Equity_DX_BROKER_SI_QTY,ALGEV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALGEV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALGEV FP Equity_DX_BROKER_SI_MV_INC_x,ALGEV FP Equity_DX_BROKER_SI_QTY_ADD,ALGEV FP Equity_DX_SUPPLY_SI_MV_DEC,ALGEV FP Equity_DX_BROKER_SI_QTY_INC,ALGEV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALGEV FP Equity_DX_BROKER_SI_MV_INC_y,ALGEV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALGEV FP Equity_DX_BROKER_SI_MV_ADD,ALGEV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALGEV FP Equity_DX_BROKER_SI_QTY_DEC,ALGEV FP Equity_DX_SUPPLY_SI_MV,ALGEV FP Equity_DX_BROKER_SI_MV_DEC,ALGEV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALGEV FP Equity_DX_UTILIZATION_QUANTITY,ALGEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALGEV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALGEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALGEV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALGEV FP Equity_DX_BROKER_SI_CON_RATIO,ALGEV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALGEV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALGEV FP Equity_PX_LAST
1991-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.748
1992-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5839
1992-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.1265
1992-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3825
1992-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2884
1992-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1992-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4623
1992-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4623
1992-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8525
1992-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4441
1992-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4441
1992-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9196
1992-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0049
1992-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.4749
1992-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.847
1992-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3225
1992-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.3896
1992-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6819
1992-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6819
1992-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.5294
1992-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
1992-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
1992-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7421
1992-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8398
1992-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7762
1992-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
1992-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8888
1992-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
1992-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.9014
1992-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.749
1992-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5839
1992-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9196
1992-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0721
1992-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9196
1992-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2245
1992-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1992-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1992-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1992-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4314
1992-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1992-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4623
1992-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1142
1992-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8943
1992-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2362
1992-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5839
1992-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0776
1992-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9251
1992-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9251
1992-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6021
1992-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.651
1992-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.651
1992-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5112
1992-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.17
1992-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3225
1992-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8651
