,ALLOG FP Equity_DX_SI_QTY,ALLOG FP Equity_DX_SHORT_INTEREST_VALUE,ALLOG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALLOG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALLOG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALLOG FP Equity_DX_SI_MV,ALLOG FP Equity_DX_DSS,ALLOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALLOG FP Equity_DX_SUPPLY_SI_QTY,ALLOG FP Equity_DX_BROKER_SI_QTY,ALLOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALLOG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALLOG FP Equity_DX_BROKER_SI_MV_INC_x,ALLOG FP Equity_DX_BROKER_SI_QTY_ADD,ALLOG FP Equity_DX_SUPPLY_SI_MV_DEC,ALLOG FP Equity_DX_BROKER_SI_QTY_INC,ALLOG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALLOG FP Equity_DX_BROKER_SI_MV_INC_y,ALLOG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALLOG FP Equity_DX_BROKER_SI_MV_ADD,ALLOG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALLOG FP Equity_DX_BROKER_SI_QTY_DEC,ALLOG FP Equity_DX_SUPPLY_SI_MV,ALLOG FP Equity_DX_BROKER_SI_MV_DEC,ALLOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALLOG FP Equity_DX_UTILIZATION_QUANTITY,ALLOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALLOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALLOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALLOG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALLOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALLOG FP Equity_DX_BROKER_SI_CON_RATIO,ALLOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALLOG FP Equity_DX_DEMAND_SUPPLY_RATIO,ALLOG FP Equity_PX_LAST
2002-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2002-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.23
2002-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2002-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17
2002-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2002-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2002-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2002-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2002-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2002-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2002-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2002-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2002-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2002-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2002-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2002-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2002-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
