,ALPAU FP Equity_DX_SI_QTY,ALPAU FP Equity_DX_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAU FP Equity_DX_SI_MV,ALPAU FP Equity_DX_DSS,ALPAU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SUPPLY_SI_QTY,ALPAU FP Equity_DX_BROKER_SI_QTY,ALPAU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAU FP Equity_DX_BROKER_SI_QTY_ADD,ALPAU FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAU FP Equity_DX_BROKER_SI_MV_ADD,ALPAU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAU FP Equity_DX_BROKER_SI_QTY_DEC,ALPAU FP Equity_DX_SUPPLY_SI_MV,ALPAU FP Equity_DX_BROKER_SI_MV_DEC,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAU FP Equity_DX_BROKER_SI_CON_RATIO,ALPAU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAU FP Equity_PX_LAST
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.96
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.58
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45
2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82
2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94
2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1
2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2020-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2020-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2020-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
2020-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2020-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44
2020-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38
2020-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2020-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2020-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34
2020-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2020-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16
2020-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12
2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9
2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99
2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91
2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34
2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26
2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38
2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.48
2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.52
2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54
2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54
2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66
2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.78
2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2020-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.68
