,BLEE FP Equity_PX_LAST
1992-04-08,109.9157
1992-04-09,108.8486
1992-04-13,109.9157
1992-04-16,110.0682
1992-04-22,121.197
1992-04-23,133.3929
1992-04-24,140.1006
1992-04-27,126.6851
1992-04-28,114.4892
1992-04-29,126.0753
1992-04-30,114.0319
1992-05-04,108.3913
1992-05-06,110.8304
1992-05-12,111.5927
1992-05-20,111.5927
1992-06-01,110.5255
1992-06-02,105.0374
1992-06-05,110.5255
1992-06-16,110.8304
1992-07-06,100.6164
1992-07-23,106.257
1992-07-24,115.8613
1992-07-28,104.58
1992-09-18,109.001
1992-09-21,109.001
1992-10-21,103.6653
1992-11-19,98.9394
1992-11-30,103.6653
1992-12-17,93.6037
1992-12-18,93.4512
1993-02-18,96.0429
1993-03-11,96.0429
1993-03-22,96.0429
1993-04-07,96.0429
1993-04-29,91.317
1993-05-11,100.6164
1993-05-12,110.8304
1993-05-13,121.9592
1993-05-14,121.9592
1993-06-04,121.9592
1993-06-07,134.46
1993-06-08,137.2041
1993-06-11,135.6796
1993-06-18,122.569
1993-06-21,122.7215
1993-06-23,135.2223
1993-06-24,134.1551
1993-07-08,121.197
1993-07-09,114.4892
1993-08-12,109.6108
1993-08-18,109.6108
1993-08-24,109.9157
1993-09-29,121.0445
1993-09-30,126.99
1993-10-01,132.0208
1993-10-04,137.2041
1993-10-06,137.9664
1993-10-07,144.0643
1993-10-11,151.2294
1993-10-13,150.9245
1993-10-14,152.449
1993-10-15,152.449
1993-10-18,149.4
1993-10-19,147.8755
1993-10-25,143.3021
1993-10-27,143.3021
1993-11-19,143.3021
1993-11-23,143.3021
1993-12-02,143.3021
1993-12-06,141.0153
1993-12-15,144.8266
1993-12-21,144.8266
1993-12-28,144.8266
1993-12-31,147.8755
1994-01-05,144.8266
1994-01-07,152.2966
1994-01-10,149.4
1994-01-14,149.5525
1994-01-17,149.7049
1994-01-24,149.4
1994-02-01,149.8574
1994-02-07,149.8574
1994-02-09,149.8574
1994-02-14,165.1023
