,CC1 FP Equity_DX_SI_QTY,CC1 FP Equity_DX_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CC1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CC1 FP Equity_DX_SI_MV,CC1 FP Equity_DX_DSS,CC1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY,CC1 FP Equity_DX_BROKER_SI_QTY,CC1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CC1 FP Equity_DX_BROKER_SI_MV_INC_x,CC1 FP Equity_DX_SUPPLY_SI_MV_NEW,CC1 FP Equity_DX_BROKER_SI_QTY_ADD,CC1 FP Equity_DX_SUPPLY_SI_MV_DEC,CC1 FP Equity_DX_BROKER_SI_QTY_INC,CC1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CC1 FP Equity_DX_BROKER_SI_MV_INC_y,CC1 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CC1 FP Equity_DX_BROKER_SI_MV_ADD,CC1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CC1 FP Equity_DX_BROKER_SI_QTY_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV,CC1 FP Equity_DX_BROKER_SI_MV_DEC,CC1 FP Equity_DX_SUPPLY_SI_MV_RMV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CC1 FP Equity_DX_UTILIZATION_QUANTITY,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CC1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CC1 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CC1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CC1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CC1 FP Equity_DX_BROKER_SI_CON_RATIO,CC1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CC1 FP Equity_DX_DEMAND_SUPPLY_RATIO,CC1 FP Equity_PX_LAST
2009-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8
2009-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.61
2009-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.8
2009-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.35
2009-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.05
2009-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42
2009-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.63
2009-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.89
2009-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.55
2009-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.4
2009-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.96
2009-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.83
2009-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.25
2009-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.52
2009-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.42
2009-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.61
2009-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.85
2009-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.41
2009-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.91
2009-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.74
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.78
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.76
2009-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.39
2009-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.42
2009-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.31
2009-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.15
2009-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.65
2009-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.63
