,CRAP FP Equity_DX_SI_QTY,CRAP FP Equity_DX_SHORT_INTEREST_VALUE,CRAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CRAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CRAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CRAP FP Equity_DX_SI_MV,CRAP FP Equity_DX_DSS,CRAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CRAP FP Equity_DX_SUPPLY_SI_QTY,CRAP FP Equity_DX_BROKER_SI_QTY,CRAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CRAP FP Equity_DX_SUPPLY_SI_QTY_INC_x,CRAP FP Equity_DX_BROKER_SI_MV_INC_x,CRAP FP Equity_DX_BROKER_SI_QTY_ADD,CRAP FP Equity_DX_SUPPLY_SI_MV_DEC,CRAP FP Equity_DX_BROKER_SI_QTY_INC,CRAP FP Equity_DX_SUPPLY_SI_QTY_DEC,CRAP FP Equity_DX_BROKER_SI_MV_INC_y,CRAP FP Equity_DX_SUPPLY_SI_QTY_INC_y,CRAP FP Equity_DX_BROKER_SI_MV_ADD,CRAP FP Equity_DX_SUPPLY_SI_QTY_ADD,CRAP FP Equity_DX_BROKER_SI_QTY_DEC,CRAP FP Equity_DX_SUPPLY_SI_MV,CRAP FP Equity_DX_BROKER_SI_MV_DEC,CRAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CRAP FP Equity_DX_UTILIZATION_QUANTITY,CRAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CRAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CRAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CRAP FP Equity_DX_ACTIVE_UTILIZATION_MV,CRAP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CRAP FP Equity_DX_BROKER_SI_CON_RATIO,CRAP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CRAP FP Equity_DX_DEMAND_SUPPLY_RATIO,CRAP FP Equity_PX_LAST
1998-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9702
1998-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7237
1998-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7908
1998-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7908
1998-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0957
1998-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0957
1998-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7908
1998-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0957
1998-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6384
1998-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6384
1998-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7908
1999-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8
1999-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4
1999-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4
1999-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3
1999-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25
1999-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25
1999-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.9
1999-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6
1999-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8
1999-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2
1999-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2
1999-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2
1999-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1
1999-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2
1999-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
1999-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6
1999-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6
1999-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6
1999-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0
1999-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05
1999-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2
1999-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2
1999-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2
1999-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1
1999-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4
1999-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
1999-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9
1999-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8
1999-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8
1999-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3
1999-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3
1999-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5
1999-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.6
1999-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8
1999-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
1999-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8
1999-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
1999-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
1999-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
1999-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0
1999-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1
1999-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4
1999-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9
1999-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
1999-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
1999-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1
1999-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.75
1999-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
1999-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.1
1999-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
1999-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2
