,DCAM FP Equity_DX_SI_QTY,DCAM FP Equity_DX_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DCAM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DCAM FP Equity_DX_SI_MV,DCAM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DCAM FP Equity_DX_SUPPLY_SI_QTY,DCAM FP Equity_DX_BROKER_SI_QTY,DCAM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_x,DCAM FP Equity_DX_BROKER_SI_MV_INC_x,DCAM FP Equity_DX_BROKER_SI_QTY_ADD,DCAM FP Equity_DX_SUPPLY_SI_MV_DEC,DCAM FP Equity_DX_BROKER_SI_QTY_INC,DCAM FP Equity_DX_SUPPLY_SI_QTY_DEC,DCAM FP Equity_DX_BROKER_SI_MV_INC_y,DCAM FP Equity_DX_SUPPLY_SI_QTY_INC_y,DCAM FP Equity_DX_BROKER_SI_MV_ADD,DCAM FP Equity_DX_SUPPLY_SI_QTY_ADD,DCAM FP Equity_DX_BROKER_SI_QTY_DEC,DCAM FP Equity_DX_SUPPLY_SI_MV,DCAM FP Equity_DX_BROKER_SI_MV_DEC,DCAM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DCAM FP Equity_DX_UTILIZATION_QUANTITY,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DCAM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DCAM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DCAM FP Equity_DX_ACTIVE_UTILIZATION_MV,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DCAM FP Equity_DX_BROKER_SI_CON_RATIO,DCAM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DCAM FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-05-08,27400.0,128286.8,0.05,0.11,0.13,64143.4,13700.0,13700.0,64143.4,,,13700.0,,,,,,0.06,13700.0,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
2025-05-09,27400.0,128341.6,0.05,0.11,0.13,64170.8,13700.0,13700.0,64170.8,,,,,,,,,,,,0.07,,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0
2025-05-12,49800.0,240832.8,0.09,0.19,0.23,120416.4,24900.0,24900.0,120416.4,11200.0,0.05,,,11200.0,,0.05,11200.0,,,,0.12,,100.0,100.0,0.0,0.0,0.0,100.0,49.2,0.5001,50.8,2.0
2025-05-13,70600.0,343892.6,0.13,0.27,0.34,171946.3,35300.0,35300.0,171946.3,10400.0,0.05,,,10400.0,,0.05,10400.0,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.82,0.5,50.18,2.0
2025-05-14,70600.0,342763.0,0.13,0.27,0.34,171381.5,35300.0,35300.0,171381.5,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.92,0.5,50.08,2.0
2025-05-15,70600.0,344033.8,0.13,0.27,0.34,172016.9,35300.0,35300.0,172016.9,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.91,0.5,50.09,2.0
2025-05-16,70600.0,346716.6,0.13,0.27,0.34,173358.3,35300.0,35300.0,173358.3,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.81,0.5,50.19,2.0
2025-05-19,70600.0,344669.2,0.14,0.27,0.34,172334.6,35300.0,35300.0,172334.6,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.85,0.5,50.15,2.0
2025-05-20,70600.0,345516.4,0.14,0.27,0.34,172758.2,35300.0,35300.0,172758.2,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,49.94,0.5,50.06,2.0
2025-05-21,70600.0,342833.6,0.14,0.27,0.35,171416.8,35300.0,35300.0,171416.8,,,,,,,,,,,,0.17,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0
