,EEE FP Equity_DX_SI_QTY,EEE FP Equity_DX_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EEE FP Equity_DX_SI_MV,EEE FP Equity_DX_DSS,EEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY,EEE FP Equity_DX_BROKER_SI_QTY,EEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EEE FP Equity_DX_BROKER_SI_MV_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_x,EEE FP Equity_DX_BROKER_SI_MV_INC_x,EEE FP Equity_DX_SUPPLY_SI_MV_NEW,EEE FP Equity_DX_BROKER_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_NEW,EEE FP Equity_DX_SUPPLY_SI_MV_DEC,EEE FP Equity_DX_BROKER_SI_QTY_INC,EEE FP Equity_DX_SUPPLY_SI_QTY_DEC,EEE FP Equity_DX_BROKER_SI_MV_NEW_y,EEE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EEE FP Equity_DX_BROKER_SI_MV_INC_y,EEE FP Equity_DX_SUPPLY_SI_QTY_INC_y,EEE FP Equity_DX_BROKER_SI_MV_ADD,EEE FP Equity_DX_SUPPLY_SI_QTY_ADD,EEE FP Equity_DX_BROKER_SI_QTY_DEC,EEE FP Equity_DX_SUPPLY_SI_MV,EEE FP Equity_DX_BROKER_SI_MV_DEC,EEE FP Equity_DX_SUPPLY_SI_MV_RMV,EEE FP Equity_DX_BROKER_SI_MV_RMV,EEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EEE FP Equity_DX_UTILIZATION_QUANTITY,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EEE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EEE FP Equity_DX_ACTIVE_UTILIZATION_MV,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EEE FP Equity_DX_BROKER_SI_CON_RATIO,EEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EEE FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0
2006-04-12,3839.0,593439.2,0.62,0.27,0.94,,593439.2,0.0,3839.0,0.0,,,,,,3839.0,,,,,,,,,0.94,,,0.0,,,,0.0,0.0,40.0,6183.27,,0.0,0.0,,1.0,100.0,95.975
2006-04-19,3839.0,594678.12,0.78,0.27,0.91,,594678.12,0.0,3839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40.0,6196.18,,0.0,0.0,,1.0,100.0,95.975
2006-04-26,3839.0,597155.94,0.76,0.27,0.93,,597155.94,0.0,3839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40.0,6221.99,,0.0,0.0,,1.0,100.0,95.975
2006-05-03,3839.0,595000.23,0.67,0.27,0.92,,595000.23,0.0,3839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40.0,6199.53,,0.0,0.0,,1.0,100.0,95.975
2006-05-10,6839.0,1086317.61,1.28,0.48,1.67,,1086317.61,0.0,6839.0,0.0,,,,,,3000.0,,,,,,,,,0.74,,,0.0,,,,0.0,0.0,39.0,6194.82,,0.0,0.0,44.06,0.507,55.94,175.359
2006-05-17,6839.0,1015029.4,1.38,0.48,1.6,,1015029.4,0.0,6839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40.0,5936.71,,0.0,0.0,43.56,0.5083,56.44,170.975
2006-05-24,6339.0,908334.67,1.3,0.43,1.4,,908334.67,0.0,6339.0,0.0,,,,,,,,,,,,,,,,,500.0,0.0,0.14,,,0.0,0.0,39.0,5588.43,,0.0,0.0,39.86,0.5206,60.14,162.5385
2006-05-31,6339.0,926336.89,1.4,0.43,1.43,,926336.89,0.0,6339.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,40.0,5845.32,,0.0,0.0,39.58,0.5217,60.42,158.475
2006-06-07,6839.0,1004214.78,1.53,0.46,1.55,,1004214.78,0.0,6839.0,0.0,,,,0.11,,,,,500.0,,,,0.11,,,,,0.0,,,,0.0,0.0,40.0,5873.46,,0.0,0.0,43.93,0.5074,56.07,170.975
2006-06-14,6839.0,956012.47,1.4,0.45,1.48,,956012.47,0.0,6839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,41.0,5731.32,,0.0,0.0,43.74,0.5078,56.26,166.8049
2006-06-21,3839.0,560682.35,0.56,0.25,0.86,,560682.35,0.0,3839.0,0.0,,,,,,,,,,,,,,,,,3000.0,0.0,0.65,,,0.0,0.0,40.0,5841.96,,0.0,0.0,,1.0,100.0,95.975
2006-06-28,3839.0,562466.39,0.51,0.25,0.88,,562466.39,0.0,3839.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,39.0,5714.04,,0.0,0.0,,1.0,100.0,98.4359
2006-07-03,34041.0,5136018.33,4.72,2.23,7.85,,609695.66,30000.0,4041.0,4526322.67,,,,,,202.0,,,,,,,,,0.05,30000.0,,6.91,,,,99.87,99.87,39.0,5884.22,,0.01,99.87,11.41,0.7874,88.0,1.1332
2006-07-04,34036.0,5210917.09,4.56,2.23,7.93,,617912.25,30000.0,4036.0,4593004.84,,,,,,,,,,,,,,,,,5.0,7.01,0.0,,,99.87,99.87,39.0,5970.91,,0.01,99.87,11.13,0.7919,88.29,1.1331
2006-07-05,34036.0,5080365.2,4.47,2.23,7.95,,602431.37,30000.0,4036.0,4477933.84,,,,,,,,,,,,,,,,,0.0,7.01,0.0,,,99.87,99.87,39.0,5821.31,,0.01,99.87,11.28,0.7897,88.14,1.1331
2006-07-06,34043.0,5101945.51,4.13,2.21,7.81,,605915.04,30000.0,4043.0,4496030.47,,,,0.0,,,,,7.0,,,,0.0,,,,,6.87,,,,99.87,99.87,40.0,5994.71,,0.01,99.87,11.49,0.786,87.91,1.1333
