,EMEIS FP Equity_DX_SI_QTY,EMEIS FP Equity_DX_SHORT_INTEREST_VALUE,EMEIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EMEIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EMEIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EMEIS FP Equity_DX_SI_MV,EMEIS FP Equity_DX_DSS,EMEIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EMEIS FP Equity_DX_SUPPLY_SI_QTY,EMEIS FP Equity_DX_BROKER_SI_QTY,EMEIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EMEIS FP Equity_DX_BROKER_SI_MV_NEW_x,EMEIS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EMEIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,EMEIS FP Equity_DX_BROKER_SI_MV_INC_x,EMEIS FP Equity_DX_SUPPLY_SI_MV_NEW,EMEIS FP Equity_DX_BROKER_SI_QTY_ADD,EMEIS FP Equity_DX_BROKER_SI_QTY_NEW,EMEIS FP Equity_DX_SUPPLY_SI_MV_DEC,EMEIS FP Equity_DX_BROKER_SI_QTY_INC,EMEIS FP Equity_DX_SUPPLY_SI_QTY_DEC,EMEIS FP Equity_DX_BROKER_SI_MV_NEW_y,EMEIS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EMEIS FP Equity_DX_BROKER_SI_MV_INC_y,EMEIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,EMEIS FP Equity_DX_BROKER_SI_MV_ADD,EMEIS FP Equity_DX_SUPPLY_SI_QTY_ADD,EMEIS FP Equity_DX_BROKER_SI_QTY_DEC,EMEIS FP Equity_DX_SUPPLY_SI_MV,EMEIS FP Equity_DX_BROKER_SI_MV_DEC,EMEIS FP Equity_DX_SUPPLY_SI_MV_RMV,EMEIS FP Equity_DX_BROKER_SI_MV_RMV,EMEIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EMEIS FP Equity_DX_UTILIZATION_QUANTITY,EMEIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EMEIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EMEIS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EMEIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EMEIS FP Equity_DX_ACTIVE_UTILIZATION_MV,EMEIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EMEIS FP Equity_DX_BROKER_SI_CON_RATIO,EMEIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EMEIS FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,322403.0,13787018.36,3.83,19.71,1.8,15.28,1.0,2861677.72,312212.0,66919.0,13351217.5,2.37,,9443.0,0.0,,,50317.0,,84.0,,2.37,,0.0,9443.0,,,,14.79,,,,31.64,31.64,674659.0,28850649.72,,31.95,31.64,15.57,0.6518,79.14,0.3267
2006-01-11,339219.0,14595252.75,4.03,17.55,1.89,16.21,1.0,3499179.35,316413.0,81327.0,13614000.71,,,4211.0,0.73,,,,0.0,15028.0,10.0,,,0.73,4211.0,,,620.0,15.12,0.03,,,31.94,31.94,674341.0,29014227.78,,32.21,31.95,19.19,0.6142,75.91,0.3424
2006-01-18,333276.0,14412016.67,3.95,16.88,1.86,16.12,1.0,3300429.48,314115.0,76322.0,13583428.19,,,72.0,0.02,,,,0.0,400.0,2369.0,,,0.02,72.0,,,5405.0,15.2,0.22,,,31.71,31.71,676371.0,29248641.14,,32.68,31.74,17.94,0.6261,76.99,0.3365
2006-01-25,341708.0,14398948.13,4.05,18.59,1.91,16.0,1.0,3251127.99,322023.0,77154.0,13569458.35,,38700.0,3596.0,0.0,1.81,,,,2132.0,,,38700.0,0.0,3596.0,,4095.0,1300.0,15.07,0.06,1.86,,33.2,33.2,647942.0,27303086.98,38483.0,30.31,33.22,18.06,0.6131,76.1,0.3523
2006-02-01,341113.0,14679834.58,4.05,16.96,1.9,16.15,1.0,3190665.89,324537.0,74141.0,13966484.64,,,3070.0,,,,,0.02,,556.0,,,,3070.0,,,3014.0,15.33,0.08,,,34.44,34.44,617670.0,26581494.76,,29.12,34.49,17.82,0.6224,76.78,0.362
2006-02-08,379858.0,16553721.13,4.51,14.45,2.12,17.09,1.0,5039223.98,325792.0,115635.0,14197594.67,,,4457.0,0.0,,43298.0,,1.05,196.0,3202.0,,,0.0,4457.0,1.96,,2000.0,14.4,0.06,,,34.45,34.45,619883.0,27013700.69,,29.71,32.64,16.49,0.4842,66.78,0.4017
2006-02-15,408280.0,18587605.79,4.84,14.53,2.28,19.06,1.0,3321803.83,392116.0,72964.0,17851713.61,2.76,,27825.0,,,,55000.0,0.07,,8701.0,2.76,,,27825.0,,47200.0,39244.0,18.05,1.77,,2.81,43.34,43.34,512570.0,23335576.32,,25.37,41.57,14.53,0.6563,79.63,0.4513
2006-02-22,346566.0,16044867.5,4.11,11.58,1.93,18.23,1.0,3303178.06,326572.0,71348.0,15119210.97,,,,,,,,0.95,,66525.0,,,,,,981.0,1616.0,17.26,0.06,,,42.55,42.55,440980.0,20415925.6,,22.49,43.42,15.42,0.6397,78.41,0.4515
2006-03-01,339413.0,15682956.2,4.03,10.98,1.89,18.11,1.0,3209014.71,320279.0,69450.0,14798848.39,,,,,,,,0.0,,6293.0,,,,,,,1898.0,17.24,0.1,,,42.12,42.12,440142.0,20337251.99,,23.12,42.72,14.96,0.6464,78.92,0.4463
2006-03-08,400644.0,18239964.57,4.75,12.48,2.23,21.79,1.0,3620959.21,369765.0,79535.0,16834148.27,,,200.0,0.52,,,,1.3,10085.0,33462.0,,,0.52,200.0,,82748.0,,20.41,,,,51.21,51.08,352243.0,16036430.94,,17.24,54.21,15.45,0.6153,76.73,0.5534
