,EMSR FP Equity_DX_SI_QTY,EMSR FP Equity_DX_SHORT_INTEREST_VALUE,EMSR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EMSR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EMSR FP Equity_DX_SI_MV,EMSR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EMSR FP Equity_DX_SUPPLY_SI_QTY,EMSR FP Equity_DX_BROKER_SI_QTY,EMSR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EMSR FP Equity_DX_SUPPLY_SI_QTY_INC_x,EMSR FP Equity_DX_BROKER_SI_MV_INC_x,EMSR FP Equity_DX_BROKER_SI_QTY_ADD,EMSR FP Equity_DX_SUPPLY_SI_MV_DEC,EMSR FP Equity_DX_BROKER_SI_QTY_INC,EMSR FP Equity_DX_SUPPLY_SI_QTY_DEC,EMSR FP Equity_DX_BROKER_SI_MV_INC_y,EMSR FP Equity_DX_SUPPLY_SI_QTY_INC_y,EMSR FP Equity_DX_BROKER_SI_MV_ADD,EMSR FP Equity_DX_SUPPLY_SI_QTY_ADD,EMSR FP Equity_DX_BROKER_SI_QTY_DEC,EMSR FP Equity_DX_SUPPLY_SI_MV,EMSR FP Equity_DX_BROKER_SI_MV_DEC,EMSR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EMSR FP Equity_DX_UTILIZATION_QUANTITY,EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EMSR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EMSR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EMSR FP Equity_DX_ACTIVE_UTILIZATION_MV,EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EMSR FP Equity_DX_BROKER_SI_CON_RATIO,EMSR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EMSR FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2754000.0,2.75,0.0,,0.0,,0.0
2018-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2760750.0,2.75,0.0,,0.0,,0.0
2018-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2802750.0,2.76,0.0,,0.0,,0.0
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2865750.0,2.8,0.0,,0.0,,0.0
2018-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2889750.0,2.87,0.0,,0.0,,0.0
2018-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2903250.0,2.89,0.0,,0.0,,0.0
2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2898000.0,2.9,0.0,,0.0,,0.0
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2935250.0,2.9,0.0,,0.0,,0.0
2018-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2914000.0,2.94,0.0,,0.0,,0.0
2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2842750.0,2.91,0.0,,0.0,,0.0
2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,25000.0,2804000.0,2.84,0.0,,0.0,,0.0
2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10000.0,1139600.0,1.12,0.0,,0.0,,0.0
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,10000.0,1134500.0,1.14,0.0,,0.0,,0.0
2018-11-15,3600.0,415260.0,0.65,0.31,0.41,207630.0,1800.0,1800.0,207630.0,,,1800.0,,,,,,0.21,1800.0,,0.2,,18.0,18.0,8200.0,945870.0,0.93,18.0,,1.0,100.0,0.36
2018-11-16,5400.0,621972.0,0.89,0.46,0.62,414648.0,1800.0,3600.0,207324.0,,,1800.0,,,,,,0.21,,,0.21,,4.5,4.5,38200.0,4399876.0,4.41,4.5,33.34,0.5555,66.66,0.135
2018-11-19,5400.0,620460.0,0.89,0.46,0.62,413640.0,1800.0,3600.0,206820.0,,,,,,,,,,,,0.21,,4.5,4.5,38200.0,4389180.0,4.4,4.5,33.43,0.5549,66.57,0.135
2018-11-20,5400.0,610200.0,0.89,0.46,0.61,406800.0,1800.0,3600.0,203400.0,,,,,,,,,,,,0.21,,4.5,4.5,38200.0,4316600.0,4.39,4.5,33.4,0.5551,66.6,0.135
2018-11-21,5400.0,619164.0,0.89,0.46,0.61,412776.0,1800.0,3600.0,206388.0,,,,,,,,,,,,0.2,,4.5,4.5,38200.0,4380012.0,4.32,4.5,33.2,0.5564,66.8,0.135
2018-11-22,26800.0,3044748.0,4.44,2.33,3.06,1624623.0,12500.0,14300.0,1420125.0,10700.0,1.21,,,10700.0,,1.21,10700.0,,,,1.43,,31.25,31.25,27500.0,3124275.0,3.15,31.25,6.76,0.874,93.24,0.67
2018-11-23,37500.0,4254000.0,5.76,3.26,4.26,2836000.0,12500.0,25000.0,1418000.0,,1.21,,,10700.0,,1.21,,,,,1.42,,31.25,31.25,27500.0,3119600.0,3.12,31.25,33.36,0.5554,66.64,0.9375
2018-11-26,35700.0,4094433.0,5.55,3.11,4.07,2660808.0,12500.0,23200.0,1433625.0,,,,,,,,,,,1800.0,1.42,0.19,31.25,31.25,27500.0,3153975.0,3.12,31.25,34.91,0.5455,65.09,0.8925
2018-11-27,35700.0,4103358.0,5.51,3.11,4.09,2666608.0,12500.0,23200.0,1436750.0,,,,,,,,,,,,1.43,,31.25,31.25,27500.0,3160850.0,3.15,31.25,34.93,0.5454,65.07,0.8925
2018-11-28,35700.0,4134060.0,5.51,3.11,4.13,2686560.0,12500.0,23200.0,1447500.0,,,,,,,,,,,,1.44,,31.25,31.25,27500.0,3184500.0,3.16,31.25,35.0,0.545,65.0,0.8925
