,FOO FP Equity_PX_LAST
2024-06-21,88.304
2024-06-24,88.829
2024-06-25,88.448
2024-06-26,88.522
2024-06-27,86.823
2024-06-28,85.737
2024-07-01,86.243
2024-07-02,86.424
2024-07-03,86.672
2024-07-04,87.052
2024-07-05,86.787
2024-07-08,87.076
2024-07-09,86.82
2024-07-10,87.522
2024-07-11,88.072
2024-07-12,88.482
2024-07-15,87.333
2024-07-16,87.192
2024-07-17,88.326
2024-07-18,89.236
2024-07-19,88.559
2024-07-22,89.194
2024-07-23,88.724
2024-07-24,88.677
2024-07-25,88.327
2024-07-26,88.376
2024-07-29,88.135
2024-07-30,88.351
2024-07-31,88.835
2024-08-01,88.777
2024-08-02,89.115
2024-08-05,86.463
2024-08-06,87.318
2024-08-07,88.48
2024-08-08,88.371
2024-08-09,88.45
2024-08-12,88.096
2024-08-13,88.195
2024-08-14,88.343
2024-08-15,88.766
2024-08-16,88.693
2024-08-19,88.947
2024-08-20,88.285
2024-08-21,88.786
2024-08-22,89.415
2024-08-23,89.582
2024-08-26,89.92
2024-08-27,90.583
2024-08-28,91.063
2024-08-29,91.622
2024-08-30,91.442
2024-09-02,91.649
2024-09-03,92.012
2024-09-04,91.756
2024-09-05,91.319
2024-09-06,90.746
2024-09-09,92.004
2024-09-10,92.228
2024-09-11,91.848
2024-09-12,91.792
2024-09-13,91.75
2024-09-16,91.742
2024-09-17,91.335
2024-09-18,90.635
2024-09-19,90.647
2024-09-20,89.289
2024-09-23,90.183
2024-09-24,90.646
2024-09-25,90.612
2024-09-26,91.311
2024-09-27,92.378
2024-09-30,91.265
2024-10-01,91.725
2024-10-02,91.371
2024-10-03,90.451
2024-10-04,90.62
2024-10-07,90.283
2024-10-08,90.309
2024-10-09,90.491
2024-10-10,90.468
2024-10-11,90.416
2024-10-14,90.573
2024-10-15,91.196
2024-10-16,90.945
2024-10-17,92.639
2024-10-18,91.946
2024-10-21,91.611
2024-10-22,91.169
2024-10-23,90.341
2024-10-24,91.001
2024-10-25,90.717
2024-10-28,91.167
2024-10-29,90.21
2024-10-30,88.997
2024-10-31,87.41
2024-11-01,88.791
2024-11-04,88.28
2024-11-05,88.481
2024-11-06,87.003
2024-11-07,87.478
2024-11-08,87.385
2024-11-11,87.192
2024-11-12,86.3
2024-11-13,86.193
2024-11-14,86.374
2024-11-15,86.518
2024-11-18,86.62
2024-11-19,86.286
2024-11-20,86.425
2024-11-21,85.909
2024-11-22,87.549
2024-11-25,87.298
2024-11-26,87.014
2024-11-27,87.129
2024-11-28,87.517
2024-11-29,87.512
2024-12-02,87.506
2024-12-03,87.325
2024-12-04,87.191
2024-12-05,87.608
2024-12-06,87.257
2024-12-09,87.185
2024-12-10,87.157
2024-12-11,87.625
2024-12-12,87.791
2024-12-13,88.0
2024-12-16,87.448
2024-12-17,86.767
2024-12-18,86.482
2024-12-19,86.201
2024-12-20,85.816
2024-12-23,85.601
2024-12-24,85.984
2024-12-27,85.331
2024-12-30,85.502
2024-12-31,85.859
2025-01-02,86.761
2025-01-03,86.159
2025-01-06,86.094
2025-01-07,85.821
2025-01-08,85.939
2025-01-09,86.283
2025-01-10,84.363
2025-01-13,83.827
2025-01-14,83.621
2025-01-15,83.935
2025-01-16,84.207
2025-01-17,84.271
2025-01-20,85.445
2025-01-21,85.474
2025-01-22,84.623
2025-01-23,85.219
2025-01-24,85.007
2025-01-27,87.461
2025-01-28,88.183
2025-01-29,87.797
2025-01-30,88.137
2025-01-31,87.956
2025-02-03,87.44
2025-02-04,87.591
2025-02-05,87.431
2025-02-06,88.719
2025-02-07,88.237
2025-02-10,88.498
2025-02-11,88.678
2025-02-12,88.84
2025-02-13,89.016
2025-02-14,88.868
2025-02-17,88.472
2025-02-18,88.649
2025-02-19,88.237
2025-02-20,88.279
2025-02-21,89.414
2025-02-24,90.651
2025-02-25,91.31
2025-02-26,91.576
2025-02-27,91.545
2025-02-28,91.767
2025-03-03,92.419
2025-03-04,93.492
2025-03-05,91.403
2025-03-06,91.199
2025-03-07,91.81
2025-03-10,92.834
2025-03-11,90.814
2025-03-12,90.84
2025-03-13,90.662
2025-03-14,90.287
2025-03-17,91.013
2025-03-18,90.757
2025-03-19,90.549
2025-03-20,91.285
2025-03-21,91.214
2025-03-24,90.286
2025-03-25,90.026
2025-03-26,89.931
2025-03-27,90.4
2025-03-28,91.139
2025-03-31,90.404
2025-04-01,91.22
2025-04-02,90.848
2025-04-03,91.882
2025-04-04,90.109
2025-04-07,85.553
2025-04-08,88.213
2025-04-09,86.213
2025-04-10,89.735
2025-04-11,88.366
2025-04-14,89.714
2025-04-15,90.386
2025-04-16,91.01
2025-04-17,91.991
2025-04-22,92.296
2025-04-23,92.037
2025-04-24,92.412
2025-04-25,91.071
2025-04-28,91.757
2025-04-29,91.993
2025-04-30,93.48
2025-05-02,93.257
2025-05-05,93.731
2025-05-06,94.145
2025-05-07,94.284
2025-05-08,93.709
2025-05-09,93.609
2025-05-12,92.602
2025-05-13,91.58
2025-05-14,91.393
2025-05-15,92.78
2025-05-16,93.206
2025-05-19,93.84
2025-05-20,94.908
2025-05-21,94.95
2025-05-22,94.704
2025-05-23,94.282
2025-05-26,95.457
2025-05-27,95.682
2025-05-28,94.71
2025-05-29,94.36
2025-05-30,94.824
2025-06-02,94.347
2025-06-03,94.074
2025-06-04,94.604
2025-06-05,94.246
2025-06-06,94.673
2025-06-09,94.177
2025-06-10,94.098
2025-06-11,93.664
2025-06-12,93.532
2025-06-13,93.374
2025-06-16,92.475
2025-06-17,92.075
2025-06-18,92.167
2025-06-19,91.754
2025-06-20,91.777
2025-06-23,91.234
2025-06-24,91.835
2025-06-25,89.639
2025-06-26,89.517
2025-06-27,89.311
2025-06-30,89.051
2025-07-01,89.775
2025-07-02,89.309
2025-07-03,89.865
2025-07-04,89.957
2025-07-07,89.718
2025-07-08,89.304
2025-07-09,89.394
2025-07-10,89.681
2025-07-11,89.24
2025-07-14,89.85
2025-07-15,89.331
2025-07-16,89.341
2025-07-17,89.529
2025-07-18,89.964
2025-07-21,89.66
2025-07-22,89.917
2025-07-23,90.322
2025-07-24,89.998
2025-07-25,89.464
2025-07-28,88.531
2025-07-29,88.861
2025-07-30,88.555
2025-07-31,88.018
2025-08-01,87.514
2025-08-04,87.784
2025-08-05,88.324
2025-08-06,88.098
2025-08-07,88.773
2025-08-08,88.907
2025-08-11,89.368
2025-08-12,89.056
2025-08-13,89.308
2025-08-14,89.309
2025-08-15,89.168
2025-08-18,89.422
2025-08-19,90.425
2025-08-20,92.52
2025-08-21,92.574
2025-08-22,92.103
2025-08-25,91.625
2025-08-26,90.894
2025-08-27,91.031
2025-08-28,90.835
2025-08-29,90.928
