,FORE FP Equity_DX_SI_QTY,FORE FP Equity_DX_SHORT_INTEREST_VALUE,FORE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FORE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FORE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FORE FP Equity_DX_SI_MV,FORE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FORE FP Equity_DX_SUPPLY_SI_QTY,FORE FP Equity_DX_BROKER_SI_QTY,FORE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FORE FP Equity_DX_SUPPLY_SI_MV,FORE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FORE FP Equity_DX_UTILIZATION_QUANTITY,FORE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FORE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FORE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FORE FP Equity_DX_ACTIVE_UTILIZATION_MV,FORE FP Equity_DX_BROKER_SI_CON_RATIO,FORE FP Equity_DX_DEMAND_SUPPLY_RATIO,FORE FP Equity_PX_LAST
1992-01-08,,,,,,,,,,,,,,,,,,,,7.561
1992-04-08,,,,,,,,,,,,,,,,,,,,7.211
1992-04-13,,,,,,,,,,,,,,,,,,,,7.211
1992-04-21,,,,,,,,,,,,,,,,,,,,7.196
1992-04-27,,,,,,,,,,,,,,,,,,,,7.196
1992-05-06,,,,,,,,,,,,,,,,,,,,6.936
1992-05-21,,,,,,,,,,,,,,,,,,,,6.936
1992-05-22,,,,,,,,,,,,,,,,,,,,6.982
1992-05-26,,,,,,,,,,,,,,,,,,,,6.86
1992-06-02,,,,,,,,,,,,,,,,,,,,7.013
1992-06-18,,,,,,,,,,,,,,,,,,,,7.729
1992-06-19,,,,,,,,,,,,,,,,,,,,7.622
1992-06-23,,,,,,,,,,,,,,,,,,,,7.013
1992-07-01,,,,,,,,,,,,,,,,,,,,6.86
1992-07-02,,,,,,,,,,,,,,,,,,,,7.561
1992-07-03,,,,,,,,,,,,,,,,,,,,8.232
1992-07-27,,,,,,,,,,,,,,,,,,,,8.232
1992-07-29,,,,,,,,,,,,,,,,,,,,7.432
1992-07-31,,,,,,,,,,,,,,,,,,,,8.994
1992-08-03,,,,,,,,,,,,,,,,,,,,8.918
1992-08-18,,,,,,,,,,,,,,,,,,,,9.299
1992-08-21,,,,,,,,,,,,,,,,,,,,9.147
1992-08-28,,,,,,,,,,,,,,,,,,,,9.299
1992-09-01,,,,,,,,,,,,,,,,,,,,9.299
1992-09-08,,,,,,,,,,,,,,,,,,,,8.392
1992-09-09,,,,,,,,,,,,,,,,,,,,7.622
1992-09-14,,,,,,,,,,,,,,,,,,,,8.4
1992-09-15,,,,,,,,,,,,,,,,,,,,9.254
1992-09-16,,,,,,,,,,,,,,,,,,,,9.147
1992-09-24,,,,,,,,,,,,,,,,,,,,9.452
1992-09-25,,,,,,,,,,,,,,,,,,,,9.924
1992-09-28,,,,,,,,,,,,,,,,,,,,10.062
1992-09-29,,,,,,,,,,,,,,,,,,,,9.894
1992-10-02,,,,,,,,,,,,,,,,,,,,9.757
1992-10-06,,,,,,,,,,,,,,,,,,,,9.757
1992-10-07,,,,,,,,,,,,,,,,,,,,9.909
1992-10-08,,,,,,,,,,,,,,,,,,,,9.909
1992-10-09,,,,,,,,,,,,,,,,,,,,9.757
1992-10-27,,,,,,,,,,,,,,,,,,,,10.062
1992-10-29,,,,,,,,,,,,,,,,,,,,9.757
1992-10-30,,,,,,,,,,,,,,,,,,,,9.886
1992-11-03,,,,,,,,,,,,,,,,,,,,9.909
1992-11-04,,,,,,,,,,,,,,,,,,,,10.062
1992-11-05,,,,,,,,,,,,,,,,,,,,9.909
1992-11-10,,,,,,,,,,,,,,,,,,,,9.909
1992-11-12,,,,,,,,,,,,,,,,,,,,9.909
1992-11-16,,,,,,,,,,,,,,,,,,,,9.757
1992-11-26,,,,,,,,,,,,,,,,,,,,9.757
1992-11-27,,,,,,,,,,,,,,,,,,,,9.947
1992-12-01,,,,,,,,,,,,,,,,,,,,10.062
1992-12-10,,,,,,,,,,,,,,,,,,,,9.909
1992-12-11,,,,,,,,,,,,,,,,,,,,10.214
1992-12-16,,,,,,,,,,,,,,,,,,,,9.909
1992-12-17,,,,,,,,,,,,,,,,,,,,9.452
1992-12-18,,,,,,,,,,,,,,,,,,,,9.452
1992-12-21,,,,,,,,,,,,,,,,,,,,9.452
1992-12-22,,,,,,,,,,,,,,,,,,,,9.924
1992-12-24,,,,,,,,,,,,,,,,,,,,10.42
1992-12-29,,,,,,,,,,,,,,,,,,,,10.062
1992-12-30,,,,,,,,,,,,,,,,,,,,10.062
1992-12-31,,,,,,,,,,,,,,,,,,,,10.214
1993-01-05,,,,,,,,,,,,,,,,,,,,10.214
1993-01-12,,,,,,,,,,,,,,,,,,,,10.214
1993-01-22,,,,,,,,,,,,,,,,,,,,10.062
1993-01-28,,,,,,,,,,,,,,,,,,,,10.214
1993-02-01,,,,,,,,,,,,,,,,,,,,9.528
1993-02-02,,,,,,,,,,,,,,,,,,,,9.985
1993-02-04,,,,,,,,,,,,,,,,,,,,10.062
1993-02-17,,,,,,,,,,,,,,,,,,,,9.909
1993-02-18,,,,,,,,,,,,,,,,,,,,10.923
1993-02-19,,,,,,,,,,,,,,,,,,,,11.434
1993-02-22,,,,,,,,,,,,,,,,,,,,10.862
1993-02-24,,,,,,,,,,,,,,,,,,,,10.671
1993-02-26,,,,,,,,,,,,,,,,,,,,10.671
1993-03-02,,,,,,,,,,,,,,,,,,,,10.687
1993-03-04,,,,,,,,,,,,,,,,,,,,10.062
1993-03-05,,,,,,,,,,,,,,,,,,,,9.681
1993-03-15,,,,,,,,,,,,,,,,,,,,10.671
1993-03-16,,,,,,,,,,,,,,,,,,,,10.214
1993-03-17,,,,,,,,,,,,,,,,,,,,10.671
