,GEU7C FP Equity_PX_LAST
2025-06-03,10.052
2025-06-04,10.038
2025-06-05,10.002
2025-06-06,10.01
2025-06-09,10.01
2025-06-10,10.034
2025-06-11,10.04
2025-06-12,10.056
2025-06-13,10.02
2025-06-16,10.032
2025-06-17,10.02
2025-06-18,10.036
2025-06-19,10.02
2025-06-20,10.028
2025-06-23,10.03
2025-06-24,10.036
2025-06-25,10.03
2025-06-26,10.044
2025-06-27,10.022
2025-06-30,10.034
2025-07-01,10.042
2025-07-02,10.02
2025-07-03,10.036
2025-07-04,10.052
2025-07-07,10.028
2025-07-08,10.008
2025-07-09,10.018
2025-07-10,10.0
2025-07-11,9.987
2025-07-14,9.99
2025-07-15,10.006
2025-07-16,10.054
2025-07-17,10.028
2025-07-18,10.016
2025-07-21,10.062
2025-07-22,10.076
2025-07-23,10.074
2025-07-24,10.016
2025-07-25,10.004
2025-07-28,10.026
2025-07-29,10.026
2025-07-30,10.01
2025-07-31,10.014
2025-08-01,10.034
2025-08-04,10.06
2025-08-05,10.064
2025-08-06,10.058
2025-08-07,10.062
2025-08-08,10.034
2025-08-11,10.03
2025-08-12,10.008
2025-08-13,10.046
2025-08-14,10.04
2025-08-15,10.004
2025-08-18,10.006
2025-08-19,10.016
2025-08-20,10.034
2025-08-21,10.008
2025-08-22,10.074
2025-08-25,10.006
2025-08-26,10.018
2025-08-27,10.03
2025-08-28,10.034
2025-08-29,10.032
