,GREAL FP Equity_DX_SI_QTY,GREAL FP Equity_DX_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GREAL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GREAL FP Equity_DX_SI_MV,GREAL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GREAL FP Equity_DX_SUPPLY_SI_QTY,GREAL FP Equity_DX_BROKER_SI_QTY,GREAL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GREAL FP Equity_DX_BROKER_SI_QTY_ADD,GREAL FP Equity_DX_BROKER_SI_MV_ADD,GREAL FP Equity_DX_BROKER_SI_QTY_DEC,GREAL FP Equity_DX_SUPPLY_SI_MV,GREAL FP Equity_DX_BROKER_SI_MV_DEC,GREAL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GREAL FP Equity_DX_UTILIZATION_QUANTITY,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GREAL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GREAL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GREAL FP Equity_DX_ACTIVE_UTILIZATION_MV,GREAL FP Equity_DX_BROKER_SI_CON_RATIO,GREAL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GREAL FP Equity_DX_DEMAND_SUPPLY_RATIO,GREAL FP Equity_PX_LAST
2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,10.1722
2019-11-15,,,,,,,,,,,,,,,,,,,,,,,,10.2151
2019-11-18,,,,,,,,,,,,,,,,,,,,,,,,10.3331
2019-11-19,,,,,,,,,,,,,,,,,,,,,,,,10.3348
2019-11-20,,,,,,,,,,,,,,,,,,,,,,,,10.2662
2019-11-21,,,,,,,,,,,,,,,,,,,,,,,,10.1747
2019-11-22,,,,,,,,,,,,,,,,,,,,,,,,10.1668
2019-11-25,,,,,,,,,,,,,,,,,,,,,,,,10.2085
2019-11-26,,,,,,,,,,,,,,,,,,,,,,,,10.3413
2019-11-27,,,,,,,,,,,,,,,,,,,,,,,,10.3402
2019-11-28,,,,,,,,,,,,,,,,,,,,,,,,10.321
2019-11-29,,,,,,,,,,,,,,,,,,,,,,,,10.306
2019-12-02,,,,,,,,,,,,,,,,,,,,,,,,10.1894
2019-12-03,,,,,,,,,,,,,,,,,,,,,,,,10.2007
2019-12-04,,,,,,,,,,,,,,,,,,,,,,,,10.2311
2019-12-05,,,,,,,,,,,,,,,,,,,,,,,,10.242
2019-12-06,,,,,,,,,,,,,,,,,,,,,,,,10.3373
2019-12-09,,,,,,,,,,,,,,,,,,,,,,,,10.351
2019-12-10,,,,,,,,,,,,,,,,,,,,,,,,10.3592
2019-12-11,,,,,,,,,,,,,,,,,,,,,,,,10.3229
2019-12-12,,,,,,,,,,,,,,,,,,,,,,,,10.255
2019-12-13,,,,,,,,,,,,,,,,,,,,,,,,10.2401
2019-12-16,,,,,,,,,,,,,,,,,,,,,,,,10.33
2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,10.3129
2019-12-18,,,,,,,,,,,,,,,,,,,,,,,,10.3598
2019-12-19,,,,,,,,,,,,,,,,,,,,,,,,10.4255
2019-12-20,,,,,,,,,,,,,,,,,,,,,,,,10.5095
2019-12-23,,,,,,,,,,,,,,,,,,,,,,,,10.501
2019-12-24,,,,,,,,,,,,,,,,,,,,,,,,10.5069
2019-12-27,,,,,,,,,,,,,,,,,,,,,,,,10.6199
2019-12-30,,,,,,,,,,,,,,,,,,,,,,,,10.5623
2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,10.558
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,10.5652
