,HLT FP Equity_DX_DSS,HLT FP Equity_PX_LAST
2006-08-28,,45.48
2006-08-30,,46.29
2006-08-31,,46.49
2006-09-01,,46.65
2006-09-04,,46.44
2006-09-05,,46.14
2006-09-06,,45.73
2006-09-07,,45.54
2006-09-08,,45.6
2006-09-11,,45.15
2006-09-12,,45.79
2006-09-13,,45.76
2006-09-14,,45.42
2006-09-15,,45.3
2006-09-18,,45.49
2006-09-19,,45.2
2006-09-20,,45.66
2006-09-21,,45.62
2006-09-22,,45.33
2006-09-25,,45.58
2006-09-26,,45.95
2006-09-27,,45.92
2006-09-28,,45.92
2006-09-29,,45.74
2006-10-03,,46.11
2006-10-04,,46.07
2006-10-05,,45.93
2006-10-06,,45.89
2006-10-09,,46.04
2006-10-10,,46.17
2006-10-12,,46.3
2006-10-13,,46.34
2006-10-16,,46.49
2006-10-17,,46.43
2006-10-18,,46.71
2006-10-19,,47.25
2006-10-20,,47.34
2006-10-23,,47.64
2006-10-24,,47.42
2006-10-25,,47.62
2006-10-26,,46.48
2006-10-27,,45.97
2006-10-30,,45.82
2006-10-31,,45.77
2006-11-01,,45.82
2006-11-02,,46.16
2006-11-03,,46.08
2006-11-06,,46.27
2006-11-07,,46.44
2006-11-08,,45.92
2006-11-09,,45.44
2006-11-10,,44.79
2006-11-13,,45.11
2006-11-14,,44.77
2006-11-15,,44.97
2006-11-16,,45.02
2006-11-17,,44.99
2006-11-20,,45.32
2006-11-21,,45.2
2006-11-22,,45.02
2006-11-23,,44.95
2006-11-24,,44.51
2006-11-27,,44.15
2006-11-28,,43.83
2006-11-29,,44.69
2006-11-30,,44.67
2006-12-01,,44.27
2006-12-04,,43.85
2006-12-05,,43.99
2006-12-06,,43.82
2006-12-07,,44.24
2006-12-08,,44.22
2006-12-11,,44.35
2006-12-12,,44.77
2006-12-13,,44.65
2006-12-14,,44.85
2006-12-15,,44.98
2006-12-18,,45.18
2006-12-19,,44.77
2006-12-20,,44.44
2006-12-21,,44.53
2006-12-22,,44.55
2006-12-27,,44.51
2006-12-28,,44.54
2006-12-29,,44.38
2007-01-02,,44.77
2007-01-03,,45.06
2007-01-04,,45.5
2007-01-05,,45.77
2007-01-08,,45.12
2007-01-09,,45.24
2007-01-10,,45.24
2007-01-11,,45.78
2007-01-12,,46.0
2007-01-15,,46.5
2007-01-16,,46.51
2007-01-17,,46.69
2007-01-18,,46.7
2007-01-19,,46.88
2007-01-22,,46.42
2007-01-23,,46.21
2007-01-24,,46.62
2007-01-25,,46.63
2007-01-26,,45.94
2007-01-29,,45.92
2007-01-30,,45.88
2007-01-31,,45.6
2007-02-01,,46.24
2007-02-02,,46.73
2007-02-05,,46.76
2007-02-06,,47.13
2007-02-07,,46.67
2007-02-08,,46.47
2007-02-09,,46.47
2007-02-12,,46.78
2007-02-13,,46.6
2007-02-14,,46.81
2007-02-15,,46.79
2007-02-19,,46.84
2007-02-20,,46.68
2007-02-21,,46.28
2007-02-22,,45.9
2007-02-23,,46.11
2007-02-26,,45.96
2007-02-27,,44.94
2007-02-28,,45.0
2007-03-01,,44.41
2007-03-02,,44.37
2007-03-05,,44.03
2007-03-06,,44.65
2007-03-07,,44.96
2007-03-08,,45.49
2007-03-09,,45.27
