,INS FP Equity_DX_DSS,INS FP Equity_PX_LAST
2006-08-23,,25.49
2006-08-28,,25.5
2006-08-30,,25.96
2006-08-31,,26.04
2006-09-01,,26.31
2006-09-04,,26.44
2006-09-05,,26.21
2006-09-06,,25.88
2006-09-07,,25.54
2006-09-08,,25.69
2006-09-11,,25.73
2006-09-12,,26.08
2006-09-13,,26.18
2006-09-14,,26.19
2006-09-15,,26.47
2006-09-18,,26.33
2006-09-19,,26.12
2006-09-20,,26.54
2006-09-21,,26.66
2006-09-22,,26.4
2006-09-25,,26.43
2006-09-26,,26.93
2006-09-27,,26.95
2006-09-28,,26.9
2006-09-29,,27.0
2006-10-03,,26.85
2006-10-04,,27.2
2006-10-05,,27.35
2006-10-06,,27.33
2006-10-09,,27.28
2006-10-10,,27.58
2006-10-11,,27.5
2006-10-12,,27.9
2006-10-13,,28.07
2006-10-16,,28.06
2006-10-17,,27.45
2006-10-18,,27.84
2006-10-19,,27.89
2006-10-20,,27.81
2006-10-23,,28.06
2006-10-24,,27.97
2006-10-25,,27.83
2006-10-26,,27.71
2006-10-27,,27.52
2006-10-30,,27.42
2006-11-01,,27.85
2006-11-02,,27.62
2006-11-03,,27.68
2006-11-06,,28.24
2006-11-07,,28.4
2006-11-08,,28.46
2006-11-09,,28.16
2006-11-10,,28.05
2006-11-13,,28.31
2006-11-14,,28.11
2006-11-15,,28.16
2006-11-16,,28.18
2006-11-17,,28.05
2006-11-21,,28.47
2006-11-22,,28.22
2006-11-24,,27.7
2006-11-27,,27.25
2006-11-28,,27.32
2006-11-29,,27.59
2006-11-30,,27.68
2006-12-04,,27.42
2006-12-05,,27.67
2006-12-06,,27.61
2006-12-07,,27.93
2006-12-08,,27.88
2006-12-11,,28.12
2006-12-12,,28.12
2006-12-13,,28.43
2006-12-14,,28.62
2006-12-15,,28.71
2006-12-18,,28.77
2006-12-20,,28.87
2006-12-21,,28.79
2006-12-22,,28.68
2006-12-27,,28.91
2006-12-28,,28.86
2006-12-29,,28.8
2007-01-02,,29.06
2007-01-03,,29.19
2007-01-04,,29.2
2007-01-05,,29.0
2007-01-08,,28.88
2007-01-09,,29.2
2007-01-10,,28.87
2007-01-11,,29.38
2007-01-12,,29.53
2007-01-15,,29.73
2007-01-16,,29.52
2007-01-17,,29.4
2007-01-18,,29.36
2007-01-19,,29.45
2007-01-22,,29.3
2007-01-23,,29.16
2007-01-24,,29.48
2007-01-25,,29.36
2007-01-26,,28.89
2007-01-29,,29.07
2007-01-30,,29.15
2007-01-31,,28.9
2007-02-01,,29.25
2007-02-02,,29.57
2007-02-05,,29.44
2007-02-06,,29.56
2007-02-07,,29.66
2007-02-08,,29.43
2007-02-09,,29.62
2007-02-12,,29.36
2007-02-13,,29.43
2007-02-14,,29.52
2007-02-15,,29.6
2007-02-16,,29.6
2007-02-19,,29.77
2007-02-20,,29.62
2007-02-21,,29.57
2007-02-22,,29.97
2007-02-23,,29.94
2007-02-26,,30.32
2007-02-27,,29.26
2007-02-28,,28.99
2007-03-01,,28.29
2007-03-02,,28.02
2007-03-05,,27.71
2007-03-06,,27.86
2007-03-07,,28.12
2007-03-12,,28.45
2007-03-13,,28.14
2007-03-14,,27.17
2007-03-15,,27.36
2007-03-16,,27.3
2007-03-19,,27.89
2007-03-20,,28.19
2007-03-21,,28.21
2007-03-22,,28.88
2007-03-23,,29.03
2007-03-26,,28.6
2007-03-27,,28.62
2007-03-28,,28.31
2007-03-29,,28.61
2007-03-30,,28.72
2007-04-02,,28.76
2007-04-03,,29.12
2007-04-04,,29.21
2007-04-05,,29.19
2007-04-10,,29.32
2007-04-11,,29.43
2007-04-12,,29.48
2007-04-13,,29.59
2007-04-16,,30.08
2007-04-17,,30.13
2007-04-18,,29.9
2007-04-19,,29.74
2007-04-20,,30.16
2007-04-23,,30.22
2007-04-24,,30.02
2007-04-25,,30.15
2007-04-26,,30.25
2007-04-27,,30.01
2007-04-30,,30.21
2007-05-02,,30.4
2007-05-03,,30.4
2007-05-04,,30.8
2007-05-07,,30.86
2007-05-08,,30.53
2007-05-09,,30.49
2007-05-10,,30.47
2007-05-11,,30.38
2007-05-14,,30.3
2007-05-15,,30.51
2007-05-16,,30.41
2007-05-17,,30.49
2007-05-18,,30.63
2007-05-21,,30.64
2007-05-22,,30.59
2007-05-23,,30.64
2007-05-24,,30.29
2007-05-25,,30.43
2007-05-28,,30.37
2007-05-29,,30.48
2007-05-30,,30.22
2007-05-31,,30.52
2007-06-01,,30.8
2007-06-04,,30.87
2007-06-05,,30.74
2007-06-06,,30.26
2007-06-07,,29.66
2007-06-08,,29.46
2007-06-11,,29.77
2007-06-12,,29.68
2007-06-13,,29.78
2007-06-14,,30.1
2007-06-15,,30.69
2007-06-18,,30.7
2007-06-19,,30.77
2007-06-20,,31.05
2007-06-21,,30.68
2007-06-22,,30.5
2007-06-25,,30.45
2007-06-26,,30.05
2007-06-27,,29.68
2007-06-28,,29.83
2007-06-29,,29.88
2007-07-02,,29.7
2007-07-03,,30.07
2007-07-04,,30.24
2007-07-05,,29.91
2007-07-06,,30.0
2007-07-09,,30.15
2007-07-10,,29.84
2007-07-11,,29.49
2007-07-12,,29.65
2007-07-13,,30.08
2007-07-16,,30.24
2007-07-17,,30.04
2007-07-18,,29.69
2007-07-19,,29.73
2007-07-20,,29.5
2007-07-23,,29.6
2007-07-24,,29.15
2007-07-25,,28.63
2007-07-26,,27.82
2007-07-27,,27.42
2007-07-30,,27.44
2007-07-31,,28.09
2007-08-01,,27.66
2007-08-02,,27.92
2007-08-03,,27.56
2007-08-06,,27.47
2007-08-07,,28.0
2007-08-08,,28.86
2007-08-09,,28.28
2007-08-10,,27.61
2007-08-13,,28.11
2007-08-14,,27.69
2007-08-15,,27.44
2007-08-16,,26.84
2007-08-17,,27.62
2007-08-20,,27.78
2007-08-21,,27.55
2007-08-22,,28.03
2007-08-23,,28.1
2007-08-24,,27.95
2007-08-27,,28.01
2007-08-28,,27.48
2007-08-29,,27.55
2007-08-30,,27.81
2007-08-31,,28.01
2007-09-03,,28.2
2007-09-04,,28.46
2007-09-05,,27.96
2007-09-06,,27.9
2007-09-07,,27.36
2007-09-10,,26.36
2007-09-12,,26.56
2007-09-13,,26.7
2007-09-14,,26.51
2007-09-17,,26.42
2007-09-18,,26.3
2007-09-19,,27.4
2007-09-26,,27.52
2007-09-27,,27.92
2007-09-28,,28.04
2007-10-01,,28.28
2007-10-02,,28.49
2007-10-03,,28.59
2007-10-05,,28.66
2007-10-08,,28.71
2007-10-09,,28.78
2007-10-10,,28.93
2007-10-11,,29.0
2007-10-12,,28.7
2007-10-15,,28.69
2007-10-16,,28.15
2007-10-17,,28.21
2007-10-18,,27.9
2007-10-19,,27.9
2007-10-25,,27.68
2007-10-29,,28.06
2007-10-31,,28.1
2007-11-02,,27.43
2007-11-05,,27.13
2007-11-06,,27.1
2007-11-09,,25.49
2007-11-12,,25.44
2007-11-14,,26.06
2007-11-15,,25.74
2007-11-16,,25.21
2007-11-19,,24.35
2007-11-20,,24.0
2007-11-21,,23.85
2007-11-22,,23.6
2007-11-23,,24.37
2007-11-26,,24.17
2007-11-27,,24.07
2007-11-28,,24.85
2007-11-29,,25.37
2007-11-30,,25.24
2007-12-03,,25.13
2007-12-04,,24.8
2007-12-05,,24.87
2007-12-06,,25.58
2007-12-07,,25.8
2007-12-10,,26.0
2007-12-11,,25.98
2007-12-12,,26.19
2007-12-13,,25.53
2007-12-14,,25.4
2007-12-17,,24.91
2007-12-18,,25.12
2007-12-19,,24.75
2007-12-20,,24.76
2007-12-21,,25.07
2007-12-28,,25.26
2008-01-03,,24.86
2008-01-08,,24.1
2008-01-09,,23.94
2008-01-15,,24.05
2008-01-16,,24.16
2008-01-17,,23.93
2008-01-18,,23.14
2008-01-21,,22.28
2008-01-22,,21.69
2008-01-23,,21.04
2008-01-24,,22.67
2008-01-25,,22.0
2008-01-28,,22.1
2008-01-29,,22.5
2008-01-31,,21.37
2008-02-01,,22.3
2008-02-04,,22.27
2008-02-05,,21.6
2008-02-06,,21.67
2008-02-08,,21.06
2008-02-11,,20.81
2008-02-12,,20.89
2008-02-13,,21.15
2008-02-14,,21.25
2008-02-18,,21.32
2008-02-19,,21.83
2008-02-20,,21.52
2008-02-21,,22.19
2008-02-22,,21.8
2008-02-25,,22.37
2008-02-26,,22.6
2008-02-27,,22.65
2008-02-28,,22.47
2008-02-29,,21.85
2008-03-05,,21.68
2008-03-06,,21.28
2008-03-07,,20.58
2008-03-10,,20.7
2008-03-11,,21.03
2008-03-12,,21.53
2008-03-13,,21.03
2008-03-14,,20.86
2008-03-17,,19.93
2008-03-18,,20.56
2008-03-19,,20.89
2008-03-25,,22.16
2008-03-26,,21.93
2008-03-27,2.0,22.34
2008-03-28,2.0,22.39
2008-03-31,2.0,
2008-04-01,2.0,23.05
2008-04-02,2.0,23.93
2008-04-03,2.0,23.64
2008-04-04,2.0,23.48
2008-04-07,2.0,23.85
2008-04-08,2.0,23.49
2008-04-09,2.0,
2008-04-10,2.0,23.1
2008-04-11,2.0,23.23
2008-04-14,2.0,22.53
2008-04-15,2.0,22.34
2008-04-16,2.0,22.62
2008-04-17,2.0,23.0
2008-04-18,3.0,23.59
2008-04-21,3.0,23.31
2008-04-22,3.0,23.04
2008-04-23,3.0,23.05
2008-04-24,3.0,22.79
2008-04-25,3.0,23.18
2008-04-28,3.0,23.51
2008-04-29,3.0,
2008-04-30,3.0,23.53
2008-05-01,3.0,
2008-05-02,3.0,24.16
2008-05-05,3.0,24.04
2008-05-06,3.0,23.63
2008-05-07,3.0,23.92
2008-05-08,3.0,23.62
2008-05-09,3.0,23.24
2008-05-12,3.0,23.39
2008-05-13,3.0,
2008-05-14,3.0,23.55
2008-05-15,3.0,
2008-05-16,3.0,23.65
2008-05-19,3.0,23.47
2008-05-20,3.0,23.17
2008-05-21,3.0,22.72
2008-05-22,3.0,
2008-05-23,3.0,22.7
2008-05-26,3.0,22.39
2008-05-27,3.0,22.22
2008-05-28,3.0,22.68
2008-05-29,3.0,
2008-05-30,3.0,23.06
2008-06-02,1.0,
2008-06-03,2.0,
2008-06-04,2.0,22.55
2008-06-05,2.0,
2008-06-06,2.0,21.95
2008-06-09,2.0,21.85
2008-06-10,2.0,21.7
2008-06-11,2.0,
2008-06-12,2.0,21.59
2008-06-13,2.0,21.82
2008-06-16,2.0,21.75
2008-06-17,2.0,
2008-06-18,2.0,21.42
2008-06-19,2.0,
2008-06-20,2.0,21.3
2008-06-23,2.0,20.64
2008-06-24,2.0,20.43
2008-06-25,2.0,20.77
2008-06-26,2.0,20.15
2008-06-27,2.0,19.89
2008-06-30,2.0,19.72
2008-07-01,2.0,19.19
2008-07-02,2.0,19.46
2008-07-03,2.0,19.43
2008-07-04,2.0,19.27
2008-07-07,2.0,19.33
2008-07-08,2.0,19.18
2008-07-09,2.0,19.55
2008-07-10,2.0,
2008-07-11,0.0,18.92
2008-07-14,2.0,19.0
2008-07-15,2.0,18.2
2008-07-16,2.0,18.18
2008-07-17,2.0,19.04
2008-07-18,2.0,19.69
2008-07-21,2.0,20.03
2008-07-22,2.0,19.46
2008-07-23,2.0,20.69
2008-07-24,2.0,20.5
2008-07-25,2.0,19.66
2008-07-28,2.0,
2008-07-29,2.0,19.24
2008-07-30,2.0,
2008-07-31,2.0,19.58
2008-08-01,2.0,19.55
2008-08-04,2.0,
2008-08-05,2.0,20.39
2008-08-06,2.0,20.58
2008-08-07,2.0,20.37
2008-08-08,2.0,20.83
2008-08-11,2.0,
2008-08-12,2.0,21.08
2008-08-13,2.0,20.54
2008-08-14,2.0,20.51
2008-08-15,2.0,
2008-08-18,2.0,20.55
2008-08-19,2.0,19.72
2008-08-20,2.0,19.69
2008-08-21,2.0,19.43
2008-08-22,2.0,19.9
2008-08-25,2.0,20.07
2008-08-26,2.0,
2008-08-27,2.0,
2008-08-28,2.0,20.41
2008-08-29,2.0,20.44
2008-09-01,2.0,20.39
2008-09-02,2.0,21.16
2008-09-03,2.0,20.85
2008-09-04,2.0,20.77
2008-09-05,2.0,19.98
2008-09-08,2.0,20.01
2008-09-09,2.0,20.09
2008-09-10,2.0,19.92
2008-09-11,2.0,19.48
2008-09-12,2.0,19.66
2008-09-15,2.0,18.41
2008-09-16,2.0,17.1
2008-09-17,2.0,17.6
2008-09-18,2.0,16.99
2008-09-19,2.0,19.29
2008-09-22,2.0,19.71
2008-09-23,2.0,18.56
2008-09-24,2.0,18.82
2008-09-25,2.0,19.28
2008-09-26,2.0,19.25
2008-09-29,2.0,17.65
2008-09-30,1.0,17.65
2008-10-01,1.0,18.08
2008-10-02,1.0,18.56
2008-10-03,1.0,18.48
2008-10-06,1.0,16.83
2008-10-07,1.0,16.42
2008-10-08,1.0,15.92
2008-10-09,0.0,14.95
2008-10-10,0.0,13.44
2008-10-13,0.0,14.73
2008-10-14,0.0,16.1
2008-10-15,0.0,15.35
2008-10-16,0.0,13.4
2008-10-17,0.0,13.2
2008-10-20,0.0,13.47
2008-10-21,0.0,13.9
2008-10-22,0.0,13.2
2008-10-23,0.0,12.57
2008-10-24,1.0,11.85
2008-10-27,1.0,11.33
2008-10-28,1.0,11.0
2008-10-29,1.0,
2008-10-30,1.0,12.7
2008-10-31,1.0,13.01
2008-11-03,1.0,13.43
2008-11-04,,14.57
2008-11-05,,14.44
2008-11-06,,13.68
2008-11-07,,14.02
2008-11-10,,14.06
2008-11-11,,13.6
2008-11-12,,12.5
2008-11-13,,12.53
2008-11-14,,12.9
2008-11-18,,12.3
2008-11-19,,12.17
2008-11-20,,11.07
2008-11-21,,11.32
2008-11-24,,11.33
2008-11-25,,12.13
2008-11-27,,12.76
2008-12-02,,12.5
2008-12-03,,12.68
2008-12-04,,13.01
2008-12-05,,12.52
2008-12-09,,14.1
2008-12-10,,14.37
2008-12-11,,14.1
2008-12-12,,13.05
2008-12-15,,13.43
2008-12-17,,13.31
2008-12-18,,13.29
2008-12-19,,13.23
2008-12-22,,13.29
2008-12-24,,13.29
2008-12-29,,12.98
2008-12-30,,13.07
2009-01-02,,13.48
2009-01-05,,13.71
2009-01-06,,14.27
2009-01-07,,13.97
2009-01-13,,13.45
2009-01-14,,13.06
2009-01-15,,12.39
2009-01-16,,12.79
2009-01-20,,11.58
2009-01-21,,11.43
2009-01-22,,11.32
2009-01-23,,10.62
2009-01-26,,11.2
2009-01-27,,11.46
2009-01-30,,11.99
2009-02-04,,12.12
2009-02-05,,11.78
2009-02-06,,12.18
2009-02-10,,12.28
2009-02-12,,11.59
2009-02-16,,11.2
2009-02-17,,10.62
2009-02-19,,10.42
2009-02-20,,9.75
2009-02-23,,9.86
2009-02-24,,9.13
2009-02-25,,9.46
2009-02-26,,9.67
2009-03-02,,9.0
2009-03-03,,8.71
2009-03-04,,9.0
2009-03-05,,8.1
2009-03-06,,7.73
2009-03-09,,7.46
2009-03-10,,8.31
2009-03-11,,8.66
2009-03-12,,8.24
2009-03-13,,8.69
2009-03-17,,9.03
2009-03-18,,9.28
2009-03-19,,9.74
2009-03-20,,9.69
2009-03-23,,10.41
2009-03-24,,10.26
2009-03-25,,10.32
2009-03-26,,10.39
2009-03-27,,10.35
2009-03-30,,9.55
2009-03-31,,9.84
2009-04-01,,9.87
2009-04-02,,11.0
2009-04-06,,10.82
2009-04-07,,10.61
2009-04-08,,10.69
2009-04-14,,11.72
2009-04-15,,11.52
2009-04-16,,11.93
2009-04-17,,12.04
2009-04-20,,11.49
2009-04-21,,11.2
2009-04-22,,11.44
2009-04-23,,11.6
2009-04-24,,11.78
2009-04-27,,11.7
2009-04-28,,11.47
2009-04-29,,11.9
2009-04-30,,12.62
2009-05-04,,12.78
2009-05-05,,13.01
2009-05-06,,13.15
2009-05-07,,13.03
2009-05-08,,13.62
2009-05-11,,13.37
2009-05-12,,13.47
2009-05-13,,12.47
2009-05-14,,12.68
2009-05-15,,12.8
2009-05-18,,12.5
2009-05-19,,13.3
2009-05-20,,13.3
2009-05-21,,12.77
2009-05-22,,13.14
2009-05-25,,12.89
2009-05-26,,12.75
2009-05-27,,13.15
2009-05-28,,12.95
2009-05-29,,12.91
2009-06-02,,13.4
2009-06-03,,13.2
2009-06-04,,13.19
2009-06-05,,13.36
2009-06-08,,13.2
2009-06-09,,13.28
2009-06-10,,13.53
2009-06-15,,12.92
2009-06-16,,12.79
2009-06-17,,12.46
2009-06-18,,12.68
2009-06-19,,12.83
2009-06-22,,12.38
2009-06-23,,12.26
2009-06-24,,12.64
2009-06-25,,12.54
2009-06-26,,12.49
2009-06-29,,12.85
2009-06-30,,12.73
2009-07-01,,12.99
2009-07-02,,12.51
2009-07-03,,12.52
2009-07-06,,12.33
2009-07-07,,12.15
2009-07-08,,11.85
2009-07-09,,11.92
2009-07-10,,11.72
2009-07-13,,12.14
2009-07-14,,12.36
2009-07-15,,12.79
2009-07-16,,12.9
2009-07-17,,12.87
2009-07-20,,13.17
2009-07-21,,13.37
2009-07-22,,13.24
2009-07-23,,13.62
2009-07-24,,13.6
2009-07-27,,13.72
2009-07-28,,13.48
2009-07-29,,13.71
2009-07-30,,13.99
2009-07-31,,13.98
2009-08-03,,14.22
2009-08-04,,14.36
2009-08-05,,14.28
2009-08-06,,14.53
2009-08-07,,14.62
2009-08-10,,14.74
2009-08-11,,14.38
2009-08-12,,14.55
2009-08-13,,14.83
2009-08-14,,14.65
2009-08-17,,14.31
2009-08-18,,14.49
2009-08-19,,14.45
2009-08-20,,14.61
2009-08-21,,15.02
2009-08-24,,15.37
2009-08-25,,15.41
2009-08-26,,15.39
2009-08-27,,15.22
2009-08-28,,15.41
2009-08-31,,15.3
2009-09-01,,15.01
2009-09-02,,14.7
2009-09-03,,14.78
2009-09-04,,15.02
2009-09-07,,15.24
2009-09-08,,15.24
2009-09-09,,15.42
2009-09-10,,15.63
2009-09-11,,15.7
2009-09-14,,15.07
2009-09-15,,15.03
2009-09-16,,15.31
2009-09-17,,15.36
2009-09-18,,15.33
2009-09-21,,15.26
2009-09-22,,15.41
2009-09-23,,15.57
2009-09-24,,15.24
2009-09-25,,15.25
2009-09-28,,15.52
2009-09-29,,15.71
2009-09-30,,15.91
2009-10-01,,15.76
2009-10-02,,15.41
2009-10-05,,15.54
2009-10-06,,15.95
2009-10-07,,15.99
2009-10-08,,16.26
2009-10-09,,16.3
2009-10-12,,16.47
2009-10-13,,16.25
2009-10-14,,16.47
2009-10-15,,16.53
2009-10-16,,16.3
2009-10-19,,16.38
2009-10-20,,16.24
2009-10-21,,16.21
2009-10-22,,15.94
2009-10-23,,15.94
2009-10-26,,15.27
2009-10-27,,15.18
2009-10-28,,14.67
2009-10-29,,15.08
2009-10-30,,14.62
2009-11-02,,14.61
2009-11-03,,14.42
2009-11-04,,14.81
2009-11-05,,14.82
2009-11-06,,14.79
2009-11-09,,15.17
2009-11-10,,15.11
2009-11-11,,15.31
2009-11-12,,15.23
2009-11-13,,15.3
2009-11-16,,15.48
2009-11-17,,15.39
2009-11-18,,15.3
2009-11-19,,15.03
2009-11-20,,14.89
2009-11-23,,15.26
2009-11-24,,15.15
2009-11-25,,15.22
2009-11-26,,14.57
2009-11-27,,14.73
2009-11-30,,14.41
2009-12-01,,14.81
2009-12-02,,14.75
2009-12-03,,14.84
2009-12-04,,14.91
2009-12-07,,14.82
2009-12-08,,14.54
2009-12-09,,14.17
2009-12-10,,14.43
2009-12-11,,14.44
2009-12-14,,14.62
2009-12-15,,14.66
2009-12-16,,15.01
2009-12-17,,14.86
2009-12-18,,14.65
2009-12-21,,14.91
2009-12-22,,15.03
