,LWCE FP Equity_DX_SI_QTY,LWCE FP Equity_DX_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LWCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LWCE FP Equity_DX_SI_MV,LWCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LWCE FP Equity_DX_SUPPLY_SI_QTY,LWCE FP Equity_DX_BROKER_SI_QTY,LWCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_x,LWCE FP Equity_DX_BROKER_SI_QTY_ADD,LWCE FP Equity_DX_SUPPLY_SI_MV_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_QTY_INC_y,LWCE FP Equity_DX_BROKER_SI_MV_ADD,LWCE FP Equity_DX_SUPPLY_SI_QTY_ADD,LWCE FP Equity_DX_BROKER_SI_QTY_DEC,LWCE FP Equity_DX_SUPPLY_SI_MV,LWCE FP Equity_DX_BROKER_SI_MV_DEC,LWCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LWCE FP Equity_DX_UTILIZATION_QUANTITY,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LWCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LWCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LWCE FP Equity_DX_ACTIVE_UTILIZATION_MV,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LWCE FP Equity_DX_BROKER_SI_CON_RATIO,LWCE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LWCE FP Equity_DX_DEMAND_SUPPLY_RATIO,LWCE FP Equity_PX_LAST
2020-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.74
2020-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.13
2020-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7
2020-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.27
2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1
2020-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9
2020-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.97
2020-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.39
2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.52
2020-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.13
2020-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.13
2020-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.17
2020-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.04
2020-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.22
2020-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.22
2020-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.19
2020-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.615
2020-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.67
2020-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.51
2020-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7
2020-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.41
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.62
