,MIVU FP Equity_DX_SI_QTY,MIVU FP Equity_DX_SHORT_INTEREST_VALUE,MIVU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MIVU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MIVU FP Equity_DX_SI_MV,MIVU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MIVU FP Equity_DX_SUPPLY_SI_QTY,MIVU FP Equity_DX_BROKER_SI_QTY,MIVU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MIVU FP Equity_DX_SUPPLY_SI_QTY_INC_x,MIVU FP Equity_DX_BROKER_SI_MV_INC_x,MIVU FP Equity_DX_BROKER_SI_QTY_ADD,MIVU FP Equity_DX_SUPPLY_SI_MV_DEC,MIVU FP Equity_DX_BROKER_SI_QTY_INC,MIVU FP Equity_DX_SUPPLY_SI_QTY_DEC,MIVU FP Equity_DX_BROKER_SI_MV_INC_y,MIVU FP Equity_DX_SUPPLY_SI_QTY_INC_y,MIVU FP Equity_DX_BROKER_SI_MV_ADD,MIVU FP Equity_DX_SUPPLY_SI_QTY_ADD,MIVU FP Equity_DX_BROKER_SI_QTY_DEC,MIVU FP Equity_DX_SUPPLY_SI_MV,MIVU FP Equity_DX_BROKER_SI_MV_DEC,MIVU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MIVU FP Equity_DX_UTILIZATION_QUANTITY,MIVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MIVU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MIVU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MIVU FP Equity_DX_ACTIVE_UTILIZATION_MV,MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MIVU FP Equity_DX_BROKER_SI_CON_RATIO,MIVU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MIVU FP Equity_DX_DEMAND_SUPPLY_RATIO,MIVU FP Equity_PX_LAST
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.782
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.451
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.934
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.436
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.514
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.384
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.512
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.615
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.937
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.128
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.328
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.359
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.281
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.205
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.401
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.521
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.575
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.471
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.487
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.417
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.65
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.366
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.523
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.453
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.873
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.702
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.119
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.252
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.998
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.016
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.798
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.809
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.266
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.003
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.378
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.757
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.683
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.701
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.195
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.378
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.403
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.99
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.466
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.508
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.389
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.47
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.031
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.355
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.057
