,MLEFA FP Equity_DX_SI_QTY,MLEFA FP Equity_DX_SHORT_INTEREST_VALUE,MLEFA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLEFA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLEFA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLEFA FP Equity_DX_SI_MV,MLEFA FP Equity_DX_DSS,MLEFA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLEFA FP Equity_DX_SUPPLY_SI_QTY,MLEFA FP Equity_DX_BROKER_SI_QTY,MLEFA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLEFA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MLEFA FP Equity_DX_SUPPLY_SI_QTY_INC_x,MLEFA FP Equity_DX_BROKER_SI_MV_INC_x,MLEFA FP Equity_DX_SUPPLY_SI_MV_NEW,MLEFA FP Equity_DX_BROKER_SI_QTY_ADD,MLEFA FP Equity_DX_SUPPLY_SI_MV_DEC,MLEFA FP Equity_DX_BROKER_SI_QTY_INC,MLEFA FP Equity_DX_SUPPLY_SI_QTY_DEC,MLEFA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MLEFA FP Equity_DX_BROKER_SI_MV_INC_y,MLEFA FP Equity_DX_SUPPLY_SI_QTY_INC_y,MLEFA FP Equity_DX_BROKER_SI_MV_ADD,MLEFA FP Equity_DX_SUPPLY_SI_QTY_ADD,MLEFA FP Equity_DX_BROKER_SI_QTY_DEC,MLEFA FP Equity_DX_SUPPLY_SI_MV,MLEFA FP Equity_DX_BROKER_SI_MV_DEC,MLEFA FP Equity_DX_SUPPLY_SI_MV_RMV,MLEFA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLEFA FP Equity_DX_UTILIZATION_QUANTITY,MLEFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLEFA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLEFA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MLEFA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLEFA FP Equity_DX_ACTIVE_UTILIZATION_MV,MLEFA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MLEFA FP Equity_DX_BROKER_SI_CON_RATIO,MLEFA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MLEFA FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,10131.7,,0.01,0.0,,0.0,,0.0
2021-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,9846.3,,0.01,0.0,,0.0,,0.0
2021-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,9989.0,,0.01,0.0,,0.0,,0.0
2021-12-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,10274.4,,0.01,0.0,,0.0,,0.0
2021-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,10274.4,,0.01,0.0,,0.0,,0.0
2021-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,8990.1,,0.01,0.0,,0.0,,0.0
2021-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,8990.1,,0.01,0.0,,0.0,,0.0
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,14270.0,9275.5,,0.01,0.0,,0.0,,0.0
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,31684.0,21228.28,,0.02,0.0,,0.0,,0.0
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,31684.0,22812.48,,0.02,0.0,,0.0,,0.0
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,31684.0,22812.48,,0.02,0.0,,0.0,,0.0
