,MLMFI FP Equity_DX_SI_QTY,MLMFI FP Equity_DX_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMFI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMFI FP Equity_DX_SI_MV,MLMFI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SUPPLY_SI_QTY,MLMFI FP Equity_DX_BROKER_SI_QTY,MLMFI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMFI FP Equity_DX_SUPPLY_SI_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMFI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMFI FP Equity_DX_BROKER_SI_CON_RATIO,MLMFI FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMFI FP Equity_PX_LAST
2013-05-15,,,,,,,,,,,,,,,,,,,,8.7
2013-05-16,,,,,,,,,,,,,,,,,,,,9.0
2013-05-22,,,,,,,,,,,,,,,,,,,,9.0
2013-05-24,,,,,,,,,,,,,,,,,,,,8.7
2013-05-27,,,,,,,,,,,,,,,,,,,,9.1
2013-05-28,,,,,,,,,,,,,,,,,,,,8.7
2013-05-29,,,,,,,,,,,,,,,,,,,,8.7
2013-05-31,,,,,,,,,,,,,,,,,,,,8.7
2013-06-03,,,,,,,,,,,,,,,,,,,,8.7
2013-06-04,,,,,,,,,,,,,,,,,,,,9.0
2013-06-07,,,,,,,,,,,,,,,,,,,,9.1
2013-06-13,,,,,,,,,,,,,,,,,,,,9.2
2013-06-19,,,,,,,,,,,,,,,,,,,,8.7
2013-06-20,,,,,,,,,,,,,,,,,,,,9.0
2013-06-24,,,,,,,,,,,,,,,,,,,,8.7
2013-06-26,,,,,,,,,,,,,,,,,,,,8.7
2013-06-27,,,,,,,,,,,,,,,,,,,,8.69
2013-06-28,,,,,,,,,,,,,,,,,,,,8.7
2013-07-01,,,,,,,,,,,,,,,,,,,,8.7
2013-07-03,,,,,,,,,,,,,,,,,,,,8.7
2013-07-05,,,,,,,,,,,,,,,,,,,,9.0
2013-07-08,,,,,,,,,,,,,,,,,,,,9.0
2013-07-10,,,,,,,,,,,,,,,,,,,,8.7
2013-07-11,,,,,,,,,,,,,,,,,,,,8.7
2013-07-12,,,,,,,,,,,,,,,,,,,,9.0
2013-07-16,,,,,,,,,,,,,,,,,,,,8.7
2013-07-17,,,,,,,,,,,,,,,,,,,,8.69
2013-07-18,,,,,,,,,,,,,,,,,,,,9.0
2013-07-19,,,,,,,,,,,,,,,,,,,,8.7
2013-07-26,,,,,,,,,,,,,,,,,,,,9.0
2013-07-31,,,,,,,,,,,,,,,,,,,,9.0
2013-08-06,,,,,,,,,,,,,,,,,,,,9.9
2013-08-07,,,,,,,,,,,,,,,,,,,,10.8
2013-08-13,,,,,,,,,,,,,,,,,,,,9.0
2013-08-14,,,,,,,,,,,,,,,,,,,,9.0
2013-08-16,,,,,,,,,,,,,,,,,,,,9.9
2013-08-19,,,,,,,,,,,,,,,,,,,,10.8
2013-08-21,,,,,,,,,,,,,,,,,,,,10.9
2013-08-22,,,,,,,,,,,,,,,,,,,,9.9
2013-08-26,,,,,,,,,,,,,,,,,,,,11.0
2013-08-30,,,,,,,,,,,,,,,,,,,,11.4
2013-09-04,,,,,,,,,,,,,,,,,,,,10.0
2013-09-05,,,,,,,,,,,,,,,,,,,,11.0
2013-09-06,,,,,,,,,,,,,,,,,,,,11.4
2013-09-19,,,,,,,,,,,,,,,,,,,,12.0
2013-09-20,,,,,,,,,,,,,,,,,,,,12.0
2013-09-27,,,,,,,,,,,,,,,,,,,,12.0
2013-10-07,,,,,,,,,,,,,,,,,,,,11.49
2013-10-08,,,,,,,,,,,,,,,,,,,,12.0
