,MLPHW FP Equity_PX_LAST
2002-07-22,5.17
2002-07-23,5.17
2002-07-24,5.9
2002-07-25,5.9
2002-07-26,5.9
2002-07-29,5.9
2002-07-30,5.97
2002-07-31,5.97
2002-08-02,6.0
2002-08-05,6.0
2002-08-06,5.9
2002-08-07,5.8
2002-08-08,5.8
2002-08-09,5.8
2002-08-12,5.8
2002-08-13,5.8
2002-08-14,5.22
2002-08-15,5.22
2002-08-16,5.5
2002-08-19,5.5
2002-08-20,5.5
2002-08-21,5.5
2002-08-22,5.5
2002-08-23,5.5
2002-08-26,5.5
2002-08-27,5.5
2002-08-28,5.5
2002-08-29,5.5
2002-08-30,5.5
2002-09-02,5.5
2002-09-03,5.5
2002-09-04,5.5
2002-09-05,5.5
2002-09-06,5.5
2002-09-09,5.5
2002-09-10,5.5
2002-09-11,5.5
2002-09-12,5.5
2002-09-13,5.5
2002-09-16,5.5
2002-09-17,5.5
2002-09-18,5.2
2002-09-19,5.2
2002-09-20,5.2
2002-09-23,5.2
2002-09-24,5.2
2002-09-25,5.04
2002-09-26,5.0
2002-09-27,5.0
2002-09-30,4.94
2002-10-01,4.94
2002-10-02,4.94
2002-10-03,4.94
2002-10-04,4.94
2002-10-07,4.94
2002-10-08,4.94
2002-10-09,4.94
2002-10-10,4.94
2002-10-11,4.94
2002-10-14,4.94
2002-10-15,4.94
2002-10-16,4.94
2002-10-17,4.94
2002-10-18,4.94
2002-10-21,4.94
2002-10-22,4.94
2002-10-23,4.94
2002-10-24,4.94
2002-10-25,4.94
2002-10-28,4.94
2002-10-29,4.94
2002-10-30,4.94
2002-10-31,5.05
2002-11-01,5.05
2002-11-04,5.21
2002-11-05,5.25
2002-11-06,5.27
2002-11-07,5.27
2002-11-08,5.3
2002-11-11,5.29
2002-11-12,5.29
2002-11-13,5.29
2002-11-14,5.29
2002-11-15,5.29
2002-11-18,5.5
2002-11-19,5.5
2002-11-20,5.5
2002-11-21,5.5
2002-11-22,5.5
2002-11-25,5.5
2002-11-26,5.5
2002-11-27,5.5
2002-11-28,5.5
2002-11-29,5.61
2002-12-02,5.61
2002-12-03,5.61
2002-12-04,5.61
2002-12-05,5.61
2002-12-06,5.61
2002-12-09,5.61
2002-12-10,5.61
2002-12-11,5.61
2002-12-12,5.61
2002-12-13,6.0
2002-12-16,6.0
2002-12-17,6.0
2002-12-18,6.0
2002-12-19,6.5
2002-12-20,6.5
2002-12-23,6.5
2002-12-24,6.5
2002-12-27,6.5
2002-12-31,7.15
2003-01-03,7.86
2003-01-06,7.85
2003-01-07,7.85
2003-01-09,7.07
2003-01-10,7.07
2003-01-13,6.89
2003-01-14,6.89
2003-01-15,6.89
2003-01-16,6.89
2003-01-17,6.89
2003-01-20,6.89
2003-01-21,6.89
2003-01-22,6.89
2003-01-23,6.89
2003-01-24,6.89
2003-01-27,6.89
2003-02-03,6.89
2003-02-05,5.99
2003-02-06,5.79
2003-02-07,5.78
2003-02-10,5.21
2003-02-11,5.0
2003-02-12,5.0
2003-02-13,4.99
2003-02-14,4.98
2003-02-17,4.98
2003-02-18,4.64
2003-02-19,4.64
2003-02-20,4.64
2003-02-21,4.64
2003-02-24,4.64
2003-02-25,4.49
2003-02-26,4.39
2003-02-27,4.39
2003-02-28,4.39
2003-03-03,4.39
2003-03-04,4.39
2003-03-05,4.39
2003-03-06,4.39
2003-03-07,4.39
2003-03-10,4.39
2003-03-11,4.39
2003-03-12,4.39
2003-03-13,4.39
2003-03-14,4.39
2003-03-17,4.4
2003-03-18,4.4
2003-03-19,4.4
2003-03-20,4.4
2003-03-21,4.4
2003-03-24,4.4
2003-03-25,4.34
2003-03-26,4.34
2003-03-27,4.34
2003-03-28,4.34
2003-03-31,4.34
2003-04-01,4.34
2003-04-02,4.34
2003-04-03,4.34
2003-04-04,4.34
2003-04-07,4.34
2003-04-08,4.32
2003-04-09,4.29
2003-04-10,4.51
2003-04-11,4.61
2003-04-14,4.61
2003-04-15,4.71
2003-04-16,4.76
2003-04-17,4.81
2003-04-22,4.81
2003-04-23,4.81
2003-04-24,4.81
2003-04-28,4.81
2003-04-29,4.81
2003-04-30,4.81
2003-05-06,4.81
2003-05-07,4.81
2003-05-08,4.81
2003-05-09,4.81
2003-05-12,4.81
2003-05-13,5.0
2003-05-14,5.0
2003-05-15,5.0
2003-05-16,5.0
2003-05-19,5.0
2003-05-20,5.0
2003-05-21,5.0
2003-05-22,4.8
2003-05-23,4.8
2003-05-26,4.8
2003-05-27,4.8
2003-05-28,4.8
2003-05-29,4.8
2003-05-30,4.8
2003-06-02,4.8
2003-06-03,4.66
2003-06-04,4.66
2003-06-05,4.66
2003-06-06,4.66
2003-06-09,4.66
2003-06-10,4.95
2003-06-11,4.95
2003-06-12,4.95
2003-06-13,4.95
2003-06-16,4.95
2003-06-17,4.95
2003-06-18,4.7
2003-06-19,4.7
2003-06-20,4.7
2003-06-23,4.59
2003-06-24,4.59
2003-06-25,4.59
2003-06-26,4.59
2003-06-27,4.59
2003-06-30,4.59
2003-07-01,4.59
2003-07-02,4.59
2003-07-03,4.59
2003-07-04,4.59
2003-07-07,4.59
2003-07-08,4.59
2003-07-09,4.59
2003-07-10,4.59
2003-07-11,4.59
2003-07-14,4.59
2003-07-15,4.59
2003-07-16,4.59
2003-07-17,4.59
2003-07-18,4.59
2003-07-21,4.59
2003-07-22,4.59
2003-07-23,4.59
2003-07-24,4.59
2003-07-25,4.59
2003-07-28,4.59
2003-07-29,4.59
2003-07-30,4.59
2003-07-31,4.59
2003-08-04,4.59
2003-08-05,4.59
2003-08-08,4.5
2003-08-11,4.5
2003-08-14,4.5
2003-08-15,4.5
2003-08-22,4.49
2003-08-25,4.49
2003-08-26,4.49
2003-08-27,4.49
2003-08-28,4.49
2003-08-29,4.49
2003-09-01,4.49
2003-09-02,4.49
2003-09-03,4.49
2003-09-04,4.49
2003-09-05,4.49
2003-09-08,4.49
2003-09-09,4.49
2003-09-10,4.49
2003-09-11,4.49
2003-09-12,4.49
2003-09-15,4.49
2003-09-16,4.49
2003-09-17,4.49
2003-09-18,4.49
2003-09-19,4.49
2003-09-22,4.49
2003-09-23,4.49
2003-09-24,4.49
2003-09-25,4.49
2003-09-26,4.49
2003-09-29,4.49
2003-09-30,4.49
2003-10-01,4.49
2003-10-03,4.49
2003-10-13,2.94
2003-10-14,3.23
2003-10-15,3.23
2003-10-16,3.23
2003-10-17,3.23
2003-10-20,3.55
2003-10-21,3.55
2003-10-22,3.9
2003-10-23,4.29
2003-10-24,4.29
2003-10-27,4.71
2003-10-28,4.68
2003-10-31,3.42
2003-11-03,3.42
2003-11-04,3.42
2003-11-06,3.5
2003-11-07,3.5
2003-11-10,3.5
2003-11-12,3.5
2003-11-13,3.5
2003-11-17,3.15
2003-11-19,3.15
2003-11-26,3.05
2003-11-27,2.8
2003-11-28,2.7
2003-12-05,2.7
2003-12-12,2.7
2003-12-19,2.5
2003-12-24,2.5
