,PAR FP Equity_DX_SI_QTY,PAR FP Equity_DX_SHORT_INTEREST_VALUE,PAR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,PAR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PAR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PAR FP Equity_DX_SI_MV,PAR FP Equity_DX_DSS,PAR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PAR FP Equity_DX_SUPPLY_SI_QTY,PAR FP Equity_DX_BROKER_SI_QTY,PAR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PAR FP Equity_DX_SUPPLY_SI_QTY_INC_x,PAR FP Equity_DX_BROKER_SI_MV_INC_x,PAR FP Equity_DX_BROKER_SI_QTY_ADD,PAR FP Equity_DX_SUPPLY_SI_MV_DEC,PAR FP Equity_DX_BROKER_SI_QTY_INC,PAR FP Equity_DX_SUPPLY_SI_QTY_DEC,PAR FP Equity_DX_BROKER_SI_MV_INC_y,PAR FP Equity_DX_SUPPLY_SI_QTY_INC_y,PAR FP Equity_DX_BROKER_SI_MV_ADD,PAR FP Equity_DX_SUPPLY_SI_QTY_ADD,PAR FP Equity_DX_BROKER_SI_QTY_DEC,PAR FP Equity_DX_SUPPLY_SI_MV,PAR FP Equity_DX_BROKER_SI_MV_DEC,PAR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PAR FP Equity_DX_UTILIZATION_QUANTITY,PAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PAR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PAR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PAR FP Equity_DX_ACTIVE_UTILIZATION_MV,PAR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PAR FP Equity_DX_BROKER_SI_CON_RATIO,PAR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PAR FP Equity_DX_DEMAND_SUPPLY_RATIO,PAR FP Equity_PX_LAST
2005-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5
2005-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.25
2005-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.75
2006-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.15
2006-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1
2006-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6
2006-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6
2006-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.75
2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9
2006-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.25
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.05
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.8
2006-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.95
2006-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.95
2006-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
2006-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.65
2006-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.5
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5
2006-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.85
2006-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.55
2006-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45
2006-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75
2006-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.4
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,72.85
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6
2006-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.25
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.55
2006-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.6
2006-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2006-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.65
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.65
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.5
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.95
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.04,0.0,,0.0,,0.0,74.0
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.45
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.85
