,PLAN FP Equity_DX_SI_QTY,PLAN FP Equity_DX_SHORT_INTEREST_VALUE,PLAN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PLAN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PLAN FP Equity_DX_SI_MV,PLAN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PLAN FP Equity_DX_SUPPLY_SI_QTY,PLAN FP Equity_DX_BROKER_SI_QTY,PLAN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PLAN FP Equity_DX_BROKER_SI_MV_INC_x,PLAN FP Equity_DX_BROKER_SI_QTY_ADD,PLAN FP Equity_DX_BROKER_SI_QTY_INC,PLAN FP Equity_DX_BROKER_SI_MV_INC_y,PLAN FP Equity_DX_BROKER_SI_MV_ADD,PLAN FP Equity_DX_BROKER_SI_QTY_DEC,PLAN FP Equity_DX_SUPPLY_SI_MV,PLAN FP Equity_DX_BROKER_SI_MV_DEC,PLAN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PLAN FP Equity_DX_UTILIZATION_QUANTITY,PLAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PLAN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PLAN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PLAN FP Equity_DX_ACTIVE_UTILIZATION_MV,PLAN FP Equity_DX_BROKER_SI_CON_RATIO,PLAN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PLAN FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-11-02,26000.0,257764.0,43.43,0.51,0.26,257764.0,0.0,26000.0,0.0,,26000.0,,,0.26,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-03,26000.0,257738.0,43.73,0.51,0.26,257738.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-04,26000.0,258908.0,43.73,0.51,0.26,258908.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-05,26000.0,259558.0,38.45,0.51,0.26,259558.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-08,26000.0,259038.0,54.73,0.51,0.26,259038.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-09,26000.0,259662.0,54.73,0.51,0.26,259662.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-10,26000.0,259142.0,48.04,0.51,0.26,259142.0,0.0,26000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-11,20000.0,199340.0,32.52,0.39,0.2,199340.0,0.0,20000.0,0.0,,,,,,6000.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-12,20000.0,199380.0,41.59,0.39,0.2,199380.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-15,20000.0,199240.0,41.59,0.39,0.2,199240.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-16,20000.0,199320.0,41.59,0.39,0.2,199320.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-17,20000.0,199240.0,38.88,0.39,0.2,199240.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-18,20000.0,199420.0,52.59,0.39,0.2,199420.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-01,116900.0,1162570.5,248.39,2.25,1.16,1162570.5,0.0,116900.0,0.0,,116900.0,,,1.16,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-02,116900.0,1164440.9,315.41,2.25,1.16,1164440.9,0.0,116900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-03,116900.0,1166778.9,315.41,2.25,1.16,1166778.9,0.0,116900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-06,116900.0,1168181.7,315.41,2.25,1.17,1168181.7,0.0,116900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-07,116900.0,1169818.3,315.41,2.25,1.17,1169818.3,0.0,116900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-12-08,116900.0,1164674.7,315.41,2.25,1.17,1164674.7,0.0,116900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-06,27700.0,250214.1,22.23,0.53,0.25,250214.1,0.0,27700.0,0.0,,27700.0,,,0.25,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-07,27700.0,250906.6,22.26,0.53,0.25,250906.6,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-08,27700.0,249937.1,22.26,0.53,0.25,249937.1,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-09,27700.0,248995.3,22.36,0.53,0.25,248995.3,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-10,27700.0,247665.7,22.0,0.53,0.25,247665.7,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-13,27700.0,244951.1,21.99,0.53,0.25,244951.1,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-14,27700.0,243178.3,21.96,0.53,0.24,243178.3,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-15,27700.0,244341.7,171.77,0.53,0.24,244341.7,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-16,27700.0,242568.9,175.65,0.53,0.24,242568.9,0.0,27700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-17,9700.0,85272.7,58.86,0.19,0.09,85272.7,0.0,9700.0,0.0,,,,,,18000.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-20,9700.0,85010.8,104.64,0.19,0.09,85010.8,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-21,9700.0,84952.6,104.64,0.19,0.09,84952.6,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-22,9700.0,85175.7,108.66,0.19,0.08,85175.7,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-23,9700.0,86116.6,100.52,0.19,0.09,86116.6,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-24,9700.0,86068.1,78.31,0.19,0.09,86068.1,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-06-27,9700.0,85418.2,79.38,0.19,0.09,85418.2,0.0,9700.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2022-10-11,41200.0,358234.0,33.16,0.84,0.36,358234.0,0.0,41200.0,0.0,,41200.0,,,0.36,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
