,RF FP Equity_DX_SI_QTY,RF FP Equity_DX_SHORT_INTEREST_VALUE,RF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RF FP Equity_DX_SI_MV,RF FP Equity_DX_DSS,RF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY,RF FP Equity_DX_BROKER_SI_QTY,RF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RF FP Equity_DX_BROKER_SI_MV_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_INC_x,RF FP Equity_DX_BROKER_SI_MV_INC_x,RF FP Equity_DX_SUPPLY_SI_MV_NEW,RF FP Equity_DX_BROKER_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_NEW,RF FP Equity_DX_SUPPLY_SI_MV_DEC,RF FP Equity_DX_BROKER_SI_QTY_INC,RF FP Equity_DX_SUPPLY_SI_QTY_DEC,RF FP Equity_DX_BROKER_SI_MV_NEW_y,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RF FP Equity_DX_BROKER_SI_MV_INC_y,RF FP Equity_DX_SUPPLY_SI_QTY_INC_y,RF FP Equity_DX_BROKER_SI_MV_ADD,RF FP Equity_DX_SUPPLY_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_DEC,RF FP Equity_DX_SUPPLY_SI_MV,RF FP Equity_DX_BROKER_SI_MV_DEC,RF FP Equity_DX_SUPPLY_SI_MV_RMV,RF FP Equity_DX_BROKER_SI_MV_RMV,RF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RF FP Equity_DX_UTILIZATION_QUANTITY,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RF FP Equity_DX_ACTIVE_UTILIZATION_MV,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RF FP Equity_DX_BROKER_SI_CON_RATIO,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RF FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,332819.0,21153511.47,0.86,8.5,0.65,29.36,0.0,19503593.64,79029.0,306860.0,5022973.02,7.85,,724.0,0.33,,,88424.0,0.08,3680.0,996.0,7.85,,0.33,724.0,,35.0,7176.0,7.0,0.56,,,9.91,9.91,718044.0,45637875.22,,63.58,9.92,17.55,0.1565,27.39,0.4176
2006-01-11,257348.0,16603676.81,0.66,5.77,0.5,23.24,0.0,14070168.95,54666.0,218080.0,3526961.92,,,,0.7,,,,2.1,5292.0,24363.0,,,0.7,,,,94071.0,4.95,8.16,,,6.69,6.69,762637.0,49204106.01,,68.86,6.7,19.51,0.2045,36.41,0.3149
2006-01-18,309802.0,20296277.72,0.8,7.38,0.6,28.72,0.0,17644151.8,60497.0,269320.0,3963382.78,,,7208.0,0.81,,43894.0,,0.76,7356.0,8401.0,,,0.81,7208.0,4.07,7025.0,10.0,5.59,0.0,,,6.36,6.36,891462.0,58402981.04,,82.49,6.35,16.34,0.1641,30.13,0.3254
2006-01-25,287209.0,18765078.97,0.74,7.3,0.56,26.51,0.0,16257288.39,60291.0,248826.0,3939171.04,,3960.0,2740.0,1.11,0.36,,,0.28,13396.0,2944.0,,3960.0,1.11,2740.0,,,33890.0,5.55,3.06,0.37,,6.24,6.24,906013.0,59195239.34,3962.0,83.46,6.23,17.48,0.1841,32.52,0.2972
2006-02-01,292609.0,19180302.01,0.75,7.84,0.57,27.1,0.0,16583043.87,57909.0,252986.0,3795891.82,,,2618.0,0.48,,,,0.46,4464.0,5000.0,,,0.48,2618.0,,,304.0,5.35,0.01,,,6.15,6.15,883472.0,57910931.57,,81.6,6.15,17.17,0.1837,32.58,0.3108
2006-02-08,342803.0,22421738.41,0.88,8.92,0.66,31.61,0.0,17780387.61,89462.0,271842.0,5851446.93,,,31505.0,0.83,,33600.0,,0.16,9010.0,1662.0,,,0.83,31505.0,3.07,1710.0,23755.0,8.24,2.26,,,9.56,9.56,846010.0,55335031.83,,77.94,9.56,14.7,0.1382,27.29,0.3664
2006-02-15,378839.0,24428612.97,0.97,9.66,0.73,34.69,0.0,19022565.48,105840.0,295002.0,6824863.32,8.26,11855.0,4560.0,3.91,1.09,,90910.0,0.16,43169.0,1669.0,8.26,11855.0,3.91,4560.0,,1632.0,18295.0,9.64,1.68,,8.54,11.17,11.17,841905.0,54288421.73,,77.22,11.1,15.52,0.1372,24.21,0.3997
2006-02-22,449563.0,29356654.49,1.16,13.49,0.87,40.59,0.0,24657244.18,177873.0,377597.0,11615182.31,,,5.0,0.0,,115900.0,,0.01,259.0,18.0,,,0.0,5.0,10.06,83900.0,33564.0,16.3,3.1,1.09,,19.12,19.12,752316.0,49126553.74,11855.0,68.47,19.23,20.85,0.1493,25.11,0.4833
2006-03-01,346908.0,22443601.44,0.89,10.42,0.67,30.74,0.0,17778234.86,128319.0,274796.0,8301741.36,,10209.0,281.0,0.0,0.91,,,5.49,827.0,60043.0,,10209.0,0.0,281.0,,,103627.0,11.66,9.68,,,13.26,13.26,839109.0,54287096.17,,75.38,13.4,17.26,0.1336,23.89,0.3586
2006-03-08,372063.0,23581676.17,0.96,10.23,0.72,32.58,0.0,18515389.81,134471.0,292129.0,8522888.8,,,392.0,1.91,,,,0.19,22228.0,2040.0,,,1.91,392.0,,7800.0,4895.0,12.04,0.58,,,13.98,13.98,827541.0,52450267.51,,73.52,14.07,16.16,0.1238,21.52,0.3868
