,SELER FP Equity_DX_SI_QTY,SELER FP Equity_DX_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SELER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SELER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SELER FP Equity_DX_SI_MV,SELER FP Equity_DX_DSS,SELER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SELER FP Equity_DX_SUPPLY_SI_QTY,SELER FP Equity_DX_BROKER_SI_QTY,SELER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SELER FP Equity_DX_BROKER_SI_MV_NEW_x,SELER FP Equity_DX_BROKER_SI_QTY_ADD,SELER FP Equity_DX_BROKER_SI_QTY_NEW,SELER FP Equity_DX_BROKER_SI_MV_NEW_y,SELER FP Equity_DX_BROKER_SI_MV_ADD,SELER FP Equity_DX_SUPPLY_SI_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SELER FP Equity_DX_UTILIZATION_QUANTITY,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SELER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SELER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SELER FP Equity_DX_ACTIVE_UTILIZATION_MV,SELER FP Equity_DX_BROKER_SI_CON_RATIO,SELER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SELER FP Equity_DX_DEMAND_SUPPLY_RATIO,SELER FP Equity_PX_LAST
2006-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5
2006-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
2006-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,43.15
2006-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,43.55
2006-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,45.65
2006-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,46.15
2006-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8
2006-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5
2006-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4
2006-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2
2006-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2
2006-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2006-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5
2006-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94
2006-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,43.94
2006-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2006-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9
2006-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9
2006-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2006-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2006-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6
2006-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7
2006-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95
2006-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75
2006-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9
2006-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4
2006-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,43.85
2006-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95
2006-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,44.25
2006-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,43.85
2006-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,44.05
2006-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8
2006-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7
2006-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,43.65
2006-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7
2006-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7
2006-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7
2006-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5
2006-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6
2006-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
2006-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,43.01
2006-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2
2006-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01
2006-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0
2006-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01
2006-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,44.01
2006-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,44.02
2006-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49
2006-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,44.51
2006-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2007-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2007-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2007-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2007-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3
2007-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2
2007-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,44.75
2007-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
2007-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5
2007-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
2007-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,45.05
2007-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
2007-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
