,TUR FP Equity_DX_SI_QTY,TUR FP Equity_DX_SHORT_INTEREST_VALUE,TUR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TUR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TUR FP Equity_DX_SI_MV,TUR FP Equity_DX_DSS,TUR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TUR FP Equity_DX_SUPPLY_SI_QTY,TUR FP Equity_DX_BROKER_SI_QTY,TUR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TUR FP Equity_DX_BROKER_SI_MV_NEW_x,TUR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TUR FP Equity_DX_SUPPLY_SI_QTY_INC_x,TUR FP Equity_DX_BROKER_SI_MV_INC_x,TUR FP Equity_DX_SUPPLY_SI_MV_NEW,TUR FP Equity_DX_BROKER_SI_QTY_ADD,TUR FP Equity_DX_BROKER_SI_QTY_NEW,TUR FP Equity_DX_SUPPLY_SI_MV_DEC,TUR FP Equity_DX_BROKER_SI_QTY_INC,TUR FP Equity_DX_SUPPLY_SI_QTY_DEC,TUR FP Equity_DX_BROKER_SI_MV_NEW_y,TUR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TUR FP Equity_DX_BROKER_SI_MV_INC_y,TUR FP Equity_DX_SUPPLY_SI_QTY_INC_y,TUR FP Equity_DX_BROKER_SI_MV_ADD,TUR FP Equity_DX_SUPPLY_SI_QTY_ADD,TUR FP Equity_DX_BROKER_SI_QTY_DEC,TUR FP Equity_DX_SUPPLY_SI_MV,TUR FP Equity_DX_BROKER_SI_MV_DEC,TUR FP Equity_DX_SUPPLY_SI_MV_RMV,TUR FP Equity_DX_BROKER_SI_MV_RMV,TUR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TUR FP Equity_DX_UTILIZATION_QUANTITY,TUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TUR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TUR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TUR FP Equity_DX_ACTIVE_UTILIZATION_MV,TUR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TUR FP Equity_DX_BROKER_SI_CON_RATIO,TUR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TUR FP Equity_DX_DEMAND_SUPPLY_RATIO,TUR FP Equity_PX_LAST
2006-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.19
2006-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.62
2006-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.92
2006-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.96
2006-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.78
2006-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.93
2006-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26
2006-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6
2006-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.82
2006-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.43
2006-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.74
2006-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.13
2006-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67
2006-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65
2006-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.68
2006-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.74
2006-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.71
2006-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.61
2006-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53
2006-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.44
2006-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.89
2006-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.53
2006-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8
2006-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68
2006-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.14
2006-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2
2006-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.87
2006-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5
2006-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65
