,UBBB FP Equity_DX_SI_QTY,UBBB FP Equity_DX_SHORT_INTEREST_VALUE,UBBB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,UBBB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,UBBB FP Equity_DX_SI_MV,UBBB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,UBBB FP Equity_DX_SUPPLY_SI_QTY,UBBB FP Equity_DX_BROKER_SI_QTY,UBBB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,UBBB FP Equity_DX_SUPPLY_SI_QTY_INC_x,UBBB FP Equity_DX_BROKER_SI_MV_INC_x,UBBB FP Equity_DX_BROKER_SI_QTY_ADD,UBBB FP Equity_DX_SUPPLY_SI_MV_DEC,UBBB FP Equity_DX_BROKER_SI_QTY_INC,UBBB FP Equity_DX_SUPPLY_SI_QTY_DEC,UBBB FP Equity_DX_BROKER_SI_MV_INC_y,UBBB FP Equity_DX_SUPPLY_SI_QTY_INC_y,UBBB FP Equity_DX_BROKER_SI_MV_ADD,UBBB FP Equity_DX_SUPPLY_SI_QTY_ADD,UBBB FP Equity_DX_BROKER_SI_QTY_DEC,UBBB FP Equity_DX_SUPPLY_SI_MV,UBBB FP Equity_DX_BROKER_SI_MV_DEC,UBBB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,UBBB FP Equity_DX_UTILIZATION_QUANTITY,UBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,UBBB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,UBBB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,UBBB FP Equity_DX_ACTIVE_UTILIZATION_MV,UBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,UBBB FP Equity_DX_BROKER_SI_CON_RATIO,UBBB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,UBBB FP Equity_DX_DEMAND_SUPPLY_RATIO,UBBB FP Equity_PX_LAST
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3187
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.417
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.312
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3755
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4686
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4001
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4419
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5091
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5511
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4501
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.446
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.434
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.445
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.477
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.477
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.382
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.354
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.406
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.419
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.482
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.611
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.604
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.645
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.625
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.683
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.647
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.628
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.579
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.472
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.511
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.471
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.424
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.394
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.364
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.368
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.368
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.331
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.471
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.482
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.483
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.524
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.569
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.538
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.543
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.586
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.539
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.592
