DATE,AC FP Equity_DX_SI_QTY,AC FP Equity_DX_SHORT_INTEREST_VALUE,AC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AC FP Equity_DX_SI_MV,AC FP Equity_DX_DSS,AC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY,AC FP Equity_DX_BROKER_SI_QTY,AC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AC FP Equity_DX_BROKER_SI_MV_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_INC_x,AC FP Equity_DX_BROKER_SI_MV_INC_x,AC FP Equity_DX_SUPPLY_SI_MV_NEW,AC FP Equity_DX_BROKER_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_NEW,AC FP Equity_DX_SUPPLY_SI_MV_DEC,AC FP Equity_DX_BROKER_SI_QTY_INC,AC FP Equity_DX_SUPPLY_SI_QTY_DEC,AC FP Equity_DX_BROKER_SI_MV_NEW_y,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AC FP Equity_DX_BROKER_SI_MV_INC_y,AC FP Equity_DX_SUPPLY_SI_QTY_INC_y,AC FP Equity_DX_BROKER_SI_MV_ADD,AC FP Equity_DX_SUPPLY_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_DEC,AC FP Equity_DX_SUPPLY_SI_MV,AC FP Equity_DX_BROKER_SI_MV_DEC,AC FP Equity_DX_SUPPLY_SI_MV_RMV,AC FP Equity_DX_BROKER_SI_MV_RMV,AC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AC FP Equity_DX_UTILIZATION_QUANTITY,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AC FP Equity_DX_ACTIVE_UTILIZATION_MV,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AC FP Equity_DX_BROKER_SI_CON_RATIO,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AC FP Equity_DX_DEMAND_SUPPLY_RATIO,AC FP Equity_PX_LAST
2006-07-03,19588114.0,640170931.15,9.08,13.15,9.01,908.6,2.0,424166365.02,9517558.0,12978751.0,311049035.51,0.0,44591.0,227538.0,29.8,2.07,0.0,0.0,11.21,663858.0,268415.0,0.0,44591.0,29.8,227538.0,0.0,33796.0,891769.0,446.1,39.23,2.1,0.0,36.09,36.09,16857270.0,550922576.45,45568.0,789.84,36.09,20.57,0.1541,26.86,0.7427,47.21
2006-07-04,19490562.0,637657402.55,9.03,13.26,8.97,902.42,2.0,423994644.87,9428432.0,12959771.0,308462601.5,0.0,0.0,35244.0,0.88,0.0,0.0,0.0,6.25,22629.0,124369.0,0.0,0.0,0.88,35244.0,0.0,0.0,41609.0,440.77,2.24,0.0,0.0,35.73,35.73,16962308.0,554942502.97,0.0,795.59,35.65,20.67,0.1554,27.05,0.7385,47.26
2006-07-05,17736854.0,572178894.61,8.22,12.37,8.16,825.3,2.0,361527711.84,9431401.0,11206922.0,304250607.17,0.0,45568.0,18488.0,0.0,2.14,0.0,0.0,3.54,0.0,79953.0,0.0,45568.0,0.0,18488.0,0.0,18866.0,1752849.0,442.34,78.08,0.0,0.0,35.83,35.83,16889724.0,544851054.68,0.0,793.04,35.81,22.66,0.1585,26.98,0.6739,46.6
2006-07-06,17129502.0,549503031.94,7.94,12.37,7.88,791.0,2.0,344519353.79,9224443.0,10739604.0,295913996.59,0.0,0.0,718.0,0.17,0.0,0.0,0.0,7.88,32882.0,117576.0,0.0,0.0,0.17,718.0,0.0,0.0,500200.0,427.46,22.46,4.21,0.0,35.16,35.16,17009080.0,545639974.27,90100.0,790.81,35.09,23.64,0.1604,26.51,0.653,46.34
2006-07-07,16820620.0,544950655.4,7.8,12.25,7.74,776.26,2.0,338241546.63,9209868.0,10440271.0,298379227.57,0.0,0.0,23293.0,0.0,0.0,0.0,0.0,1.85,0.0,37869.0,0.0,0.0,0.0,23293.0,0.0,0.0,299333.0,426.59,13.69,0.0,0.0,35.07,35.07,17050152.0,552386981.4,0.0,793.51,34.96,22.85,0.1575,26.45,0.6405,46.8
2006-07-10,16555805.0,542101700.68,7.67,12.43,7.62,770.88,2.0,333816806.23,9216919.0,10194777.0,301797917.1,0.0,0.0,79997.0,1.35,0.0,0.0,0.0,3.17,23646.0,72946.0,0.0,0.0,1.35,79997.0,0.0,0.0,269141.0,431.39,10.51,0.0,0.0,35.04,35.04,17088356.0,559539499.85,0.0,802.86,34.95,22.95,0.1551,25.6,0.6294,47.3
2006-07-11,16151372.0,519466986.19,7.49,12.14,7.43,752.19,2.0,321556038.04,8988147.0,9997885.0,289080434.37,0.0,0.0,2279.0,1.57,0.0,0.0,0.0,10.57,32126.0,231051.0,0.0,0.0,1.57,2279.0,0.0,0.0,229018.0,421.09,10.98,0.0,0.0,34.24,34.24,17260940.0,555153362.86,0.0,809.85,34.21,23.66,0.1526,24.14,0.6153,46.46
2006-07-12,16152156.0,523517539.28,7.49,12.28,7.43,747.65,2.0,323915732.17,8987835.0,9993815.0,291310290.88,0.0,45568.0,95533.0,10.15,2.15,0.0,0.0,9.82,250897.0,180169.0,0.0,45568.0,10.15,95533.0,0.0,38757.0,254967.0,417.66,12.14,0.0,0.0,34.27,34.27,17237668.0,558700741.52,0.0,805.03,34.16,23.7,0.1564,24.67,0.6159,46.82
2006-07-13,15930331.0,502873753.23,7.38,12.35,7.33,738.18,2.0,308461433.3,8991859.0,9771623.0,283846574.43,0.0,0.0,78819.0,0.74,0.0,0.0,0.0,1.31,11371.0,29429.0,0.0,0.0,0.74,78819.0,0.0,201.0,233563.0,418.08,10.79,2.15,0.0,34.37,34.37,17171420.0,542051287.18,45568.0,797.7,34.39,23.66,0.1537,23.86,0.6089,45.6
2006-07-14,15851434.0,493799217.14,7.35,12.27,7.3,723.16,2.0,302565807.56,8952905.0,9712656.0,278898267.51,0.0,0.0,10992.0,0.0,0.0,0.0,0.0,5.14,0.0,49946.0,0.0,0.0,0.0,10992.0,0.0,0.0,58967.0,408.28,5.93,0.0,0.0,34.15,34.15,17259936.0,537676457.84,0.0,789.34,34.09,23.72,0.1548,24.06,0.6047,45.0
