DATE,EXPL FP Equity_DX_SI_QTY,EXPL FP Equity_DX_SHORT_INTEREST_VALUE,EXPL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EXPL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EXPL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EXPL FP Equity_DX_SI_MV,EXPL FP Equity_DX_DSS,EXPL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EXPL FP Equity_DX_SUPPLY_SI_QTY,EXPL FP Equity_DX_BROKER_SI_QTY,EXPL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EXPL FP Equity_DX_BROKER_SI_MV_NEW_x,EXPL FP Equity_DX_SUPPLY_SI_QTY_INC_x,EXPL FP Equity_DX_BROKER_SI_MV_INC_x,EXPL FP Equity_DX_BROKER_SI_QTY_ADD,EXPL FP Equity_DX_BROKER_SI_QTY_NEW,EXPL FP Equity_DX_SUPPLY_SI_MV_DEC,EXPL FP Equity_DX_BROKER_SI_QTY_INC,EXPL FP Equity_DX_SUPPLY_SI_QTY_DEC,EXPL FP Equity_DX_BROKER_SI_MV_NEW_y,EXPL FP Equity_DX_BROKER_SI_MV_INC_y,EXPL FP Equity_DX_SUPPLY_SI_QTY_INC_y,EXPL FP Equity_DX_BROKER_SI_MV_ADD,EXPL FP Equity_DX_SUPPLY_SI_QTY_ADD,EXPL FP Equity_DX_BROKER_SI_QTY_DEC,EXPL FP Equity_DX_SUPPLY_SI_MV,EXPL FP Equity_DX_BROKER_SI_MV_DEC,EXPL FP Equity_DX_BROKER_SI_MV_RMV,EXPL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EXPL FP Equity_DX_UTILIZATION_QUANTITY,EXPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EXPL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EXPL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EXPL FP Equity_DX_ACTIVE_UTILIZATION_MV,EXPL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EXPL FP Equity_DX_BROKER_SI_CON_RATIO,EXPL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EXPL FP Equity_DX_DEMAND_SUPPLY_RATIO,EXPL FP Equity_PX_LAST
2006-07-03,43.0,17089.31,0.07,2.54,0.03,0.02,0.0,17089.31,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.0,631906.92,0.67,0.0,0.0,1.0,100.0,0.027,423.0
2006-07-04,42.0,16691.88,0.07,1.49,0.02,0.02,0.0,16691.88,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1593.0,633099.2,0.67,0.0,0.0,1.0,100.0,0.0264,423.0
2006-07-05,42.0,16691.88,0.07,1.51,0.02,0.02,0.0,16691.88,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2137.0,849298.8,0.91,0.0,0.0,1.0,100.0,0.0197,423.0
2006-07-06,42.0,16691.88,0.07,1.49,0.02,0.02,0.0,16691.88,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2139.0,850093.65,0.9,0.0,0.0,1.0,100.0,0.0196,0.0
2006-07-07,42.0,16024.99,0.07,1.5,0.02,0.02,0.0,16024.99,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2135.0,814603.91,0.9,0.0,0.0,1.0,100.0,0.0197,406.1
2006-07-10,43.0,16406.54,0.07,1.53,0.03,0.02,0.0,16406.54,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,830247.36,0.9,0.0,0.0,1.0,100.0,0.0198,0.0
2006-07-11,42.0,16024.99,0.07,1.49,0.02,0.02,0.0,16024.99,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2187.0,834444.38,0.9,0.0,0.0,1.0,100.0,0.0192,0.0
2006-07-12,41.0,16175.04,0.07,1.46,0.02,0.02,0.0,16175.04,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,847808.79,0.88,0.0,0.0,1.0,100.0,0.0191,419.9
2006-07-13,42.0,16573.5,0.07,1.49,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2121.0,836961.69,0.89,0.0,0.0,1.0,100.0,0.0198,420.0
2006-07-14,42.0,16573.5,0.07,1.43,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117.0,835383.27,0.89,0.0,0.0,1.0,100.0,0.0198,420.0
2006-07-17,42.0,16573.5,0.07,1.42,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2110.0,832621.02,0.89,0.0,0.0,1.0,100.0,0.0199,420.0
2006-07-18,42.0,16573.5,0.07,1.4,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,838145.51,0.9,0.0,0.0,1.0,100.0,0.0198,0.0
2006-07-19,42.0,16573.5,0.07,1.41,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2155.0,850378.34,0.9,0.0,0.0,1.0,100.0,0.0195,0.0
2006-07-20,42.0,16573.5,0.07,1.41,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.0,848799.91,0.9,0.0,0.0,1.0,100.0,0.0195,420.0
2006-07-21,42.0,16573.5,0.07,1.38,0.02,0.02,0.0,16573.5,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.0,848405.3,0.9,0.0,0.0,1.0,100.0,0.0195,420.0
2006-07-24,42.0,16099.97,0.07,1.4,0.02,0.02,0.0,16099.97,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2131.0,816881.83,0.9,0.0,0.0,1.0,100.0,0.0197,408.0
2006-07-25,42.0,16099.97,0.07,1.4,0.02,0.02,0.0,16099.97,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.0,829915.14,0.89,0.0,0.0,1.0,100.0,0.0194,0.0
2006-07-26,42.0,16178.89,0.07,1.41,0.02,0.02,0.0,16178.89,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2158.0,831286.87,0.88,0.0,0.0,1.0,100.0,0.0195,410.0
2006-07-27,42.0,16178.89,0.07,1.43,0.02,0.02,0.0,16178.89,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2154.0,829746.02,0.88,0.0,0.0,1.0,100.0,0.0195,0.0
2006-07-28,42.0,15863.21,0.07,1.43,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.0,808268.12,0.87,0.0,0.0,1.0,100.0,0.0196,402.0
2006-07-31,42.0,15863.21,0.07,1.4,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2165.0,817710.5,0.87,0.0,0.0,1.0,100.0,0.0194,0.0
2006-08-01,42.0,15863.21,0.07,1.42,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2172.0,820354.37,0.87,0.0,0.0,1.0,100.0,0.0193,0.0
2006-08-02,42.0,15863.21,0.07,1.42,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2178.0,822620.54,0.87,0.0,0.0,1.0,100.0,0.0193,0.0
2006-08-03,42.0,15863.21,0.07,1.42,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2177.0,822242.85,0.88,0.0,0.0,1.0,100.0,0.0193,0.0
2006-08-04,42.0,15863.21,0.07,1.54,0.02,0.02,0.0,15863.21,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,827152.89,0.88,0.0,0.0,1.0,100.0,0.0192,0.0
