DATE,IQEE FP Equity_DX_SI_QTY,IQEE FP Equity_DX_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IQEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IQEE FP Equity_DX_SI_MV,IQEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SUPPLY_SI_QTY,IQEE FP Equity_DX_BROKER_SI_QTY,IQEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IQEE FP Equity_DX_BROKER_SI_MV_INC_x,IQEE FP Equity_DX_BROKER_SI_QTY_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_INC,IQEE FP Equity_DX_BROKER_SI_MV_INC_y,IQEE FP Equity_DX_BROKER_SI_MV_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_DEC,IQEE FP Equity_DX_SUPPLY_SI_MV,IQEE FP Equity_DX_BROKER_SI_MV_DEC,IQEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IQEE FP Equity_DX_UTILIZATION_QUANTITY,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IQEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IQEE FP Equity_DX_ACTIVE_UTILIZATION_MV,IQEE FP Equity_DX_BROKER_SI_CON_RATIO,IQEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IQEE FP Equity_DX_DEMAND_SUPPLY_RATIO,IQEE FP Equity_PX_LAST
2017-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.67
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75
2017-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.97
2017-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.92
2017-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.91
2017-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.77
2017-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.745
2017-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.86
2017-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.715
2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.085
