DATE,KOF FP Equity_DX_SI_QTY,KOF FP Equity_DX_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,KOF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KOF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KOF FP Equity_DX_SI_MV,KOF FP Equity_DX_DSS,KOF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY,KOF FP Equity_DX_BROKER_SI_QTY,KOF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KOF FP Equity_DX_BROKER_SI_MV_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_x,KOF FP Equity_DX_BROKER_SI_MV_INC_x,KOF FP Equity_DX_SUPPLY_SI_MV_NEW,KOF FP Equity_DX_BROKER_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_NEW,KOF FP Equity_DX_SUPPLY_SI_MV_DEC,KOF FP Equity_DX_BROKER_SI_QTY_INC,KOF FP Equity_DX_SUPPLY_SI_QTY_DEC,KOF FP Equity_DX_BROKER_SI_MV_NEW_y,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KOF FP Equity_DX_BROKER_SI_MV_INC_y,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_y,KOF FP Equity_DX_BROKER_SI_MV_ADD,KOF FP Equity_DX_SUPPLY_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_DEC,KOF FP Equity_DX_SUPPLY_SI_MV,KOF FP Equity_DX_BROKER_SI_MV_DEC,KOF FP Equity_DX_SUPPLY_SI_MV_RMV,KOF FP Equity_DX_BROKER_SI_MV_RMV,KOF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KOF FP Equity_DX_UTILIZATION_QUANTITY,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KOF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KOF FP Equity_DX_ACTIVE_UTILIZATION_MV,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KOF FP Equity_DX_BROKER_SI_CON_RATIO,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KOF FP Equity_DX_DEMAND_SUPPLY_RATIO,KOF FP Equity_PX_LAST
2006-07-03,310583.0,7323399.57,3.0,8.78,1.39,12.86,1.0,4352308.7,143548.0,184580.0,3384793.63,0.0,29463.0,22.0,4.71,1.22,0.0,0.0,0.1,115692.0,2723.0,0.0,29463.0,4.71,22.0,0.0,1540.0,1256.0,6.05,0.04,0.0,0.0,8.13,8.13,1622991.0,38269356.63,0.0,67.36,8.25,24.14,0.38,54.56,0.1758,43.0
2006-07-04,290270.0,6844428.68,2.8,8.3,1.3,12.16,1.0,3879633.54,143235.0,164534.0,3377413.24,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,0.0,0.0,87.0,0.0,0.0,20046.0,6.11,0.75,0.0,0.0,8.12,8.12,1620280.0,38205432.54,0.0,67.73,8.27,25.82,0.3589,51.46,0.1646,43.0
2006-07-05,288555.0,6677403.94,2.79,8.44,1.3,12.13,1.0,3805834.46,142202.0,164464.0,3290673.16,0.0,0.0,622.0,0.0,0.0,0.0,0.0,0.07,0.0,1655.0,0.0,0.0,0.0,622.0,0.0,0.0,70.0,6.09,0.0,0.0,0.0,7.84,7.84,1670679.0,38660908.79,0.0,70.5,7.95,26.04,0.3618,51.6,0.1592,42.2
2006-07-06,272155.0,6282970.31,2.63,8.31,1.22,11.25,1.0,3690227.83,115351.0,159847.0,2662993.18,0.0,0.0,2240.0,0.22,0.0,5000.0,0.0,0.0,5383.0,0.0,0.0,0.0,0.22,2240.0,0.22,0.0,15000.0,4.83,0.68,1.22,0.0,6.59,6.59,1633817.0,37718299.13,29091.0,68.16,6.62,27.26,0.3236,46.69,0.1556,42.1
2006-07-07,271837.0,6272647.66,2.63,7.87,1.22,11.22,1.0,3679060.14,115435.0,159439.0,2663666.4,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,91.0,0.0,0.0,408.0,4.83,0.02,0.0,0.0,6.56,6.56,1643211.0,37917147.56,0.0,68.63,6.57,27.26,0.3241,46.78,0.1546,42.08
2006-07-10,170928.0,3936670.77,1.65,4.8,0.77,7.22,0.0,1356236.14,115010.0,58887.0,2648814.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,100552.0,4.87,4.05,0.0,0.0,7.33,7.33,1453832.0,33483442.95,0.0,61.43,7.35,25.75,0.2868,42.87,0.109,42.0
2006-07-11,171226.0,3880625.3,1.65,4.71,0.77,7.17,0.0,1338657.76,115148.0,59066.0,2609686.86,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,7.32,7.32,1458656.0,33058632.3,0.0,61.14,7.31,25.77,0.2856,42.65,0.1088,41.33
2006-07-12,146249.0,3336205.78,1.41,4.03,0.66,6.06,0.0,1123390.86,98012.0,49246.0,2235832.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,179.0,17136.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,4.07,0.43,0.0,0.0,6.01,6.01,1531704.0,34940955.02,0.0,63.64,6.01,30.3,0.3684,49.96,0.0897,41.6
2006-07-13,144023.0,3238040.7,1.39,4.05,0.65,5.98,0.0,1057096.42,98017.0,47018.0,2203696.88,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2227.0,4.08,0.09,0.0,0.0,6.17,6.17,1489658.0,33491687.01,0.0,61.91,6.18,30.59,0.3786,50.75,0.0907,41.0
2006-07-14,135843.0,3046682.28,1.31,3.79,0.61,5.6,0.0,871304.08,97998.0,38849.0,2197895.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,8169.0,4.03,0.33,0.0,0.0,6.16,6.16,1493231.0,33490135.09,0.0,61.79,6.13,32.24,0.4054,53.58,0.0854,40.9
2006-07-17,135730.0,2969718.87,1.31,3.75,0.61,5.62,0.0,847440.89,97997.0,38732.0,2144135.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,4.05,0.0,0.0,0.0,6.18,6.18,1487271.0,32540902.94,0.0,61.55,6.17,32.19,0.4058,53.66,0.0856,39.9
2006-07-18,135782.0,2829387.25,1.31,3.76,0.61,5.46,0.0,808441.01,97987.0,38797.0,2041825.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,6.15,6.15,1495860.0,31170311.3,0.0,60.57,6.07,32.15,0.4032,53.36,0.0852,38.0
