DATE,NRG FP Equity_DX_SI_QTY,NRG FP Equity_DX_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NRG FP Equity_DX_SI_MV,NRG FP Equity_DX_DSS,NRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY,NRG FP Equity_DX_BROKER_SI_QTY,NRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NRG FP Equity_DX_BROKER_SI_MV_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,NRG FP Equity_DX_BROKER_SI_MV_INC_x,NRG FP Equity_DX_SUPPLY_SI_MV_NEW,NRG FP Equity_DX_BROKER_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_NEW,NRG FP Equity_DX_SUPPLY_SI_MV_DEC,NRG FP Equity_DX_BROKER_SI_QTY_INC,NRG FP Equity_DX_SUPPLY_SI_QTY_DEC,NRG FP Equity_DX_BROKER_SI_MV_NEW_y,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NRG FP Equity_DX_BROKER_SI_MV_INC_y,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,NRG FP Equity_DX_BROKER_SI_MV_ADD,NRG FP Equity_DX_SUPPLY_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_DEC,NRG FP Equity_DX_SUPPLY_SI_MV,NRG FP Equity_DX_BROKER_SI_MV_DEC,NRG FP Equity_DX_SUPPLY_SI_MV_RMV,NRG FP Equity_DX_BROKER_SI_MV_RMV,NRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NRG FP Equity_DX_UTILIZATION_QUANTITY,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NRG FP Equity_DX_ACTIVE_UTILIZATION_MV,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NRG FP Equity_DX_BROKER_SI_CON_RATIO,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NRG FP Equity_DX_DEMAND_SUPPLY_RATIO,NRG FP Equity_PX_LAST
2006-07-03,622394.0,8073918.06,2.73,4.1,0.72,9.81,0.0,3293629.92,370770.0,253896.0,4809761.34,0.0,0.0,8054.0,0.09,0.0,0.0,0.0,0.01,6047.0,6100.0,0.0,0.0,0.09,8054.0,0.0,216.0,2008.0,5.8,0.02,0.0,0.0,72.72,38.68,139066.0,1804014.0,0.0,0.0,124.03,17.75,0.1899,31.81,0.6492,15.57
2006-07-04,736871.0,9558954.74,3.23,4.9,0.85,11.59,0.0,4760168.01,372196.0,366947.0,4828259.92,0.0,0.0,1426.0,1.75,0.0,0.0,0.0,0.0,113051.0,0.0,0.0,0.0,1.75,1426.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,72.8,38.77,139032.0,1803572.94,0.0,0.0,124.29,25.46,0.2134,33.36,0.7675,15.57
2006-07-05,745122.0,9492163.26,3.27,5.07,0.86,11.69,0.0,4693163.52,378987.0,368407.0,4827942.91,0.0,0.0,6791.0,0.02,0.0,0.0,0.0,0.0,1460.0,0.0,0.0,0.0,0.02,6791.0,0.0,0.0,0.0,5.93,0.0,0.0,0.0,73.17,20.01,138955.0,1770157.84,0.0,0.0,126.34,25.14,0.2134,33.59,0.3933,15.29
2006-07-06,747394.0,9521106.44,3.28,5.1,0.86,11.61,0.0,4714705.3,379567.0,370098.0,4835331.57,0.0,0.0,1253.0,0.02,0.0,0.0,0.0,0.02,1691.0,672.0,0.0,0.0,0.02,1253.0,0.0,0.0,0.0,5.85,0.0,0.0,0.0,73.19,20.03,139050.0,1771368.05,0.0,0.0,127.18,25.12,0.2159,34.1,0.3944,15.29
2006-07-07,846727.0,10786516.74,3.71,5.76,0.98,13.12,0.0,4708539.59,479384.0,369614.0,6106907.59,0.0,0.0,102946.0,0.0,0.0,0.0,0.0,0.05,0.0,3129.0,0.0,0.0,0.0,102946.0,0.0,0.0,484.0,7.37,0.01,0.0,0.0,99.74,25.35,1226.0,15618.1,0.0,0.0,184.46,21.49,0.184,29.13,0.4477,15.29
2006-07-10,846111.0,10820966.41,3.71,6.02,0.98,13.17,0.0,4725098.16,478919.0,369464.0,6124924.99,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,184.0,0.0,0.0,150.0,7.4,0.0,0.0,0.0,99.75,25.6,1192.0,15244.56,0.0,0.0,184.16,21.56,0.1836,29.0,0.4523,15.35
2006-07-11,849152.0,10640538.34,3.72,6.01,0.98,13.05,0.0,4635286.52,481513.0,369912.0,6033734.29,0.0,0.0,2594.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,2594.0,0.0,0.0,0.0,7.33,0.0,0.0,0.0,99.74,25.7,1253.0,15701.07,0.0,0.0,185.48,21.29,0.1841,29.35,0.4532,15.04
2006-07-12,692499.0,8798716.45,3.04,4.92,0.8,10.72,0.0,4617534.94,331350.0,363421.0,4210048.96,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2.3,700.0,150162.0,0.0,0.0,0.01,0.0,0.0,0.0,7191.0,5.06,0.11,0.0,0.0,69.9,17.77,142691.0,1812995.61,0.0,0.0,127.11,21.76,0.1844,28.87,0.3714,15.25
2006-07-13,691219.0,8563611.64,3.03,4.97,0.8,10.56,0.0,4468157.13,332840.0,360651.0,4123602.65,0.0,0.0,1490.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,3000.0,5.0,0.05,0.0,0.0,69.58,17.81,145483.0,1802409.82,0.0,0.0,127.78,21.54,0.1836,28.89,0.3699,14.87
2006-07-14,738045.0,8977719.37,3.24,5.26,0.85,11.12,0.0,4955046.17,332970.0,407347.0,4050310.24,0.0,0.0,462.0,0.72,0.0,0.0,0.0,0.01,48298.0,333.0,0.0,0.0,0.72,462.0,0.0,0.0,1601.0,4.91,0.03,0.0,0.0,69.3,17.8,147486.0,1794047.68,0.0,0.0,127.98,20.04,0.203,34.15,0.3945,14.6
