feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AEEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,3824,0.3994493337942406,1.7428737728987363e-146,0.5607325247596283,1.168694143e-315,0.4070026513965113,2.0986339446311212e-268,0.5775558036332793,0.008982284134444948,3.499385560488529,0.15955977026866286,0.1593398748658027,1.7428737729026502e-146,0.3994493337942406,0.5607325247596283,0.4070026513965113
AEEM FP Equity_DX_ACTIVE_UTILIZATION_MV,0,3824,0.39841990293459006,1.1299863174396906e-145,0.5604911022404403,2.486042837e-315,0.40676176591815005,2.7941710556384197e-268,0.575640941938325,0.008963898473353769,3.5004788859749087,0.15873841905440833,0.15851830875065487,1.1299863174464577e-145,0.39841990293459006,0.5604911022404403,0.40676176591815005
AEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,3824,0.22218319303361556,5.571118288596944e-44,0.30325971648775624,3.6354133728063827e-82,0.22354927975629002,1.623559460653229e-81,0.544355544994227,0.007532063117085054,3.737221315130932,0.04936537126661289,0.049116644257525044,5.571118288639228e-44,0.22218319303361556,0.30325971648775624,0.22354927975629002
AEEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,3824,0.22146164517632744,1.0635582379745465e-43,0.30272381311210067,7.21244776959322e-82,0.22352125421804805,1.5811197075524866e-81,0.5803321378045712,7.49783368460368e-09,3.7376876281192235,0.04904526028420553,0.04879644952028184,1.0635582379698475e-43,0.22146164517632744,0.30272381311210067,0.22352125421804805
AEEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,3824,0.189524970082876,2.954150760155693e-32,0.25738646110299856,6.475349791770119e-59,0.1756100284919619,1.4725906343740366e-57,0.35401586529105566,0.028137754626110727,3.735697227790902,0.03591971428491514,0.03566746931220044,2.9541507601574205e-32,0.189524970082876,0.25738646110299856,0.1756100284919619
AEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,3824,0.18925777306348135,3.6154247285534494e-32,0.27607456476818143,7.454702746632143e-68,0.20175342787149922,1.1111419376484585e-66,0.5545164681841497,2.835450461935565e-08,3.7493561046235335,0.03581850466494796,0.03556623321143271,3.6154247285366284e-32,0.18925777306348135,0.27607456476818143,0.20175342787149922
AEEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,3824,0.173788731169021,2.5981117725916917e-27,0.1306347250749372,5.0457246340399e-16,0.1013349543501865,9.840037778560938e-20,0.4304459416691584,0.004467597631590662,3.5651210932850423,0.030202523081338528,0.029948782244886618,2.5981117725906683e-27,0.173788731169021,0.1306347250749372,0.1013349543501865
AEEM FP Equity_DX_UTILIZATION_QUANTITY,0,3824,0.1697542050632772,4.073641231225656e-26,0.4561851729952444,6.383684900396854e-196,0.3100299124925582,1.1224612818860814e-163,0.6573642028666051,0.006644856522007836,3.7445341125678158,0.028816490136665318,0.028562386654231053,4.0736412312219676e-26,0.1697542050632772,0.4561851729952444,0.3100299124925582
AEEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,3824,0.1671972981713305,2.2510363884357144e-25,0.4749258745807632,1.9733016033700404e-214,0.3207756995463005,1.8539435415691087e-175,0.6936376067579659,9.536900949032187e-09,3.7677863026038243,0.02795493651579295,0.027700607613782346,2.251036388445601e-25,0.1671972981713305,0.4749258745807632,0.3207756995463005
AEEM FP Equity_DX_SUPPLY_SI_MV,0,3824,0.16666992289553414,3.1918944322168523e-25,0.46935157186426846,8.357439856567443e-209,0.3174767086100042,3.2407139886339744e-171,0.6846638635562843,0.009507378271297811,3.768062887859486,0.027778863198003156,0.027524488227620547,3.191894432211798e-25,0.16666992289553414,0.46935157186426846,0.3174767086100042
