feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
AFME FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,1093,-0.1463026253940147,1.1889523921706344e-06,-0.33972721440481124,6.2424089272040935e-31,-0.24042845530503998,3.995301236228078e-25,0.6864771111002372,-0.0008974047856941178,2.6380140167232327,0.021404458197181397,0.020507487031459215,1.1889523921707261e-06,0.1463026253940147,0.33972721440481124,0.24042845530503998
AFME FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,1093,-0.13452081798327875,8.099343124669909e-06,-0.3428937699372793,1.628442399609943e-31,-0.2516506186164958,4.6096640474069664e-27,0.4443067971555479,-0.0011291421929421677,2.626641364957851,0.018095850470890462,0.017195846667472314,8.099343124669192e-06,0.13452081798327875,0.3428937699372793,0.2516506186164958
AFME FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,1093,-0.0640583396872313,0.034212705254662745,0.045934610646605346,0.12909333034456785,0.0378671065772037,0.12592484741483664,0.05713276136116452,-0.00784454492165676,2.590613520928002,0.004103470883484395,0.003190641800884464,0.03421270525466274,0.0640583396872313,0.045934610646605346,0.0378671065772037
AFME FP Equity_DX_BROKER_SI_CON_RATIO,0,1093,-0.06395873950916779,0.03449335859468545,0.045934610646605346,0.12909333034456785,0.0378671065772037,0.12592484741483664,0.05712854750122731,-0.7841357814411316,2.5905653903579595,0.004090720359601563,0.0031778795899952694,0.034493358594685095,0.06395873950916779,0.045934610646605346,0.0378671065772037
AFME FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,1093,-0.06277647300325745,0.03797755441394233,0.04606715662354866,0.12799130162850944,0.03771543909006531,0.1279317516499192,0.052890406286581815,-0.007653752808988716,2.5897752808988765,0.0039408855627286465,0.0030279074560033425,0.037977554413943335,0.06277647300325745,0.04606715662354866,0.03771543909006531
AFME FP Equity_DX_ACTIVE_UTILIZATION_MV,0,1093,-0.06277647300325745,0.03797755441394233,0.04606715662354866,0.12799130162850944,0.03771543909006531,0.1279317516499192,0.052890406286581815,-0.007653752808988716,2.5897752808988765,0.0039408855627286465,0.0030279074560033425,0.037977554413943335,0.06277647300325745,0.04606715662354866,0.03771543909006531
AFME FP Equity_DX_UTILIZATION_QUANTITY,0,1093,-0.06276462140038343,0.03801394182256411,0.04610705546410747,0.1276610046309537,0.03784135722258488,0.1264973622225378,0.05352751840666947,-0.007660262226884682,2.589771737490901,0.003939397699533442,0.0030264182290471453,0.038013941822565844,0.06276462140038343,0.04610705546410747,0.03784135722258488
AFME FP Equity_DX_DEMAND_SUPPLY_RATIO,0,1093,-0.06197095262936148,0.04051900697741656,0.04904646397836467,0.10509849732502559,0.040186432263129734,0.10400838674967496,0.053574224530847925,-0.3948843540528367,2.5895673036340794,0.0038403989697904928,0.0029273287580303675,0.04051900697741976,0.06197095262936148,0.04904646397836467,0.040186432263129734
AFME FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,1093,-0.04053624817290576,0.18051610022135664,0.04610199613032046,0.12770285093133588,0.037963999948768284,0.12337756854325728,0.044443100572501004,-0.9803274031849138,2.579946571428422,0.0016431874159354987,0.0007281032614129268,0.18051610022135647,0.04053624817290576,0.04610199613032046,0.037963999948768284
AFME FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,1093,-0.03855512939613447,0.20278079814575345,0.03651523596316803,0.22772699608466082,0.030006866348183878,0.22513770160901703,0.022468111681080982,-20.396505281565602,2.5791735653743673,0.0014864980027528008,0.0005712702282364424,0.20278079814576105,0.03855512939613447,0.03651523596316803,0.030006866348183878
