feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALAGO FP Equity_DX_UTILIZATION_QUANTITY,0,984,-0.6603443512015411,2.77208526813443e-124,-0.6255476086186074,5.590025887019636e-108,-0.45158804658263396,6.467847242342087e-93,1.3872455640872925,-0.031146833408176866,2.975935471931929,0.4360546621637842,0.4354803797423624,2.772085268130768e-124,0.6603443512015411,0.6255476086186074,0.45158804658263396
ALAGO FP Equity_DX_SI_QTY,0,984,-0.6458861640617859,2.9954648772809387e-117,-0.7550632096369142,3.167595653764252e-182,-0.572339968685501,2.3642717918493493e-145,1.3090710970192037,-5.767786510280467e-06,2.5305233528599613,0.4171689369264481,0.4165754226055993,2.9954648772831252e-117,0.6458861640617859,0.7550632096369142,0.572339968685501
ALAGO FP Equity_DX_ACTIVE_UTILIZATION_MV,0,984,-0.6344041124209797,6.250033645392955e-112,-0.5390205939841892,3.004286109167415e-75,-0.43912018913631445,2.4100375987360707e-66,0.5052511056024347,-0.02263022526317547,3.0178855440765004,0.4024685778566509,0.4018600937200487,6.250033645388819e-112,0.6344041124209797,0.5390205939841892,0.43912018913631445
ALAGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,984,-0.6341426866459345,8.210608891705719e-112,-0.5390453034315426,2.9492715929606045e-75,-0.4393559252585255,2.131252824663683e-66,0.5061170885287551,-0.022621119676924963,3.0198287991184936,0.4021369470265239,0.4015281251803188,8.210608891701039e-112,0.6341426866459345,0.5390453034315426,0.4393559252585255
ALAGO FP Equity_DX_DEMAND_SUPPLY_RATIO,0,984,-0.6230367960162028,6.991722705002411e-107,-0.5138917956695233,2.023596088221753e-67,-0.3683859840824574,1.7588990353394086e-62,1.3381403124232918,-1.5853989126195933,2.8805991248636174,0.38817484919013545,0.38755180932169364,6.991722705002132e-107,0.6230367960162028,0.5138917956695233,0.3683859840824574
ALAGO FP Equity_DX_SUPPLY_SI_QTY,0,984,-0.6183770398988753,7.152942774022902e-105,-0.7626972093763769,4.678007807284739e-188,-0.574431679719872,2.1947697852082958e-146,1.3090677653939196,-9.011569229488865e-06,2.4066193792239767,0.38239016347409516,0.3817612328870016,7.152942774021155e-105,0.6183770398988753,0.7626972093763769,0.574431679719872
ALAGO FP Equity_DX_BROKER_SI_QTY,0,984,-0.6007309766445372,1.4724590758255382e-97,-0.7638905231571899,5.478803173817142e-189,-0.5765226639692584,3.2243817011286247e-147,1.2910215305801596,-8.371120138714877e-06,2.3458991164440275,0.3608777063002996,0.3602268689340067,1.4724590758239308e-97,0.6007309766445372,0.7638905231571899,0.5765226639692584
ALAGO FP Equity_DX_DSS,0,984,-0.5769894706184955,2.0705793877104293e-88,-0.6124156760091827,2.3823951558638544e-102,-0.4932250745399873,9.421365519358922e-89,0.6553220158528352,-1.2212384009636277,2.461935134959155,0.3329168492046115,0.3322375384604207,2.0705793877103158e-88,0.5769894706184955,0.6124156760091827,0.4932250745399873
ALAGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,984,-0.5410450858463098,6.5750139286742e-76,-0.5228906933751272,3.7838032486504206e-70,-0.3755391971062328,4.756260478648041e-64,1.3147411161876263,-0.42815152553042235,2.3970939926651003,0.2927297849184407,0.29200955048353083,6.575013928677515e-76,0.5410450858463098,0.5228906933751272,0.3755391971062328
ALAGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,984,-0.5107521775840996,1.7333561853978722e-66,-0.4540886421852315,3.2065592284133076e-51,-0.3275405990345828,3.940676326287115e-49,1.3163163919765393,-0.4208195786978578,2.328119891295705,0.2608677869068997,0.2601151064455015,1.7333561853981934e-66,0.5107521775840996,0.4540886421852315,0.3275405990345828
ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,984,-0.4261152136668764,1.1146230017031928e-44,-0.20132464961889743,1.8580218005500455e-10,-0.15518383357903154,1.8744465462454867e-11,0.9934671825725361,-0.015770571644945816,2.378620591686439,0.18157417531836761,0.18074074779832527,1.1146230017032772e-44,0.4261152136668764,0.20132464961889743,0.15518383357903154
ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,984,-0.41470902138001214,3.491858801854181e-42,-0.5057812890886106,4.965312607493532e-65,-0.3794765416606887,4.0591523075323255e-57,0.6711482398128741,-0.06311027604722554,1.8008269308989697,0.17198357241396733,0.17114037849585528,3.491858801854159e-42,0.41470902138001214,0.5057812890886106,0.3794765416606887
ALAGO FP Equity_DX_BROKER_SI_CON_RATIO,0,984,-0.3697362480844215,3.085630853168913e-33,-0.2026296960882602,1.409854309140307e-10,-0.15933979653342362,5.360534981793129e-12,1.0329522807412692,-1.3477915862471426,2.1993948710581717,0.13670489314754486,0.13582577389413097,3.085630853169e-33,0.3697362480844215,0.2026296960882602,0.15933979653342362
ALAGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,984,-0.21836344856668377,4.365273196807009e-12,-0.09534580103246194,0.0027543415926164316,0.012388858398490559,0.5726363448701286,1.8291226716600861,-7.5366943906536845e-06,1.7877335098363392,0.047682595669934824,0.04671282234576979,4.365273196807813e-12,0.21836344856668377,0.09534580103246194,0.012388858398490559
ALAGO FP Equity_DX_SUPPLY_SI_MV,0,984,-0.2120621536887825,1.814135367858068e-11,-0.08574547828480183,0.007118065904539643,0.007463208213116446,0.7392000733167803,1.2469751332231556,-7.245451495748551,1.7788561270270637,0.04497035702712482,0.04399782174914846,1.814135367858386e-11,0.2120621536887825,0.08574547828480183,0.007463208213116446
ALAGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,984,-0.21145822905126774,2.0747172994127127e-11,-0.08435496122455945,0.008109697482975953,0.022086626765577533,0.3142440140846061,1.8332129418937573,-7.284635472160162e-06,1.7776713354557232,0.04471458263349848,0.043741786892799395,2.074717299412697e-11,0.21145822905126774,0.08435496122455945,0.022086626765577533
