feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALDBT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,2510,-0.671208937197116,0.0,-0.7136565502165236,0.0,-0.5183933182670425,3.0011157753506273e-290,1.3219924985233718,-0.025284394359574903,2.2721422056200904,0.45052143737328254,0.450302347037307,0.0,0.671208937197116,0.7136565502165236,0.5183933182670425
ALDBT FP Equity_DX_BROKER_SI_CON_RATIO,0,2510,-0.6405764297797509,5.390173800798641e-290,-0.7245941628103024,0.0,-0.5300096634049933,2.7683837483323566e-303,1.4080452643747776,-2.5665144801152713,2.1642040395982747,0.4103381623893724,0.41010305001392955,5.390173800797753e-290,0.6405764297797509,0.7245941628103024,0.5300096634049933
ALDBT FP Equity_DX_ACTIVE_UTILIZATION_MV,0,2510,-0.6005298856936166,6.784012336062629e-246,-0.6362071425731403,7.289797137764116e-285,-0.5201976832704616,7.517887622975275e-223,0.4393218372793506,-0.01782969519593246,2.082749302707128,0.36063614361118856,0.36038121384388844,6.784012336112079e-246,0.6005298856936166,0.6362071425731403,0.5201976832704616
ALDBT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,2510,-0.6005298856936166,6.784012336062629e-246,-0.6362071425731403,7.289797137764116e-285,-0.5201976832704616,7.517887622975275e-223,0.4393218372793506,-0.01782969519593246,2.082749302707128,0.36063614361118856,0.36038121384388844,6.784012336112079e-246,0.6005298856936166,0.6362071425731403,0.5201976832704616
ALDBT FP Equity_DX_UTILIZATION_QUANTITY,0,2510,-0.4814313474626715,8.333282356093517e-146,-0.53758377784977,5.2319267346636e-188,-0.3662954548791701,8.442398938746368e-143,1.592797832917861,-0.020916053840986226,1.776076187887442,0.231776142319724,0.23146983296658197,8.333282356086577e-146,0.4814313474626715,0.53758377784977,0.3662954548791701
ALDBT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,2510,-0.4718491275557325,2.327734076374069e-139,-0.5808924956234747,1.808956604708195e-226,-0.41141058481164894,6.631700072833176e-176,1.0618138986104122,-0.04565230430590439,1.7052928507610337,0.2226415991751063,0.22233164765962588,2.327734076370851e-139,0.4718491275557325,0.5808924956234747,0.41141058481164894
ALDBT FP Equity_DX_BROKER_SI_QTY,0,2510,-0.47072349979528094,1.2905370643712681e-138,-0.8183081849230751,0.0,-0.6174101534240614,0.0,1.6480772954853777,-1.3296725554850513e-06,1.6038256660642447,0.22158061325951817,0.22127023870340157,1.2905370643690142e-138,0.47072349979528094,0.8183081849230751,0.6174101534240614
ALDBT FP Equity_DX_DEMAND_SUPPLY_RATIO,0,2510,-0.45336799115681803,1.7128170321327362e-127,-0.5448831702869202,4.234157054699879e-194,-0.36253131110402004,1.8437496498397482e-140,1.5844021522992975,-0.9267188318981338,1.6699636872999641,0.20554253540556888,0.20522576608156795,1.7128170321285252e-127,0.45336799115681803,0.5448831702869202,0.36253131110402004
ALDBT FP Equity_DX_SI_QTY,0,2510,-0.4523306752940425,7.55703131152006e-127,-0.8162548513336949,0.0,-0.6140484067870274,0.0,1.6584897408884545,-9.759156889846976e-07,1.56983771772523,0.20460303981196437,0.20428589588844437,7.557031311521608e-127,0.4523306752940425,0.8162548513336949,0.6140484067870274
ALDBT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,2510,-0.4426473143985003,6.158376571040837e-121,-0.7083051023070439,0.0,-0.5069222019362319,7.405061816222583e-278,1.5768082408126065,-2.293105858793907,1.6078321161043436,0.1959366449442046,0.19561604552033862,6.158376571047739e-121,0.4426473143985003,0.7083051023070439,0.5069222019362319
ALDBT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,2510,-0.4410454789143154,5.6098771944660294e-120,-0.7086422604773678,0.0,-0.5074785038854299,1.188571797321931e-278,1.5934835812646395,-2.299185551402711,1.6047357509112805,0.19452111447075804,0.1941999506408022,5.60987719447222e-120,0.4410454789143154,0.7086422604773678,0.5074785038854299
ALDBT FP Equity_DX_SUPPLY_SI_QTY,0,2510,-0.427748562395574,3.2923774431509005e-112,-0.73676159506716,0.0,-0.596401674104293,0.0,1.6228439839263031,-1.3747823366893864e-06,1.521908220919425,0.18296883263148045,0.18264306262854246,3.2923774431551006e-112,0.427748562395574,0.73676159506716,0.596401674104293
ALDBT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,2510,-0.3628659527833707,5.63681168379809e-79,-0.5822997241201434,8.114410010502791e-228,-0.38439072667384727,5.7455121895640485e-158,1.3258051359810943,-3.22397019272961e-05,1.4591242376114213,0.13167169968938375,0.13132547628415625,5.636811683793242e-79,0.3628659527833707,0.5822997241201434,0.38439072667384727
ALDBT FP Equity_DX_SUPPLY_SI_MV,0,2510,-0.3552589447808475,1.498437594700221e-75,-0.43429150099750774,5.473833239673981e-116,-0.3136360254552344,1.2167354636342622e-92,0.6775126373696945,-30.75894581281928,1.4442382224403885,0.12620891784680155,0.1258605162988936,1.4984375946990346e-75,0.3552589447808475,0.43429150099750774,0.3136360254552344
ALDBT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,2510,-0.3204938163968682,4.665146244342879e-61,-0.6004942842809927,7.377889990825613e-246,-0.42278120681054515,2.185456979834381e-189,1.0644015919334535,-3.10897670536453,1.4407312260662115,0.10271628634863006,0.10235851772277227,4.665146244338388e-61,0.3204938163968682,0.6004942842809927,0.42278120681054515
ALDBT FP Equity_DX_SI_MV,0,2510,-0.3131277988650937,3.194002087152697e-58,-0.49056165492145637,3.843536063135884e-152,-0.32925489376694983,8.86972210226569e-106,0.8666863752392977,-9.58034815112961,1.3776047925700055,0.09804901842209879,0.09768938884411715,3.194002087155391e-58,0.3131277988650937,0.49056165492145637,0.32925489376694983
