feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALGAE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,2971,0.6583323937395147,0.0,0.5450650850724901,1.3995467705236112e-229,0.4494922357513044,8.825795203267029e-228,1.1979642181291759,5.549537853994306e-06,2.1943603057725656,0.43340154064680014,0.43321070249949367,0.0,0.6583323937395147,0.5450650850724901,0.4494922357513044
ALGAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,2971,0.6570108268662033,0.0,0.5415314507848521,4.581108636554771e-226,0.44309351714725964,4.4010495328877347e-219,0.7639633400373249,5.513094981702613,2.19399415583235,0.43166322661941237,0.4314718029840535,0.0,0.6570108268662033,0.5415314507848521,0.44309351714725964
ALGAE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,2971,0.6175069445519037,6.47890875079e-312,0.5072526479276417,4.763483119316197e-194,0.401916307879644,1.7823779157291521e-175,0.5722959072481288,3.550902642891553e-05,2.1424604601189206,0.3813148265698274,0.3811064449014441,6.47890875077e-312,0.6175069445519037,0.5072526479276417,0.401916307879644
ALGAE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,2971,-0.5288795386068791,8.098180765905145e-214,-0.40833222080218745,9.042164166762094e-120,-0.3324591073540062,2.420597049594415e-109,0.280361651860362,-0.02235925145535735,4.135268340007269,0.27971356635702493,0.2794709639879974,8.098180765824636e-214,0.5288795386068791,0.40833222080218745,0.3324591073540062
ALGAE FP Equity_DX_ACTIVE_UTILIZATION_MV,0,2971,-0.5288776410164173,8.13177968365477e-214,-0.40833222080218745,9.042164166762094e-120,-0.3324591073540062,2.420597049594415e-109,0.2803655801764926,-0.022359151480576177,4.135260878139289,0.2797115591670908,0.27946895612201406,8.131779683695624e-214,0.5288776410164173,0.40833222080218745,0.3324591073540062
ALGAE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,2971,-0.42374110293157696,8.77159023899644e-130,-0.30327443369903767,3.0078255023801013e-64,-0.2089931051341642,1.6645142024679872e-57,0.7809619380340513,-0.05955391570077559,3.5279374744110235,0.17955652231366914,0.1792801856758497,8.771590238966049e-130,0.42374110293157696,0.30327443369903767,0.2089931051341642
ALGAE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,2971,-0.4161157673406211,9.201371592614993e-125,-0.3448352108618966,1.019850750949008e-83,-0.23057347185389312,1.224919132237523e-72,0.9824110373510719,-0.023962354373662,3.7174046520618056,0.17315233182947365,0.17287383817229274,9.20137159264775e-125,0.4161157673406211,0.3448352108618966,0.23057347185389312
ALGAE FP Equity_DX_UTILIZATION_QUANTITY,0,2971,-0.3883070749335051,1.6006658309779254e-107,-0.321658361663804,1.752559469309298e-72,-0.21295603245254818,4.048407622649022e-62,1.1916721613098646,-0.025263218246482616,3.4633016473854528,0.15078238444341474,0.15049635628054636,1.6006658309803473e-107,0.3883070749335051,0.321658361663804,0.21295603245254818
ALGAE FP Equity_DX_BROKER_SI_CON_RATIO,0,2971,-0.3356461524945894,3.79727707329777e-79,-0.3417891093737555,3.475097374491468e-82,-0.22758180757336474,8.261557151153203e-71,1.0218942854530852,-1.9664963293251227,3.3991725432505158,0.11265833968442085,0.11235947081937692,3.7972770733041055e-79,0.3356461524945894,0.3417891093737555,0.22758180757336474
ALGAE FP Equity_DX_SUPPLY_SI_QTY,0,2971,-0.3332574846902489,5.52594725540053e-78,-0.4259310213348074,2.9993458312557e-131,-0.3011925164174538,4.342013097359749e-122,1.1803316587182704,-1.1620132312667579e-05,3.0919905004926873,0.1110605511020718,0.11076114407987658,5.525947255395658e-78,0.3332574846902489,0.4259310213348074,0.3011925164174538
