feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALGID FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4985,0.4348842118063632,3.750243237546822e-229,0.3096438083883122,3.1594684978174917e-111,0.3265098111672533,1.206939723760579e-230,2.2401586751113034,0.000496840588708167,3.9825333697192917,0.1891242776784412,0.1889615492573451,3.750243237548338e-229,0.4348842118063632,0.3096438083883122,0.3265098111672533
ALGID FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4985,0.38344770282391444,2.441754460469442e-174,-0.09456938567529322,2.226362283909582e-11,-0.08015004518461845,1.2783006400098684e-12,0.32784415183917215,398.81595902152594,4.063582533963613,0.14703214080093696,0.1468609652321633,2.4417544604692653e-174,0.38344770282391444,0.09456938567529322,0.08015004518461845
ALGID FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4985,-0.2941651064741004,4.464819077692651e-100,-0.5254083038443542,0.0,-0.3943458503241545,1.829742443071646e-290,0.6457100289820374,-0.16623273560678226,6.478406034069296,0.08653310986691842,0.08634979321226588,4.4648190776995015e-100,0.2941651064741004,0.5254083038443542,0.3943458503241545
ALGID FP Equity_DX_SUPPLY_SI_QTY,0,4985,-0.27852294379809994,1.7099947635060737e-89,-0.5192135753064506,0.0,-0.3863360217819208,5.365030026720845e-283,0.9273296600281085,-0.00026070507202849197,6.215276754885562,0.07757503022195944,0.07738991583910204,1.7099947635016427e-89,0.27852294379809994,0.5192135753064506,0.3863360217819208
ALGID FP Equity_DX_SI_QTY,0,4985,-0.26959013770921186,9.447776332391802e-84,-0.5251643141847699,0.0,-0.38343696129616905,1.5006000634436587e-287,1.081264620221671,-0.0001346284659199851,6.2719630031953395,0.07267884235007105,0.07249274538887296,9.447776332369564e-84,0.26959013770921186,0.5251643141847699,0.38343696129616905
ALGID FP Equity_DX_BROKER_SI_QTY,0,4985,-0.25470404952271736,1.1712445754313261e-74,-0.5278376648883552,0.0,-0.38995258955536466,1.1106030768781907e-295,1.0627649716330039,-0.00019735701710173344,6.232875891024514,0.06487415284327125,0.06468648961887691,1.171244575427605e-74,0.25470404952271736,0.5278376648883552,0.38995258955536466
ALGID FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4985,-0.24125706062727,6.048553406860827e-67,-0.5023234610541779,0.0,-0.3918219184141608,1.0353318004167432e-262,0.5332286702904945,-0.041603813941644884,6.34448292743133,0.05820496930251018,0.058015967690891124,6.048553406877636e-67,0.24125706062727,0.5023234610541779,0.3918219184141608
ALGID FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4985,-0.24122429178025126,6.307754095781129e-67,-0.5033943310381065,0.0,-0.3924132613254371,1.3469358721853442e-263,0.5311191357015688,-0.04160168069600998,6.344201727352992,0.058189158944883856,0.058000154160405604,6.307754095795134e-67,0.24122429178025126,0.5033943310381065,0.3924132613254371
ALGID FP Equity_DX_BROKER_SI_CON_RATIO,0,4985,0.224263325214776,7.31453422648064e-58,-0.3863481677298842,3.534410882929477e-177,-0.3199639618538139,1.2363149998682317e-198,0.916997426042045,5.087856355683927,4.194141399749031,0.050294039036388294,0.05010344984093096,7.314534226465666e-58,0.224263325214776,0.3863481677298842,0.3199639618538139
ALGID FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4985,0.2149771189420443,3.309089323276975e-53,-0.4362817428273537,8.847542252968015e-231,-0.30830920681021917,1.433245454341089e-186,1.2231551696080265,4.29477146292318e-05,4.916171063802038,0.04621516166862205,0.046023753914592014,3.3090893232828704e-53,0.2149771189420443,0.4362817428273537,0.30830920681021917
