feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALICA FP Equity_DX_ACTIVE_UTILIZATION_MV,0,817,-0.4923561256998681,4.175314317977083e-51,-0.520798345633147,5.4142997092372225e-58,-0.42644699003111153,4.650459836280939e-50,0.24822981318637716,-0.04758006732813639,12.481536144578314,0.24241455451418448,0.24148500182033683,4.175314317971021e-51,0.4923561256998681,0.520798345633147,0.42644699003111153
ALICA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,817,-0.4923561256998681,4.175314317977083e-51,-0.520798345633147,5.4142997092372225e-58,-0.42644699003111153,4.650459836280939e-50,0.24822981318637716,-0.04758006732813639,12.481536144578314,0.24241455451418448,0.24148500182033683,4.175314317971021e-51,0.4923561256998681,0.520798345633147,0.42644699003111153
ALICA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,817,-0.4910460143168684,8.366556611499036e-51,-0.5163703402463188,7.06295887603654e-57,-0.4102215600750455,4.360650501366608e-49,0.32469569396946407,-0.048349827523419646,12.477708743299809,0.24112618817648235,0.24019505466504243,8.366556611493697e-51,0.4910460143168684,0.5163703402463188,0.4102215600750455
ALICA FP Equity_DX_BROKER_SI_CON_RATIO,0,817,-0.4874538535918158,5.540110130444959e-50,-0.5134637175712073,3.735072001094339e-56,-0.4078357874443089,1.5245314138168505e-48,0.337271813030775,-4.8395748623982096,12.46567349415574,0.2376112593815114,0.2366758130740041,5.54011013044169e-50,0.4874538535918158,0.5134637175712073,0.4078357874443089
ALICA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,817,0.4758977506209522,2.0863030197161862e-47,0.3825685533023736,7.164817879191957e-30,0.3397848801044087,5.596061722197159e-40,1.3527118810105303,5.446575062688876e-06,10.284983411561253,0.22647866904608216,0.22552956311853134,2.0863030197168827e-47,0.4758977506209522,0.3825685533023736,0.3397848801044087
ALICA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,817,0.4741632940124546,4.983755559959519e-47,0.4627988473791494,1.3256734141746166e-44,0.40680753493815885,9.09781268431921e-55,0.9577607637524228,5.408089510082803,10.288985851318882,0.22483082938874133,0.2238797015720404,4.983755559959815e-47,0.4741632940124546,0.4627988473791494,0.40680753493815885
ALICA FP Equity_DX_UTILIZATION_QUANTITY,0,817,-0.45942008684457686,6.69798854701191e-44,-0.5105174102313188,1.987872274584241e-55,-0.40079582182608603,9.2786198898767e-47,0.2998109294425251,-0.04636967230009342,12.378627915777571,0.21106681619627843,0.21009880001983217,6.6979885470127e-44,0.45942008684457686,0.5105174102313188,0.40079582182608603
ALICA FP Equity_DX_DEMAND_SUPPLY_RATIO,0,817,-0.44821471057883405,1.2688335958065562e-41,-0.5101952613898795,2.3842335653108717e-55,-0.3992646576367773,5.142670763121323e-47,0.3303466986688437,-2.3913382693434957,12.341825196517522,0.2008964267792681,0.19991593159740217,1.2688335958050003e-41,0.44821471057883405,0.5101952613898795,0.3992646576367773
ALICA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,817,-0.42466704562705454,4.179193748627766e-37,-0.5196796759375312,1.0396745830025294e-57,-0.39933059601981324,2.9548259041394354e-48,0.587301524430148,-0.00024533911746076547,12.207666839044437,0.18034209964161108,0.1793363844264474,4.179193748624518e-37,0.42466704562705454,0.5196796759375312,0.39933059601981324
ALICA FP Equity_DX_SUPPLY_SI_QTY,0,817,-0.42330619137579334,7.437889539370907e-37,-0.5234385664301746,1.1496865877938867e-58,-0.41507729927532283,4.2602373515487916e-51,0.4029126624526802,-0.0018456097921877759,12.189911619924946,0.1791881316570798,0.17818100053027863,7.4378895393762695e-37,0.42330619137579334,0.5234385664301746,0.41507729927532283
