feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALINT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,3913,-0.3040553476242016,1.7295718829718458e-84,-0.2595748140784009,2.808057800989226e-61,-0.2064938912415168,1.4335219564454023e-61,0.40442614665393295,-0.027624420759118178,3.803719301419619,0.0924496544188741,0.0922176037040745,1.7295718829806734e-84,0.3040553476242016,0.2595748140784009,0.2064938912415168
ALINT FP Equity_DX_BROKER_SI_CON_RATIO,0,3913,-0.29781121842968783,5.706960664664888e-81,-0.2577761025300214,1.9877948349495985e-60,-0.20432453892956948,5.209430372349683e-60,0.4021486646016559,-2.799031648240149,3.7923225998466683,0.08869152182257467,0.08845851019430129,5.70696066464979e-81,0.29781121842968783,0.2577761025300214,0.20432453892956948
ALINT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,3913,-0.2757944169628994,3.005263478044273e-69,-0.24024195759492237,1.720641033079528e-52,-0.18307622325613482,5.816844222025563e-48,0.3054354333624878,-0.04528977706829706,3.714161938374133,0.07606256042790527,0.07582631971208531,3.005263478060749e-69,0.2757944169628994,0.24024195759492237,0.18307622325613482
ALINT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,3913,-0.2226741701796819,3.6855662815487715e-45,-0.2537279673490657,1.5374137951928084e-58,-0.19227952142964055,8.057601609071521e-53,0.4445944919950655,-1.3118104740519925,3.6314980179636542,0.04958378606520886,0.049340775015877525,3.685566281559517e-45,0.2226741701796819,0.2537279673490657,0.19227952142964055
ALINT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,3913,-0.22264246893137937,3.794721832246249e-45,-0.2537283378189244,1.5368076001693598e-58,-0.19226883562393848,8.2723439922835885e-53,0.44438328291679374,-1.311603645336986,3.63142716262931,0.04956966897186099,0.04932665431294303,3.7947218322540193e-45,0.22264246893137937,0.2537283378189244,0.19226883562393848
ALINT FP Equity_DX_SI_QTY,0,3913,-0.22253047253906127,4.206741310798433e-45,-0.25399955481998365,1.1512132714015004e-58,-0.19255644662527424,5.255825731128326e-53,0.45305427658484465,-2.005073323692298e-05,3.63118408160889,0.04951981120845783,0.04927678380145417,4.2067413107936344e-45,0.22253047253906127,0.25399955481998365,0.19255644662527424
ALINT FP Equity_DX_BROKER_SI_QTY,0,3913,-0.22238960513103445,4.7886892222465716e-45,-0.253508140116097,1.9425425475987768e-58,-0.19178631808180407,1.3904172563403865e-52,0.4558064219229758,-2.0706977196809756e-05,3.6328453463060506,0.04945713647033656,0.04921409303808655,4.788689222261596e-45,0.22238960513103445,0.253508140116097,0.19178631808180407
ALINT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,3913,-0.20626218377989725,7.356476180818275e-39,-0.14221847255419398,3.9285254273463444e-19,-0.11612272217518946,5.287876493781502e-19,0.17650825503907286,-0.01841907868954559,3.597433370911236,0.04254408845765234,0.04229927743450168,7.356476180846405e-39,0.20626218377989725,0.14221847255419398,0.11612272217518946
ALINT FP Equity_DX_ACTIVE_UTILIZATION_MV,0,3913,-0.20626213265151702,7.356794888642682e-39,-0.14221732233444478,3.931122532176119e-19,-0.11611265599369201,5.31835337410875e-19,0.17653642697997474,-0.01841907434263737,3.5974332810102685,0.04254406736595162,0.04229925633740805,7.356794888651043e-39,0.20626213265151702,0.14221732233444478,0.11611265599369201
ALINT FP Equity_DX_SUPPLY_SI_QTY,0,3913,-0.1994022177196871,2.2181093339327294e-36,-0.14337105229983424,2.0204162740486887e-19,-0.11591637243842473,2.5647673317879674e-19,0.23759634118932538,-3.296484214053391e-05,3.585349265244794,0.03976124443152984,0.03951572186554453,2.2181093339235274e-36,0.1994022177196871,0.14337105229983424,0.11591637243842473
ALINT FP Equity_DX_DSS,0,3913,-0.19042787082572016,2.8460779737004958e-33,-0.12995280649613924,3.320002657258527e-16,-0.10654210912833621,4.3633750857495094e-16,0.11346028002798025,-1.7305919132149912,3.576938067061151,0.03626277398721689,0.03601635690053506,2.8460779736990958e-33,0.19042787082572016,0.12995280649613924,0.10654210912833621
ALINT FP Equity_DX_SHORT_INTEREST_VALUE,0,3913,-0.18949313279169586,5.8781540222386906e-33,-0.248411732269252,4.126276330242464e-56,-0.17523805816669652,4.594584295198114e-45,0.810858038515462,-8.679968209001098e-06,3.5888871695264126,0.03590764737521157,0.03566113948653227,5.8781540222286174e-33,0.18949313279169586,0.248411732269252,0.17523805816669652
ALINT FP Equity_DX_SI_MV,0,3913,-0.18917339040879422,7.526835573445926e-33,-0.24531752260787132,1.005958696319793e-54,-0.17442851585583707,9.206761615851441e-44,0.496778310053289,-8.613612678541754,3.5883350904310163,0.03578657163875787,0.03554003279233464,7.526835573447967e-33,0.18917339040879422,0.24531752260787132,0.17442851585583707
ALINT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,3913,-0.187223542706823,3.3668575288083525e-32,-0.2481313678929404,5.521274413882574e-56,-0.17460442178067054,9.444135125945517e-45,0.8300339842845581,-8.679093659035188e-06,3.586071565650673,0.03505265494369314,0.03480592844278385,3.3668575288038607e-32,0.187223542706823,0.2481313678929404,0.17460442178067054
ALINT FP Equity_DX_SUPPLY_SI_MV,0,3913,-0.18098514085025685,3.638941800990283e-30,-0.1364775554089053,9.940219156600897e-18,-0.10166610915301791,2.011757560037899e-15,0.30269078326820575,-16.308495091412908,3.567451315249902,0.03275562120858755,0.032508307381231005,3.638941800988634e-30,0.18098514085025685,0.1364775554089053,0.10166610915301791
ALINT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,3913,-0.18064016118878803,4.691594865593056e-30,-0.13696014445105237,7.615538419584715e-18,-0.09933109604375064,6.878097287336214e-15,0.43408651844231305,-1.6300342892068007e-05,3.5673173317124283,0.032630867834310684,0.032383522108878404,4.691594865589676e-30,0.18064016118878803,0.13696014445105237,0.09933109604375064
