feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALMDG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4962,0.6961878939737585,0.0,0.7187761702643743,0.0,0.5439679622530496,0.0,0.9780967959743427,0.27665222888391827,12.533247844003911,0.4846775837156173,0.4845736880671728,0.0,0.6961878939737585,0.7187761702643743,0.5439679622530496
ALMDG FP Equity_DX_BROKER_SI_CON_RATIO,0,4962,0.6614915667796712,0.0,0.7215884267801812,0.0,0.5472553112664513,0.0,0.9866264164740759,26.707772267969638,14.085138020005095,0.4375710929206241,0.43745769999580975,0.0,0.6614915667796712,0.7215884267801812,0.5472553112664513
ALMDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4962,0.36054677564678206,3.2496325274958033e-152,0.2762932862970004,1.2139707930031068e-87,0.22853096403283826,6.756660603085667e-102,0.8660145947997453,4.073803373861002,21.781033006991436,0.12999397742929086,0.12981857298925636,3.2496325275060766e-152,0.36054677564678206,0.2762932862970004,0.22853096403283826
ALMDG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4962,0.3596589903759398,2.0144697742798152e-151,0.48715237363083114,3.792288246218582e-294,0.37611576759163695,1.340291734079343e-266,0.6260502643198045,0.13184581271467674,20.461425408967465,0.12935458935824062,0.1291790560093209,2.014469774271376e-151,0.3596589903759398,0.48715237363083114,0.37611576759163695
ALMDG FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4962,0.35963581652138543,2.1125596857332322e-151,0.4871011623459049,4.460695092238546e-294,0.3760107966980531,1.819895440122136e-266,0.6280271583570158,0.13184159544262922,20.461281849089712,0.1293379205250036,0.129162383815432,2.1125596857218088e-151,0.35963581652138543,0.4871011623459049,0.3760107966980531
ALMDG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4962,0.3591741949480504,5.442040170124094e-151,0.27607875427832607,1.6699960511678202e-87,0.22850530278719552,5.536166057955801e-102,1.086573386205314,4.052869089639712e-06,21.786644169310982,0.12900610231657994,0.12883049870817598,5.4420401700992025e-151,0.3591741949480504,0.27607875427832607,0.22850530278719552
ALMDG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4962,0.3577831880956403,9.331780744542038e-150,0.44285938330498015,1.8873335917396989e-237,0.3315303790354612,2.851692752528872e-219,0.6928228198693036,0.46446793237465017,20.766886697892318,0.1280088096838803,0.12783300500841333,9.331780744568057e-150,0.3577831880956403,0.44285938330498015,0.3315303790354612
ALMDG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4962,0.32034143074318405,8.528671786566064e-119,0.5859788358475598,0.0,0.423651881977819,0.0,1.2419032212737755,2.6313364151263238e-05,21.947638783144193,0.10261863225058998,0.10243770858773726,8.528671786606398e-119,0.32034143074318405,0.5859788358475598,0.423651881977819
ALMDG FP Equity_DX_SHORT_INTEREST_VALUE,0,4962,0.3135832337783854,1.1743967311456374e-113,0.6328797204165726,0.0,0.43529430981049166,0.0,1.4478891733169594,2.0688402037290248e-05,21.69207840042424,0.09833444450690909,0.09815265709652743,1.1743967311388793e-113,0.3135832337783854,0.6328797204165726,0.43529430981049166
ALMDG FP Equity_DX_SI_MV,0,4962,0.31167040423908027,3.16340831985235e-112,0.6229389873984718,0.0,0.4283116182888946,0.0,1.1032491433341458,20.28623498547723,21.721560704433674,0.0971384408785515,0.09695641233840602,3.1634083198511787e-112,0.31167040423908027,0.6229389873984718,0.4283116182888946
ALMDG FP Equity_DX_BROKER_SI_QTY,0,4962,0.2127467886420894,6.890190702711306e-52,0.5264784750047317,0.0,0.3534422584653925,6.8018088737086025e-264,1.0311089734159635,0.0005787006950705662,22.788862142623863,0.0452611960775221,0.04506870841544097,6.890190702692756e-52,0.2127467886420894,0.5264784750047317,0.3534422584653925
ALMDG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,4962,0.20048176863926268,3.683061216686835e-46,0.4890552877402645,8.926417166041587e-297,0.31953740035225164,4.277385706188793e-215,0.9171540513504985,26.017116610562542,22.633605912724438,0.04019293955672698,0.0399994300687343,3.683061216680868e-46,0.20048176863926268,0.4890552877402645,0.31953740035225164
ALMDG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4962,0.19688512680574607,1.5016385160524438e-44,0.4888909790571455,1.5075448266478068e-296,0.3168390822254952,2.449363087406572e-212,0.9419935814070053,25.67695881089907,22.7146268288634,0.03876375315731462,0.03856995552690279,1.5016385160547754e-44,0.19688512680574607,0.4888909790571455,0.3168390822254952
ALMDG FP Equity_DX_SI_QTY,0,4962,0.19612627217747364,3.2534584137901144e-44,0.5611737627722652,0.0,0.35282861674239635,5.022987331819375e-272,1.2151589878512574,0.00041115149276066556,22.75277193230575,0.038465514638232445,0.038271656879086846,3.253458413779285e-44,0.19612627217747364,0.5611737627722652,0.35282861674239635
ALMDG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4962,0.18196054238730675,3.3667662543737054e-38,0.574820971460479,0.0,0.371314345729836,8.594663439494469e-301,0.9408684842849602,1.5522849575265778,23.17484125330724,0.03310963898588293,0.032914701413097824,3.366766254368802e-38,0.18196054238730675,0.574820971460479,0.371314345729836
ALMDG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,4962,0.17941680491923892,3.60369861994802e-37,0.20450009239065894,5.370190171298216e-48,0.1571137614338828,5.410427246808271e-49,0.7812528133387775,7.215674593367743e-05,23.021085720334693,0.03219038988742795,0.03199526698216326,3.6036986199445716e-37,0.17941680491923892,0.20450009239065894,0.1571137614338828
ALMDG FP Equity_DX_SUPPLY_SI_MV,0,4962,0.1793369151940471,3.88002795542087e-37,0.42996386327085373,1.8383908161420297e-222,0.3001512296242241,4.131682525103445e-185,0.9044144539276466,15.416078891430535,23.459819391166487,0.032161729151316876,0.031966600467677964,3.8800279554289915e-37,0.1793369151940471,0.42996386327085373,0.3001512296242241
ALMDG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4962,0.17895426951898272,5.524707763696915e-37,0.43013430148921844,1.1763901607812603e-222,0.3023043102682182,6.308040206851976e-191,1.2541486083298707,1.538921235055919e-05,23.46020749188992,0.03202463057907279,0.031829474254592705,5.5247077637062375e-37,0.17895426951898272,0.43013430148921844,0.3023043102682182
ALMDG FP Equity_DX_SUPPLY_SI_QTY,0,4962,0.12599124781700952,5.182576046526412e-19,0.3972166494315506,3.2261510851699857e-187,0.25361633684532736,3.677504193920399e-134,1.0199845027036103,0.00035371731927813467,23.74616987901314,0.015873794526486962,0.0156753819850608,5.182576046519684e-19,0.12599124781700952,0.3972166494315506,0.25361633684532736
ALMDG FP Equity_DX_UTILIZATION_QUANTITY,0,4962,0.10002537332704936,1.6427140655154289e-12,0.41156954278989094,3.5068293346626497e-202,0.2768659951523705,3.542403272158803e-160,0.9911966262244145,0.10065215872720257,24.13764068439419,0.010005075309215461,0.009805479558269714,1.6427140655169663e-12,0.10002537332704936,0.41156954278989094,0.2768659951523705
ALMDG FP Equity_DX_DEMAND_SUPPLY_RATIO,0,4962,0.09378209045811688,3.614533182801106e-11,0.5672456671193509,0.0,0.35668031227312647,6.740510109729771e-278,1.144954320025128,3.44059531711043,24.331494221267437,0.00879508049069444,0.008595240789180392,3.614533182797705e-11,0.09378209045811688,0.5672456671193509,0.35668031227312647
ALMDG FP Equity_DX_BROKER_SI_MV_DEC,0,4962,0.09245736752508757,6.792372113306401e-11,0.13484372400125996,1.431156838168624e-21,0.10945579266180337,7.1339558252352025e-22,0.061868937838518656,78.57400374415079,24.440027457460488,0.008548364809669251,0.008348475367090491,6.792372113312229e-11,0.09245736752508757,0.13484372400125996,0.10945579266180337
ALMDG FP Equity_DX_SUPPLY_SI_MV_DEC,0,4962,0.08491742534613833,2.085237915677097e-09,0.13591917758501867,6.804938500932746e-22,0.109816029570121,4.822446948973857e-22,0.06951228290605682,67.11229911938209,24.462483841291405,0.0072109691274167,0.007010810048611704,2.0852379156770263e-09,0.08491742534613833,0.13591917758501867,0.109816029570121
ALMDG FP Equity_DX_BROKER_SI_MV_ADD,0,4962,0.0715310540807975,4.5603137144648233e-07,0.07721150689667153,5.161599640071479e-08,0.0630357057488706,4.5750398816544946e-08,0.018748590918988173,78.62715346129998,24.619343387824063,0.005116691697910625,0.004916110385752903,4.5603137144649874e-07,0.0715310540807975,0.07721150689667153,0.0630357057488706
