feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALNXT FP Equity_DX_SHORT_INTEREST_VALUE,0,4978,0.3538312102221666,9.492855159630477e-147,-0.06279509597136257,9.260039147385655e-06,-0.03898530345345663,0.00025292602684746186,0.9535440857802673,2.8185432391535593e-05,2.112879620476778,0.12519652532728331,0.1250207207704762,9.492855159603418e-147,0.3538312102221666,0.06279509597136257,0.03898530345345663
ALNXT FP Equity_DX_SI_MV,0,4978,0.35204502786473046,3.433910828427157e-145,0.03821129698376519,0.007011375437611997,0.03482748973285874,0.0017418015967230803,0.3886599605740897,27.56297743307187,2.123959371816359,0.1239357016442788,0.12375964370650638,3.4339108284327754e-145,0.35204502786473046,0.03821129698376519,0.03482748973285874
ALNXT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4978,0.3360355476967612,1.142775786535104e-131,-0.10016963830429247,1.4054850636903988e-12,-0.0684473761336094,1.4002514707652703e-10,0.9633970162529462,2.6861435078804194e-05,2.1578856803546365,0.11291988931586194,0.11274161758943835,1.142775786532157e-131,0.3360355476967612,0.10016963830429247,0.0684473761336094
ALNXT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,4978,0.313526610243281,5.650829238046384e-114,-0.08208222105094638,6.645734375129206e-09,-0.056846645569986136,1.3511556886368874e-07,0.5860944413470839,14.896063704894917,2.006061527187087,0.09829893533064249,0.09811772530960772,5.65082923804364e-114,0.313526610243281,0.08208222105094638,0.056846645569986136
ALNXT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4978,0.27766615567838526,8.230749707627798e-89,-0.10214992040583812,5.037804650205712e-13,-0.06933199643903475,1.3606514994204463e-10,0.5511396938840321,13.352135086606882,2.0711331072731984,0.07709849400921431,0.07691302344932882,8.230749707638449e-89,0.27766615567838526,0.10214992040583812,0.06933199643903475
ALNXT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4978,0.2542816675697845,2.630312949454345e-74,0.3413047986378273,4.955386140227701e-136,0.27044363721549963,1.144994163126797e-131,0.5193652169975418,60.97836166945825,1.9558285490143268,0.06465916646207082,0.06447119603732454,2.630312949459343e-74,0.2542816675697845,0.3413047986378273,0.27044363721549963
ALNXT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4978,0.24208001574149482,2.6012691846875697e-67,-0.1186123050326761,4.6101552011249896e-17,-0.08812245388244944,1.8931729989489681e-16,0.543658065911937,0.9571220686167222,2.226822296365891,0.05860273402140237,0.05841354646795016,2.6012691846844212e-67,0.24208001574149482,0.1186123050326761,0.08812245388244944
ALNXT FP Equity_DX_DSS,0,4978,0.234056210478105,6.395671362748528e-63,0.09918156838066236,2.327782774711346e-12,0.08129179067834444,2.6141358704615617e-12,0.022986322552890126,15.259796344191379,2.3565672921711096,0.05478230966337094,0.05459235433975029,6.395671362745213e-63,0.234056210478105,0.09918156838066236,0.08129179067834444
ALNXT FP Equity_DX_SUPPLY_SI_MV,0,4978,0.22733081546588166,2.29006130873006e-59,-0.027258752868428233,0.054465723364305905,-0.024042683798411204,0.037006859672556416,0.222883254874626,214.5139935953283,1.9840336732406025,0.051679299660383204,0.05148872074150468,2.2900613087316715e-59,0.22733081546588166,0.027258752868428233,0.024042683798411204
ALNXT FP Equity_DX_BROKER_SI_CON_RATIO,0,4978,0.1885148949368415,4.756941331793813e-41,-0.10318197814657959,2.9282632427255294e-13,-0.08094176574020556,7.829049160601123e-14,0.6221387482815564,2.016568612424689,1.8679272368675672,0.03553786561304639,0.03534404283684334,4.756941331788886e-41,0.1885148949368415,0.10318197814657959,0.08094176574020556
ALNXT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4978,0.1823501918459954,1.7781695290714535e-38,0.31110063109716485,3.7136275132335624e-112,0.2416723189328839,1.7248603286485056e-122,2.1129754927124127,4.462536550108993e-05,2.097181627781282,0.033251592466271185,0.03305731023003056,1.7781695290714806e-38,0.1823501918459954,0.31110063109716485,0.2416723189328839
ALNXT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4978,0.17586472988659085,7.227679042452166e-36,-0.10306728111049904,3.1110876164972454e-13,-0.08063110432413416,9.735851795662442e-14,0.6236964122733499,0.017975911052529988,1.8922048249439989,0.030928403218081546,0.030733654102972685,7.227679042457281e-36,0.17586472988659085,0.10306728111049904,0.08063110432413416
ALNXT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4978,0.15752654111520825,5.031283705636631e-29,-0.138319741332112,1.0837602458051302e-22,-0.10684269075580168,3.728991462118503e-23,0.7454812219763998,0.00015935406394584334,2.0904325257780445,0.024814611155723365,0.02461863338465342,5.031283705633151e-29,0.15752654111520825,0.138319741332112,0.10684269075580168
ALNXT FP Equity_DX_SUPPLY_SI_QTY,0,4978,-0.1551673840636075,3.3511901355035683e-28,-0.21260625052462837,5.553295558857447e-52,-0.1637737654647789,5.339915469629096e-52,0.8045664568615609,-0.0001217014072735793,2.7133427414044147,0.024076917077142213,0.02388079105565455,3.3511901355003823e-28,0.1551673840636075,0.21260625052462837,0.1637737654647789
