feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALODY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,183,0.6771757769525473,6.680911496099873e-26,0.6299213574286615,1.2629001555248783e-21,0.5106884071977068,1.1493000054718983e-18,0.3951171735715211,0.22347350463404064,21.155080677399457,0.4585670328912861,0.45557569053156943,6.680911496099881e-26,0.6771757769525473,0.6299213574286615,0.5106884071977068
ALODY FP Equity_DX_BROKER_SI_CON_RATIO,0,183,0.6600551672333417,2.9070397255003725e-24,0.6299079625688417,1.2661278448081999e-21,0.51063161152833,1.1661432425232268e-18,0.40218541850261613,22.45904375281697,21.368002214926683,0.4356728237914348,0.43255499408862497,2.9070397255001826e-24,0.6600551672333417,0.6299079625688417,0.51063161152833
ALODY FP Equity_DX_ACTIVE_UTILIZATION_MV,0,183,0.5325625451591297,8.524189787053298e-15,0.4938782703828463,1.2089605117854458e-12,0.40519430211158114,2.686918327819672e-11,0.26928673897015654,0.13632352727272723,21.944920000000003,0.2836228645063701,0.2796649797798859,8.524189787053669e-15,0.5325625451591297,0.4938782703828463,0.40519430211158114
ALODY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,183,0.5325625451591297,8.524189787053298e-15,0.4938782703828463,1.2089605117854458e-12,0.40519430211158114,2.686918327819672e-11,0.26928673897015654,0.13632352727272723,21.944920000000003,0.2836228645063701,0.2796649797798859,8.524189787053669e-15,0.5325625451591297,0.4938782703828463,0.40519430211158114
ALODY FP Equity_DX_SHORT_INTEREST_VALUE,0,183,0.509202372954588,1.8297565453867566e-13,0.6081403100938669,6.841908376525984e-20,0.45712318313772543,1.8362912632981508e-15,0.4000675363778119,0.00010842954454277635,22.158760500328192,0.25928705662258344,0.2551947199188408,1.8297565453866753e-13,0.509202372954588,0.6081403100938669,0.45712318313772543
ALODY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,183,0.509202372954588,1.8297565453867566e-13,0.6081403100938669,6.841908376525984e-20,0.45712318313772543,1.8362912632981508e-15,0.4000675363778119,0.00010842954454277635,22.158760500328192,0.25928705662258344,0.2551947199188408,1.8297565453866753e-13,0.509202372954588,0.6081403100938669,0.45712318313772543
ALODY FP Equity_DX_SI_MV,0,183,0.4981494518239219,7.210199726579669e-13,0.6070358408654409,8.309294563677233e-20,0.4542669996156027,3.8458734883309065e-15,0.3555284866419688,97.23980803796955,22.224616322646582,0.24815287635247396,0.2439990248406091,7.210199726579516e-13,0.4981494518239219,0.6070358408654409,0.4542669996156027
ALODY FP Equity_DX_DEMAND_SUPPLY_RATIO,0,183,0.48955151044339384,2.0260285864225354e-12,0.48469857269356154,3.5845220675011155e-12,0.3687510925431986,2.4913539399849354e-10,0.30001438432671335,9.92154401323246,22.236109351479115,0.2396606813774086,0.23545991166126157,2.026028586422582e-12,0.48955151044339384,0.48469857269356154,0.3687510925431986
ALODY FP Equity_DX_UTILIZATION_QUANTITY,0,183,0.4793426991529461,6.659001347589493e-12,0.4805275258681295,5.811754653280087e-12,0.3584103568759546,8.784309080444672e-10,0.3201038656048658,0.14918898374180856,22.26963129436961,0.22976942323123217,0.22551400568002344,6.659001347589652e-12,0.4793426991529461,0.4805275258681295,0.3584103568759546
ALODY FP Equity_DX_SI_QTY,0,183,0.47820860912963997,7.581724131335416e-12,0.6044646291630656,1.3024192782441396e-19,0.4452371754206055,1.1366110761743933e-14,0.3913278886305649,0.003495675054336844,22.345654957361532,0.22868347384570487,0.22442205657413405,7.581724131335427e-12,0.47820860912963997,0.6044646291630656,0.4452371754206055
ALODY FP Equity_DX_BROKER_SI_QTY,0,183,0.47820860912963997,7.581724131335416e-12,0.6044646291630656,1.3024192782441396e-19,0.4452371754206055,1.1366110761743933e-14,0.3913278886305649,0.003495675054336844,22.345654957361532,0.22868347384570487,0.22442205657413405,7.581724131335427e-12,0.47820860912963997,0.6044646291630656,0.4452371754206055
ALODY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,183,0.4770525841900798,8.649763356797624e-12,0.6043240448057497,1.3346645230726046e-19,0.4450088917064401,1.2556609176173572e-14,0.39554907220053037,34.800339033995975,22.353225930128534,0.22757916808243306,0.2233116496740486,8.649763356797324e-12,0.4770525841900798,0.6043240448057497,0.4450088917064401
ALODY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,183,0.4770525841900798,8.649763356797624e-12,0.6043240448057497,1.3346645230726046e-19,0.4450088917064401,1.2556609176173572e-14,0.39554907220053037,34.800339033995975,22.353225930128534,0.22757916808243306,0.2233116496740486,8.649763356797324e-12,0.4770525841900798,0.6043240448057497,0.4450088917064401
ALODY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,183,0.46152776178280885,4.8445599143769875e-11,0.4309628806584193,1.1292803093304872e-09,0.3571885785593853,1.1561980972223716e-09,0.2622363190778718,0.36915897296326294,22.546484689099213,0.21300787489624928,0.20865985210562077,4.8445599143770347e-11,0.46152776178280885,0.4309628806584193,0.3571885785593853
ALODY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,183,0.46109708803238847,5.0755146304271703e-11,0.4871927308856445,2.6765131549630926e-12,0.38597710977451244,3.352276068264194e-11,0.41803372541840145,0.00015610637285348595,22.466146458322605,0.21261052459194807,0.20826030649577087,5.075514630427236e-11,0.46109708803238847,0.4871927308856445,0.38597710977451244
ALODY FP Equity_DX_SUPPLY_SI_MV,0,183,0.4599771204740852,5.7272390540447245e-11,0.4852138883372195,3.375238475030678e-12,0.37428917484986995,1.985678850019142e-10,0.3289062945213106,153.60152649710164,22.46430859995462,0.21157895135963112,0.2072230339638279,5.727239054044716e-11,0.4599771204740852,0.4852138883372195,0.37428917484986995
ALODY FP Equity_DX_SUPPLY_SI_QTY,0,183,0.4398794423826221,4.6533984666006164e-10,0.4843746013908689,3.722497855066659e-12,0.3704170347307009,2.811561200627334e-10,0.31476572799005353,0.005092012505055001,22.581942150241144,0.19349392383084663,0.18903808915587883,4.653398466600775e-10,0.4398794423826221,0.4843746013908689,0.3704170347307009
