feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALTRI FP Equity_DX_SHORT_INTEREST_VALUE,0,3998,0.39336442785154624,4.334235497985094e-148,0.3274079436457175,1.5699675603216567e-100,0.27328545623989514,3.666130772745875e-106,0.7598418071603446,8.41380065397008e-05,9.621777143325094,0.154735573098975,0.1545240454646155,4.334235497934232e-148,0.39336442785154624,0.3274079436457175,0.27328545623989514
ALTRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,3998,0.3895544011163941,4.98797205362252e-145,0.33668375134300355,1.5001800149274916e-106,0.27917676326244617,2.352191904431815e-108,0.5664143746761878,8.314497597177493e-05,9.65697112631643,0.15175263142915374,0.15154035731289484,4.987972053627729e-145,0.3895544011163941,0.33668375134300355,0.27917676326244617
ALTRI FP Equity_DX_SI_MV,0,3998,0.3863348363173954,1.7911554431876398e-142,0.32863644412534504,2.5740117946109132e-101,0.27039427742403627,2.618253292568234e-101,0.34165303915699274,60.23626247438984,9.63244190942333,0.14925460575238914,0.14904170650457949,1.7911554431886395e-142,0.3863348363173954,0.32863644412534504,0.27039427742403627
ALTRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,3998,0.33225856591680036,1.1859130532263703e-103,0.3140182081859434,3.321031538056249e-92,0.25694484266131934,1.0421501807938593e-87,0.19365445308039586,0.05311654676957664,9.60892325649256,0.110395754625089,0.11017313094006032,1.1859130532163476e-103,0.33225856591680036,0.3140182081859434,0.25694484266131934
ALTRI FP Equity_DX_BROKER_SI_CON_RATIO,0,3998,0.33225856591680036,1.1859130532263703e-103,0.3140182081859434,3.321031538056249e-92,0.25694484266131934,1.0421501807938593e-87,0.19365445308039586,5.311654676957668,9.608923256492556,0.11039575462508888,0.1101731309400602,1.1859130532115853e-103,0.33225856591680036,0.3140182081859434,0.25694484266131934
ALTRI FP Equity_DX_SI_QTY,0,3998,0.32071791383776765,2.563152723050436e-96,0.31583807464616664,2.5979963588703145e-93,0.2540322025062874,9.649348736561273e-90,0.3279238939936713,0.0010620919221448735,9.748961720681748,0.1028599802564496,0.1026354707419993,2.5631527230468607e-96,0.32071791383776765,0.31583807464616664,0.2540322025062874
ALTRI FP Equity_DX_BROKER_SI_QTY,0,3998,0.3162626174673037,1.4300832292328311e-93,0.32341978699226437,5.250576533604031e-98,0.2588906766485939,8.980235288081488e-91,0.2142018049050518,0.0010451829382906968,9.786913130079137,0.10002204320727004,0.09979682349836305,1.4300832292254212e-93,0.3162626174673037,0.32341978699226437,0.2588906766485939
ALTRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,3998,0.31461009901069026,1.4527982020160825e-92,0.31583807464616664,2.5979963588703145e-93,0.2540322025062874,9.649348736561273e-90,0.32784443402420704,39.27493556318953,9.766039443588282,0.09897951439951702,0.09875403379751502,1.4527982020164135e-92,0.31461009901069026,0.31583807464616664,0.2540322025062874
ALTRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,3998,0.2404193628990236,1.134847348494711e-53,0.3160322648710309,1.9774025181494424e-93,0.2503972258494004,1.873983382933942e-89,0.36625274120081786,0.5284652092637141,9.952680219476088,0.05780147005677194,0.05756568463886835,1.1348473484834698e-53,0.2404193628990236,0.3160322648710309,0.2503972258494004
ALTRI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,3998,0.22150471044972758,1.2577804651621851e-45,0.31332078356018694,8.776256415677406e-92,0.24931727279604168,2.807322952482738e-87,0.3398808419876498,5.94639745045415,9.991198862709238,0.0490643367514183,0.0488263648637185,1.257780465159694e-45,0.22150471044972758,0.31332078356018694,0.24931727279604168
ALTRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,3998,0.2201655011812327,4.38301247447816e-45,-0.0849515918868109,7.468727685005284e-08,-0.05637403399707477,3.4399613505249104e-06,1.1042542671485032,4.597040059095256e-05,9.991732288911654,0.04847284791038353,0.04823472800245332,4.3830124744686544e-45,0.2201655011812327,0.0849515918868109,0.05637403399707477
ALTRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,3998,0.2158458915096147,2.3233191929502194e-43,0.07311372919483969,3.697298913974901e-06,0.056117657052890874,7.696560622795216e-06,0.40924094571756275,44.06885680291178,10.022640187753105,0.046589448881580786,0.0463508576525723,2.323319192953159e-43,0.2158458915096147,0.07311372919483969,0.056117657052890874
ALTRI FP Equity_DX_DEMAND_SUPPLY_RATIO,0,3998,0.151135523148205,7.36048919099693e-22,0.12963817305844966,1.8851276503136272e-16,0.10669793963988596,8.920749579559892e-17,0.16740227256181606,12.924310601245349,10.184917011914683,0.02284194635728154,0.022597412309823484,7.360489191007607e-22,0.151135523148205,0.12963817305844966,0.10669793963988596
ALTRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,3998,0.14387989493333825,6.116748732920813e-20,-0.09505742240305574,1.7204403706022581e-09,-0.07512239753963175,8.393198400745248e-10,0.6367181778078626,0.00047101197845781045,10.076847239082062,0.02070142416602805,0.02045635445235594,6.116748732933864e-20,0.14387989493333825,0.09505742240305574,0.07512239753963175
