feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALTUV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,1859,0.39813261020374224,1.1868030080795408e-71,0.3633078759577522,4.21380599162152e-59,0.2721168890234486,4.816955032533461e-65,1.6229798156181294,1.0833723623529347e-05,3.444541296715382,0.15850957530764476,0.15805643022164984,1.1868030080794165e-71,0.39813261020374224,0.3633078759577522,0.2721168890234486
ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,1859,0.30870550862165375,2.458432591058311e-42,0.2850130714818623,4.430484810799361e-36,0.20412072283558924,1.8469116369247988e-34,0.9033049341251029,0.03396868803742541,3.588516398649892,0.09529909105335388,0.09481190693437336,2.458432591056416e-42,0.30870550862165375,0.2850130714818623,0.20412072283558924
ALTUV FP Equity_DX_SHORT_INTEREST_VALUE,0,1859,0.29733890882405434,2.9210784765553136e-39,0.2676437781083775,7.321410395776845e-32,0.2091552339086173,2.9347962704870496e-39,1.534709529358703,5.343415470378888e-06,3.585609588681674,0.08841042670067922,0.08791953301554223,2.9210784765533074e-39,0.29733890882405434,0.2676437781083775,0.2091552339086173
ALTUV FP Equity_DX_SI_MV,0,1859,0.29490338118900444,1.278277380286245e-38,0.26645268849810444,1.389082123140163e-31,0.2070071845381925,2.9877174816861818e-36,1.0023544863293377,5.292326643463801,3.5883179429148537,0.08696800423670725,0.08647633380280129,1.2782773802866944e-38,0.29490338118900444,0.26645268849810444,0.2070071845381925
ALTUV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,1859,0.29076980622040793,1.5152061517993311e-37,0.2599871249749429,4.245776284249949e-30,0.19924205527001998,3.3592747620483945e-35,1.2803046385235088,0.5433449316131245,3.671514879499333,0.08454708020945345,0.08405410610078856,1.515206151800034e-37,0.29076980622040793,0.2599871249749429,0.19924205527001998
ALTUV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,1859,-0.23367142392704912,1.7906148468660187e-24,-0.08188477350616909,0.00040914260321885955,-0.03782033547347093,0.018123606490688088,1.1309778719918082,-0.26599587004287123,4.17232596783201,0.05460233436009465,0.0540932349171005,1.7906148468666726e-24,0.23367142392704912,0.08188477350616909,0.03782033547347093
ALTUV FP Equity_DX_UTILIZATION_QUANTITY,0,1859,-0.2093978897783081,7.26160918800346e-20,-0.08240698751148397,0.0003754989530037898,-0.029377885321086174,0.06681135551693103,1.3535845876740216,-0.010921415463388696,4.261825717289484,0.0438474762436083,0.04333258527766504,7.261609188006753e-20,0.2093978897783081,0.08240698751148397,0.029377885321086174
ALTUV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,1859,0.1774944182378935,1.267969037748297e-14,0.216726352603691,3.3671812498621973e-21,0.16588859368217293,3.432783784199526e-25,1.5528090412554798,6.5065288305378745e-06,3.7201649883439356,0.03150426850560828,0.030982730685740423,1.2679690377481527e-14,0.1774944182378935,0.216726352603691,0.16588859368217293
ALTUV FP Equity_DX_SUPPLY_SI_MV,0,1859,0.17120448623828158,1.0725842651092564e-13,0.2088867822874292,8.958212926256534e-20,0.15928582186288281,1.1110779483506714e-21,0.8783623757657892,6.246254401432785,3.730021994208891,0.02931097610811384,0.028788257193793965,1.0725842651093506e-13,0.17120448623828158,0.2088867822874292,0.15928582186288281
ALTUV FP Equity_DX_SUPPLY_SI_QTY,0,1859,-0.16771045834763543,3.3939691434508293e-13,0.009757399396352494,0.6741726240297881,0.029815581514722002,0.06310598848431362,1.4033374446634763,-2.1113735126373355e-05,4.152013211831903,0.028126797839174267,0.02760344124134928,3.393969143451881e-13,0.16771045834763543,0.009757399396352494,0.029815581514722002
ALTUV FP Equity_DX_ACTIVE_UTILIZATION_MV,0,1859,0.1306312499927948,1.578896522419369e-08,0.15049824843409976,6.950857624314282e-11,0.1218590292019896,1.0831854413144097e-10,0.3201392169767401,0.004412335021590792,3.641115281249322,0.017064523474679794,0.01653520980934564,1.5788965224201937e-08,0.1306312499927948,0.15049824843409976,0.1218590292019896
ALTUV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,1859,0.13063044666550433,1.5792187553583012e-08,0.15049874802874144,6.949842609504565e-11,0.12186995362722793,1.0798287095913933e-10,0.3208550063600648,0.004412305532191409,3.6411174385790512,0.017064313596029,0.01653499981767459,1.579218755358982e-08,0.13063044666550433,0.15049874802874144,0.12186995362722793
ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,1859,-0.11682650104539383,4.3945197524673995e-07,-0.15609145542870403,1.3143536111921461e-11,-0.12790057665575041,2.851740794035669e-12,0.4126508860453695,-4.239234774496881e-06,4.023895254268651,0.013648431346509282,0.013117278105446495,4.3945197524723404e-07,0.11682650104539383,0.15609145542870403,0.12790057665575041
ALTUV FP Equity_DX_BROKER_SI_MV_INC_y,0,1859,0.10222444786983331,1.0048362960451199e-05,0.13189536123552364,1.1434891794142739e-08,0.10756860503542104,1.2425378159472556e-08,0.00402127622260795,41.15994101967483,3.928886850694731,0.010449837742292356,0.009916962049100198,1.0048362960449415e-05,0.10222444786983331,0.13189536123552364,0.10756860503542104
ALTUV FP Equity_DX_BROKER_SI_MV_INC_x,0,1859,0.10222444786983331,1.0048362960451199e-05,0.13189536123552364,1.1434891794142739e-08,0.10756860503542104,1.2425378159472556e-08,0.00402127622260795,41.15994101967483,3.928886850694731,0.010449837742292356,0.009916962049100198,1.0048362960449415e-05,0.10222444786983331,0.13189536123552364,0.10756860503542104
ALTUV FP Equity_DX_BROKER_SI_QTY_ADD,0,1859,-0.07791503261494641,0.0007731103671242588,-0.08988489794578802,0.00010413961120737253,-0.07249709159069749,0.0001119096891466739,0.00587783086577387,-6.082253961539438e-05,3.963014954525452,0.006070752307388183,0.005535518463719469,0.0007731103671243767,0.07791503261494641,0.08988489794578802,0.07249709159069749
ALTUV FP Equity_DX_SUPPLY_SI_QTY_DEC,0,1859,-0.07632281964484708,0.0009900640550795608,-0.06860369030025008,0.003082160993158461,-0.05427449769779931,0.0033423525523090577,0.024976585563238674,-5.6523902286505555e-05,3.9687340212483093,0.005825172798539446,0.0052898067095779044,0.0009900640550797272,0.07632281964484708,0.06860369030025008,0.05427449769779931
ALTUV FP Equity_DX_BROKER_SI_QTY_DEC,0,1859,-0.07224907473543216,0.0018265273657103937,-0.004713027453564345,0.8390788223045649,-0.0028530928341912115,0.8766790483421572,0.03874934614931025,-5.519904228917848e-05,3.96886254346997,0.005219928800125895,0.004684236785478579,0.0018265273657102547,0.07224907473543216,0.004713027453564345,0.0028530928341912115
