feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ALUVI FP Equity_DX_SUPPLY_SI_QTY,0,2096,-0.3122626555280543,1.2422204863153137e-48,-0.20415848548360166,3.6984027877701755e-21,-0.1569584294027281,8.650215474648356e-23,0.8719758802685487,-0.00042763504654351524,5.728252856225389,0.09750796603743239,0.09707697652742164,1.2422204863122192e-48,0.3122626555280543,0.20415848548360166,0.1569584294027281
ALUVI FP Equity_DX_DEMAND_SUPPLY_RATIO,0,2096,0.27173689219645836,8.404126609492887e-37,0.025174985151225373,0.24929702188853445,0.014253819772304933,0.37052639265042553,0.8403158125268764,0.3238974466553346,4.879708678457728,0.0738409385805896,0.07339864676520313,8.404126609490451e-37,0.27173689219645836,0.025174985151225373,0.014253819772304933
ALUVI FP Equity_DX_SI_QTY,0,2096,-0.2535836431720091,4.093537245462945e-32,-0.10604109579368357,1.1410375974130167e-06,-0.0838369370846287,1.0557123244140223e-07,0.9418770950310495,-0.00018876625813429922,5.659203710338645,0.06430466408438906,0.06385781817420977,4.093537245459112e-32,0.2535836431720091,0.10604109579368357,0.0838369370846287
ALUVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,2096,-0.2534373229990606,4.450370393220529e-32,-0.43908720453946015,1.6166661684424106e-99,-0.3531027071124926,2.144733260486667e-90,0.24565730906393535,-0.000502103901593283,5.460930982074652,0.06423047668893,0.06378359535019507,4.450370393217796e-32,0.2534373229990606,0.43908720453946015,0.3531027071124926
ALUVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,2096,-0.2529341938374325,5.929623573708173e-32,-0.4394526363601804,1.0650641103264393e-99,-0.3554569812099178,2.5011172613633146e-91,0.22287354175340668,-0.0012725727744611302,5.458616574385452,0.06397570641219186,0.06352870340665806,5.929623573712855e-32,0.2529341938374325,0.4394526363601804,0.3554569812099178
ALUVI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,2096,-0.24266209738490302,1.8075936805204496e-29,-0.16154305616416584,1.0046856353141527e-13,-0.10379719367969142,5.2607190393047166e-11,1.389468101058747,-0.00010114131628287358,5.671675951590299,0.05888489350724013,0.05843545935896277,1.8075936805228872e-29,0.24266209738490302,0.16154305616416584,0.10379719367969142
ALUVI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,2096,-0.23667398132879758,4.4924495726646005e-28,-0.1176795065353026,6.54684350197021e-08,-0.09306354701919776,4.410565094297129e-09,0.8590991467784597,-5.726734406497247,5.651006208053624,0.056014573438024184,0.05556376855427925,4.492449572667681e-28,0.23667398132879758,0.1176795065353026,0.09306354701919776
ALUVI FP Equity_DX_SUPPLY_SI_MV,0,2096,-0.23379851254424605,2.0364734733159297e-27,-0.2834862157964928,4.922974327184728e-40,-0.2233647100286858,3.7063786830327276e-38,0.2751944647755946,-86.68586402972936,5.598004330681304,0.05466174446790206,0.054210293534028176,2.0364734733162726e-27,0.23379851254424605,0.2834862157964928,0.2233647100286858
ALUVI FP Equity_DX_BROKER_SI_QTY,0,2096,-0.2129351953476901,6.454236114460347e-23,-0.08806643066837581,5.406842147743306e-05,-0.0678751418526533,1.6737020871744145e-05,0.9362736967322278,-0.0002843786501148691,5.639413636651086,0.04534139741775922,0.04488549550630638,6.454236114460476e-23,0.2129351953476901,0.08806643066837581,0.0678751418526533
ALUVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,2096,-0.211938923890237,1.0313591700289024e-22,-0.15716681254493287,4.616108713122057e-13,-0.13283402663572919,2.4647695576908466e-17,0.6750812447407073,-0.2470048339633817,5.458048101625009,0.044918107459751666,0.04446200340409734,1.031359170028564e-22,0.211938923890237,0.15716681254493287,0.13283402663572919
