feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
ANX FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,3938,0.7396415260000766,0.0,0.6488964126288943,0.0,0.5281458501644922,0.0,0.3829520036688465,1.1497747120352182,56.936878699623335,0.5470695869837221,0.5469545131999274,0.0,0.7396415260000766,0.6488964126288943,0.5281458501644922
ANX FP Equity_DX_ACTIVE_UTILIZATION_MV,0,3938,0.737854959752397,0.0,0.648739128995071,0.0,0.5276836845155861,0.0,0.3840346267629702,1.149183771886981,57.05226860670269,0.5444299416312117,0.5443141972058132,0.0,0.737854959752397,0.648739128995071,0.5276836845155861
ANX FP Equity_DX_UTILIZATION_QUANTITY,0,3938,0.5457782866592714,1.294235884568323e-304,0.6421008237636255,0.0,0.4946702083781251,0.0,0.5511242997458932,1.4959564548039885,67.46039078774834,0.2978739381887302,0.2976955525022944,1.29423588457019e-304,0.5457782866592714,0.6421008237636255,0.4946702083781251
ANX FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,3938,0.4182229136327554,1.4343103451701522e-166,0.6377632109482312,0.0,0.4878214004780543,0.0,0.5797843860145786,5.20869562882189e-05,73.12883709145714,0.1749104054874714,0.17470077906610137,1.4343103451647612e-166,0.4182229136327554,0.6377632109482312,0.4878214004780543
ANX FP Equity_DX_SUPPLY_SI_MV,0,3938,0.41669418573137024,3.0155095393736923e-165,0.6336497932123601,0.0,0.4853110900240839,0.0,0.5562341795703034,52.09400637599517,73.16391142510088,0.17363404442232988,0.17342409372223389,3.015509539367854e-165,0.41669418573137024,0.6336497932123601,0.4853110900240839
ANX FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,3938,0.4081983688147955,5.082455440690012e-158,0.3087932163984197,9.213027631517095e-88,0.23366923818378257,1.7173415713747283e-81,0.5406811066415966,0.5551194195563648,59.90786046484481,0.1666259083030599,0.16641417708057593,5.082455440690123e-158,0.4081983688147955,0.3087932163984197,0.23366923818378257
ANX FP Equity_DX_SUPPLY_SI_QTY,0,3938,0.40673252772165047,8.548100785878662e-157,0.6358135290230373,0.0,0.4817711295009762,0.0,0.5511233977870114,0.008633321459469136,72.91063486591,0.16543134910684343,0.1652193143886287,8.54810078590359e-157,0.40673252772165047,0.6358135290230373,0.4817711295009762
ANX FP Equity_DX_BROKER_SI_CON_RATIO,0,3938,0.3960622012936513,4.6912441898025714e-148,0.3076243375663582,4.430979650440884e-87,0.23334773350268873,4.219892592602541e-81,0.5353408623570688,54.4777014762409,60.7539833979866,0.15686526729357286,0.156651056233434,4.691244189803253e-148,0.3960622012936513,0.3076243375663582,0.23334773350268873
ANX FP Equity_DX_SI_MV,0,3938,0.29506153121386525,6.059264532640807e-80,0.30802544719046754,2.586926150542939e-87,0.225225884076612,9.854990778924717e-83,0.8842318649769507,17.03511984094255,73.23375277181516,0.08706130720227101,0.08682936139617403,6.059264532642984e-80,0.29506153121386525,0.30802544719046754,0.225225884076612
ANX FP Equity_DX_SUPPLY_SI_MV_DEC,0,3938,0.23657833501412837,3.1713300870309066e-51,0.2969301778881884,5.5388757031361885e-81,0.23932881715228002,1.9283635714892558e-77,0.06910966684364905,67.39717873322792,78.98401214578108,0.055969308598057044,0.055729463402070745,3.171330087027431e-51,0.23657833501412837,0.2969301778881884,0.23932881715228002
ANX FP Equity_DX_SUPPLY_SI_QTY_DEC,0,3938,0.22563987799188426,1.2214464995465543e-46,0.31880115777496304,9.90454110972841e-94,0.255528703179607,2.680489387643919e-88,0.0715510933423571,0.011037383286207625,79.02766217575244,0.050913354540192524,0.05067222480303302,1.2214464995446966e-46,0.22563987799188426,0.31880115777496304,0.255528703179607
ANX FP Equity_DX_SUPPLY_SI_QTY_INC_y,0,3938,0.18658596008865186,3.5050317370009194e-32,0.2572373024697279,1.5088262643469423e-60,0.20753330997381395,2.7126563514685832e-58,0.04606731401385411,0.012052806168650928,79.7935226503539,0.03481432050220412,0.03456910056330731,3.505031736997579e-32,0.18658596008865186,0.2572373024697279,0.20753330997381395
ANX FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,3938,0.18658596008865186,3.5050317370009194e-32,0.2572373024697279,1.5088262643469423e-60,0.20753330997381395,2.7126563514685832e-58,0.04606731401385411,0.012052806168650928,79.7935226503539,0.03481432050220412,0.03456910056330731,3.505031736997579e-32,0.18658596008865186,0.2572373024697279,0.20753330997381395
