feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
BLC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,5000,0.4771944813407809,8.518288236646112e-283,0.512110704428207,0.0,0.37280720781031046,1.3861937186473022e-297,0.8585430894727955,0.19735254074020236,17.31574085835626,0.22771457302209686,0.22756005412914415,8.5182882366659e-283,0.4771944813407809,0.512110704428207,0.37280720781031046
BLC FP Equity_DX_BROKER_SI_CON_RATIO,0,5000,0.43384616647953056,1.2528622473932151e-228,0.5084123293012595,0.0,0.37011281448944244,2.813517037605787e-293,0.8667838412207982,18.610397303798436,18.73845550172142,0.18822249616898457,0.1880600757000308,1.2528622473894548e-228,0.43384616647953056,0.5084123293012595,0.37011281448944244
BLC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,5000,0.34104155354626636,2.105793285228483e-136,0.5558327339753351,0.0,0.40820357220086256,1.4443460162448967e-304,0.610224151051779,0.11472536763672879,20.85897425191471,0.11630934124525072,0.11613253238995769,2.1057932852096535e-136,0.34104155354626636,0.5558327339753351,0.40820357220086256
BLC FP Equity_DX_ACTIVE_UTILIZATION_MV,0,5000,0.34103320129850706,2.140044929510574e-136,0.5558647940223149,0.0,0.40812382014557425,1.6195128075570263e-304,0.6116004045433827,0.11472179097475245,20.859187249415584,0.11630364438790808,0.11612683439278759,2.1400449295068065e-136,0.34103320129850706,0.5558647940223149,0.40812382014557425
BLC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,5000,0.26993020123820416,3.262969332531604e-84,0.44708799948706024,2.3769736483231183e-244,0.3131036944571625,3.6306156476020094e-200,0.6918942511592543,0.3131559096938737,22.611095353959655,0.0728623135404971,0.07267681180251007,3.2629693325422633e-84,0.26993020123820416,0.44708799948706024,0.3131036944571625
BLC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,5000,0.2571645710380892,2.413582034341844e-76,0.5601786268717589,0.0,0.3968221327905713,0.0,1.0725926686308211,1.4484535310151682e-05,23.4490807957216,0.06613361659720385,0.06594676858131698,2.413582034338851e-76,0.2571645710380892,0.5601786268717589,0.3968221327905713
BLC FP Equity_DX_SUPPLY_SI_MV,0,5000,0.25653087082345105,5.780665393003781e-76,0.5050368037707484,0.0,0.3669552847114972,7.704164368431838e-280,0.8097799768525626,14.430037870558545,23.45499286656442,0.06580808768543789,0.06562117453771588,5.780665393040398e-76,0.25653087082345105,0.5050368037707484,0.3669552847114972
BLC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,5000,0.2534845028278611,3.7208937036641894e-74,-0.19772364270499143,2.9731221578457615e-45,-0.12692822431813555,5.6864858404815215e-36,1.5417735111700068,4.588354456836984e-06,24.117066089229997,0.06425439317388781,0.06406716916291821,3.7208937036585074e-74,0.2534845028278611,0.19772364270499143,0.12692822431813555
BLC FP Equity_DX_SI_MV,0,5000,0.2517125784965228,4.08715466781866e-73,0.5236996812747319,0.0,0.38282626644267964,0.0,0.9134211453965131,11.715386903946927,23.422877735701036,0.06335922217336865,0.06317181905655667,4.0871546678047726e-73,0.2517125784965228,0.5236996812747319,0.38282626644267964
BLC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,5000,0.25055786700307764,1.928534552812813e-72,0.018005371977488412,0.20303333097554144,0.016315416082158,0.11979018734477805,1.0470213873709184,4.45675875981221,24.117495146661433,0.06277924471713203,0.06259172555841197,1.9285345528043517e-72,0.25055786700307764,0.018005371977488412,0.016315416082158
BLC FP Equity_DX_SHORT_INTEREST_VALUE,0,5000,0.24716668766204675,1.7535076262469808e-70,0.556212084256202,0.0,0.3998294633198377,0.0,1.1522251464140059,1.1719648796314029e-05,23.4767914051678,0.06109137148982746,0.06090351462137811,1.7535076262445097e-70,0.24716668766204675,0.556212084256202,0.3998294633198377
BLC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,5000,0.23774595553764039,3.3757563000040535e-65,0.5357821125690292,0.0,0.3847475120767322,0.0,1.1942254373454047,1.5849814053987265e-05,23.75466174826714,0.05652313937450559,0.056334368494028286,3.3757563000040274e-65,0.23774595553764039,0.5357821125690292,0.3847475120767322
BLC FP Equity_DX_UTILIZATION_QUANTITY,0,5000,0.15488580055064682,3.2039845757530507e-28,0.5159382655984959,0.0,0.34792461045480566,4.4931504641341205e-261,1.0255326346658564,0.17218067577800505,24.34167978492433,0.023989611212214657,0.023794331022381154,3.203984575745371e-28,0.15488580055064682,0.5159382655984959,0.34792461045480566
