feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
C5E FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4118,0.4180813840471149,5.759827695322752e-174,0.455335115749109,5.862333311673675e-210,0.3866673716041909,8.362489286685284e-237,0.8483878449085045,1.5027274599079185e-06,66.25142856322846,0.17479204368675116,0.17459155584508124,5.75982769534056e-174,0.4180813840471149,0.455335115749109,0.3866673716041909
C5E FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4118,0.4175285549289845,1.8246410485770355e-173,0.388316762165722,2.618605211123373e-148,0.325572376904818,1.1971795476827698e-161,0.7206395706383304,1.501976576951702,66.256227149359,0.17433009418108603,0.17412949410678602,1.8246410485640585e-173,0.4175285549289845,0.388316762165722,0.325572376904818
C5E FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,4118,0.2533881965746131,2.391862764517052e-61,0.438541886811751,3.5635556237033616e-193,0.37191412201131696,6.23487417576592e-218,0.6146023577895374,8.383150692490425e-05,67.62240727725917,0.0642055781633345,0.06397822286162491,2.3918627645184405e-61,0.2533881965746131,0.438541886811751,0.37191412201131696
C5E FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4118,0.2506895827934485,4.804436269996266e-60,0.3057277324385997,7.968899252982223e-90,0.2439237010391609,4.784474276247526e-86,0.2913872343981436,0.2673410712419669,68.23137595612484,0.06284526692115344,0.06261758112594473,4.804436269990231e-60,0.2506895827934485,0.3057277324385997,0.2439237010391609
C5E FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4118,0.24990884427028323,1.1367251975616105e-59,0.30566315893016277,8.717923126192549e-90,0.2438868497511751,5.1406246037664944e-86,0.2992055686800148,0.26656106658969514,68.23869098025197,0.062454430444509046,0.062226649693888136,1.1367251975621183e-59,0.24990884427028323,0.30566315893016277,0.2438868497511751
C5E FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4118,-0.24537776902147207,1.586350879769433e-57,-0.2511403501046705,2.9181240453867415e-60,-0.19160883386782784,7.714110799263966e-61,0.7195836305281063,-2.410840787327185,71.55347305330264,0.060210249529954796,0.059981923545875615,1.5863508797794133e-57,0.24537776902147207,0.2511403501046705,0.19160883386782784
C5E FP Equity_DX_SUPPLY_SI_MV,0,4118,0.24189492967765938,6.593346484048646e-56,0.2943588372700407,4.158467463278097e-83,0.23645591055683457,8.705766072461807e-82,0.3493876233224067,9.442455202381323,68.92237372621805,0.0585131570037597,0.05828441870371204,6.593346484035532e-56,0.24189492967765938,0.2943588372700407,0.23645591055683457
C5E FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4118,0.24032794618801204,3.459089909965641e-55,0.2974241141521775,6.880057741353287e-85,0.2393999643445044,5.049870442907186e-84,0.3908912118061052,9.581461101758301e-06,68.92545450849731,0.05775752171894766,0.057528599834039684,3.459089909971462e-55,0.24032794618801204,0.2974241141521775,0.2393999643445044
C5E FP Equity_DX_SUPPLY_SI_QTY,0,4118,0.21312979217163755,1.6352582537917003e-43,0.2949317419928488,1.939369906090226e-83,0.23627725112251474,1.1989060615863702e-81,0.3508119649727506,0.00096453428316291,68.91694055081287,0.045424308311125317,0.045192390018683914,1.6352582537954108e-43,0.21312979217163755,0.2949317419928488,0.23627725112251474
C5E FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4118,0.20681673434812417,5.074077227299956e-41,0.16300086233187228,6.463859563961916e-26,0.12732964697114096,1.1197564040937443e-24,0.258166724513488,0.46476627553391653,68.33827467370789,0.042773161606422416,0.042540599206423946,5.074077227298364e-41,0.20681673434812417,0.16300086233187228,0.12732964697114096
