feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,5000,0.7259362859949274,0.0,0.6689182045267784,0.0,0.5313500795062628,0.0,1.3505145651667867,0.06693805341640977,43.164924008133575,0.5269834913241087,0.5268888501659102,0.0,0.7259362859949274,0.6689182045267784,0.5313500795062628
CAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,5000,0.7254303556605103,0.0,0.6730084686830885,0.0,0.5364589068075608,0.0,1.3806642683439092,6.682091936244776e-08,43.246561170281964,0.5262492009137345,0.5261544128386872,0.0,0.7254303556605103,0.6730084686830885,0.5364589068075608
CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,5000,0.721805489200523,0.0,0.6448950545799572,0.0,0.49722027060911944,0.0,1.1822261399323386,4.965796848913055e-06,42.35712563797514,0.5210031642400063,0.5209073265377734,0.0,0.721805489200523,0.6448950545799572,0.49722027060911944
CAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,5000,0.5506387465634724,0.0,0.5458929508032184,0.0,0.38710663825191755,0.0,0.6908643078872418,1.5076077390715827,45.45927146083929,0.3032030292169917,0.30306361405677107,0.0,0.5506387465634724,0.5458929508032184,0.38710663825191755
CAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,5000,0.4544811942741657,1.948705021573078e-253,0.5639072886825178,0.0,0.3941452796335813,0.0,0.8066756138190372,2.9934099106857634e-07,46.22324279847819,0.20655315594887202,0.20639440307891388,1.9487050215705593e-253,0.4544811942741657,0.5639072886825178,0.3941452796335813
CAC FP Equity_DX_SUPPLY_SI_MV,0,5000,0.45173017447386493,4.977877852105051e-250,0.5316529887818098,0.0,0.36914791055428714,0.0,0.7943554753561171,0.2987777127898269,46.074889785342606,0.20406015053018844,0.20390089885962626,4.977877852095089e-250,0.45173017447386493,0.5316529887818098,0.36914791055428714
CAC FP Equity_DX_SHORT_INTEREST_VALUE,0,5000,0.36943766933400524,1.6745285534957423e-161,0.22758898482465315,9.34319023802001e-60,0.14615382512122785,3.8920892157269124e-54,0.7161426732760514,2.2363544407002443e-07,45.44346669153361,0.13648419152294156,0.13631141925233792,1.674528553497012e-161,0.36943766933400524,0.22758898482465315,0.14615382512122785
CAC FP Equity_DX_SUPPLY_SI_QTY,0,5000,0.36829686262546774,1.916415151657667e-160,0.41276781974730437,5.2373756514451695e-205,0.27972277653360655,5.453301776744635e-193,0.7688745905023944,1.624507345943502e-05,46.40422545516546,0.13564257901976273,0.13546963835930248,1.9164151516545517e-160,0.36829686262546774,0.41276781974730437,0.27972277653360655
CAC FP Equity_DX_DEMAND_SUPPLY_RATIO,0,5000,-0.3430730168622266,4.099020524037462e-138,-0.5941909931573699,0.0,-0.40879206103495347,0.0,0.876558962015447,-3.490794720284553,52.98467776315724,0.11769909489894959,0.11752256410561202,4.0990205240501025e-138,0.3430730168622266,0.5941909931573699,0.40879206103495347
CAC FP Equity_DX_SI_MV,0,5000,0.32833313253665763,5.462054660936689e-126,0.17734450980555258,1.314784041543211e-36,0.10960273539600937,3.3983214611865143e-31,0.6987268056150979,0.18597212485195688,45.72242347624972,0.10780264592133426,0.10762413504616852,5.462054660937422e-126,0.32833313253665763,0.17734450980555258,0.10960273539600937
CAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,5000,-0.3087583707623533,6.745057463689795e-111,-0.36328202134360715,7.677589996613347e-156,-0.24255574448161427,8.472759891821446e-143,0.6950906462198363,-0.11657080159135808,54.441967516785354,0.09533173151582286,0.0951507254597036,6.74505746368033e-111,0.3087583707623533,0.36328202134360715,0.24255574448161427
CAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,5000,0.2711529946045022,5.456077763574413e-85,0.08569575690189822,1.2850340651282207e-09,0.03722030092519549,8.475671552692517e-05,0.7067673715976825,5.169621443882306,46.29522519223843,0.07352394648298899,0.07333857712454228,5.456077763582679e-85,0.2711529946045022,0.08569575690189822,0.03722030092519549
CAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,5000,0.2687733179983255,1.7569415316789364e-83,0.09527436596822732,1.472443992205288e-11,0.04982897463933037,1.27815400027527e-07,0.801361557508236,2.2131324386642902e-07,46.87313462185159,0.07223909646782889,0.07205347003654994,1.7569415316795948e-83,0.2687733179983255,0.09527436596822732,0.04982897463933037
CAC FP Equity_DX_ACTIVE_UTILIZATION_MV,0,5000,-0.26663498395940216,3.860763068471062e-82,-0.36216843713430674,7.873135348567982e-155,-0.24166025593090604,9.091123355201654e-142,0.664145878613891,-0.08726206533229774,53.40214385099171,0.07109421467103039,0.07090835917176497,3.860763068480755e-82,0.26663498395940216,0.36216843713430674,0.24166025593090604
CAC FP Equity_DX_UTILIZATION_QUANTITY,0,5000,-0.2017935176704389,4.2307190262424387e-47,-0.22375474914880097,9.052902053280354e-58,-0.14178593605453693,5.379283847281394e-51,0.7727470564501084,-0.16480545462341606,52.8625322367198,0.04072062377380958,0.040528691125505056,4.230719026243814e-47,0.2017935176704389,0.22375474914880097,0.14178593605453693
CAC FP Equity_DX_SUPPLY_SI_MV_DEC,0,5000,0.12971224296850997,3.30176933844392e-20,0.28002627279010217,9.519237293256876e-91,0.21186776910019853,1.2990939855867056e-87,0.0563872620533874,0.712834221985565,49.66989132345796,0.01682526597592171,0.016628552343664005,3.301769338445091e-20,0.12971224296850997,0.28002627279010217,0.21186776910019853
CAC FP Equity_DX_DSS,0,5000,-0.11960986597453417,2.137616603764328e-17,-0.13439219660737092,1.3754494410735787e-21,-0.10976910868337139,2.058714529747091e-21,0.03785425283937616,-9.905906136282333,50.42279962740638,0.014306520038446013,0.014109302455420525,2.1376166037608207e-17,0.11960986597453417,0.13439219660737092,0.10976910868337139
CAC FP Equity_DX_SI_QTY,0,5000,0.10359475385656079,2.0856576204764736e-13,-0.01943979325726454,0.16932152716145396,-0.027180992367140746,0.003965620969565444,0.7032793724671418,3.631505000865457e-06,48.475365954477326,0.010731873026601613,0.010533940228087513,2.085657620476302e-13,0.10359475385656079,0.01943979325726454,0.027180992367140746
CAC FP Equity_DX_SUPPLY_SI_QTY_DEC,0,5000,0.08510760613446383,1.6656690021903401e-09,0.2933735240964541,8.089992523339857e-100,0.2195508427151808,2.439118884813749e-95,0.08122492222691324,2.721963205042156e-05,49.79934180774177,0.007243304621938895,0.007044673830546744,1.6656690021905324e-09,0.08510760613446383,0.2933735240964541,0.2195508427151808
CAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,0,5000,0.07629096623372053,6.622990503161094e-08,0.24827442233407956,4.049528942596797e-71,0.1892870068314683,1.7843187057540656e-68,0.04286877773695563,2.272114810195152e-05,49.88536425722973,0.005820311528874855,0.005621396024979131,6.622990503163044e-08,0.07629096623372053,0.24827442233407956,0.1892870068314683
CAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,5000,0.07629096623372053,6.622990503161094e-08,0.24827442233407956,4.049528942596797e-71,0.1892870068314683,1.7843187057540656e-68,0.04286877773695563,2.272114810195152e-05,49.88536425722973,0.005820311528874855,0.005621396024979131,6.622990503163044e-08,0.07629096623372053,0.24827442233407956,0.1892870068314683
CAC FP Equity_DX_BROKER_SI_CON_RATIO,0,5000,0.07522870100743798,1.0057050573255135e-07,0.1196970216994753,2.0260812942404388e-17,0.07678067678034295,4.0238563769936227e-16,0.5713839207438145,5.948876754685935,47.64319129812799,0.005659357455266245,0.005460409747674255,1.0057050573255495e-07,0.07522870100743798,0.1196970216994753,0.07678067678034295
CAC FP Equity_DX_BROKER_SI_MV_DEC,0,5000,0.06077662550439517,1.704458595308878e-05,0.0634544373446117,7.111963931018248e-06,0.0472958682639867,7.2501092034275906e-06,0.03672347936482767,0.3459083433415887,49.85095460952544,0.0036937982077013265,0.003494457230952208,1.704458595309336e-05,0.06077662550439517,0.0634544373446117,0.0472958682639867
CAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,5000,0.056148740715416055,7.113515576436716e-05,0.10425160033309852,1.468266671358141e-13,0.06735600995253525,9.394949602061366e-13,0.5633625921745695,0.04473582472026938,47.68522806985429,0.003152681083927189,0.002953231840446602,7.113515576435149e-05,0.056148740715416055,0.10425160033309852,0.06735600995253525
CAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,5000,0.038863426662929815,0.005988499797235297,-0.0011990674731056782,0.9324476584691199,-0.0056166904314488494,0.5516600962001359,0.5313077601965928,0.05931037838953815,48.74709986192608,0.0015103659319848362,0.0013105880940360581,0.005988499797235468,0.038863426662929815,0.0011990674731056782,0.0056166904314488494
CAC FP Equity_DX_BROKER_SI_MV_INC_y,0,5000,0.027974283369218905,0.04793174864255007,0.06024580888343845,2.0185491048315952e-05,0.04650802275862238,1.8458960801693436e-05,0.04559866939862989,0.1719973466177746,50.00825028598063,0.0007825605300214589,0.0005826370727445296,0.047931748642557205,0.027974283369218905,0.06024580888343845,0.04650802275862238
CAC FP Equity_DX_BROKER_SI_MV_INC_x,0,5000,0.027974283369218905,0.04793174864255007,0.06024580888343845,2.0185491048315952e-05,0.04650802275862238,1.8458960801693436e-05,0.04559866939862989,0.1719973466177746,50.00825028598063,0.0007825605300214589,0.0005826370727445296,0.047931748642557205,0.027974283369218905,0.06024580888343845,0.04650802275862238
CAC FP Equity_DX_BROKER_SI_MV_ADD,0,5000,0.020380583627838636,0.14960891985725627,-0.006010213199621303,0.6709213633911726,-0.004633637606099656,0.680153181130664,0.0165484612139013,0.16355789772118418,50.05073394129935,0.0004153681890116667,0.00021537126387949357,0.14960891985725688,0.020380583627838636,0.006010213199621303,0.004633637606099656
CAC FP Equity_DX_BROKER_SI_QTY_ADD,0,5000,-0.019837354981043172,0.1607659604921528,-0.010898582100817742,0.44101739204073753,-0.00851850202485708,0.4484863046283559,0.015933993192890794,-9.035766819451973e-06,50.130317333012556,0.0003935206526437529,0.00019351935625577799,0.16076596049216643,0.019837354981043172,0.010898582100817742,0.00851850202485708
CAC FP Equity_DX_BROKER_SI_QTY_INC,0,5000,-0.016429522006909107,0.2454262013647089,0.04951479432036395,0.00046091788261677614,0.038459011775614865,0.0003884252822552142,0.0524838601612414,-5.631856690595954e-06,50.138570260164045,0.0002699291933756509,6.99031688045082e-05,0.24542620136470292,0.016429522006909107,0.04951479432036395,0.038459011775614865
CAC FP Equity_DX_SUPPLY_SI_MV_RMV,0,5000,0.014149171648004881,0.3171665870286112,0.012077096761660895,0.39321730134360866,0.009859636716118383,0.3931059864007811,0.0011658278118243937,0.5602190134672371,50.080512280550494,0.00020019905832469043,1.5908214590076852e-07,0.3171665870285839,0.014149171648004881,0.012077096761660895,0.009859636716118383
CAC FP Equity_DX_SUPPLY_SI_MV_NEW,0,5000,0.013989970536356464,0.3226429050478464,0.019150857457006048,0.17575051342770717,0.01563182125506592,0.17573083624182906,0.0018562465268414652,0.5475412670959745,50.07995523518946,0.00019571927560779745,-4.321596886125434e-06,0.32264290504779003,0.013989970536356464,0.019150857457006048,0.01563182125506592
CAC FP Equity_DX_BROKER_SI_QTY,0,5000,-0.013124389525924814,0.3534893235099965,-0.13683684622093742,2.498465605966147e-22,-0.10728489734544834,5.9714719608244624e-30,0.8258911758970369,-5.449020136062029e-07,50.267261067110084,0.00017224960042760973,-2.779596787960692e-05,0.3534893235099922,0.013124389525924814,0.13683684622093742,0.10728489734544834
CAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,0,5000,0.011674489487291337,0.40918268054231616,0.012075645374404165,0.3932741699397332,0.00985741557696179,0.39321259181369406,0.0010847457693214935,2.4906574989562756e-05,50.081889281395,0.00013629370478884795,-6.375905757516342e-05,0.40918268054235574,0.011674489487291337,0.012075645374404165,0.00985741557696179
CAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,0,5000,0.0116507355913132,0.4101365332826867,0.019146817026028384,0.17584168808828674,0.01562539985786406,0.1759083524666687,0.0016398087959816898,2.4473192974754273e-05,50.0814066129437,0.0001357396398186106,-6.431323340261308e-05,0.4101365332826944,0.0116507355913132,0.019146817026028384,0.01562539985786406
CAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,0,5000,0.0116507355913132,0.4101365332826867,0.019146817026028384,0.17584168808828674,0.01562539985786406,0.1759083524666687,0.0016398087959816898,2.4473192974754273e-05,50.0814066129437,0.0001357396398186106,-6.431323340261308e-05,0.4101365332826944,0.0116507355913132,0.019146817026028384,0.01562539985786406
CAC FP Equity_DX_BROKER_SI_QTY_DEC,0,5000,-0.010263737752976107,0.46808800278601304,0.042453523072111324,0.002677539958852188,0.031923729458829354,0.0023826799933573464,0.04060638801225469,-3.0741670652419977e-06,50.130203624387434,0.00010534431266218114,-9.471464205712543e-05,0.46808800278607954,0.010263737752976107,0.042453523072111324,0.031923729458829354
CAC FP Equity_DX_SUPPLY_SI_QTY_ADD,0,5000,0.005855719756367351,0.6789019832920993,0.07699582513539047,5.0042603226643063e-08,0.06180076898911532,5.040165614891461e-08,0.011190857215206185,6.567554350403922e-06,50.078241401858335,3.428945386485527e-05,-0.00016578371751285736,0.67890198329209,0.005855719756367351,0.07699582513539047,0.06180076898911532
