feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EMSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,1713,0.23224566322144466,2.0614049632639658e-22,0.20293679776797213,2.2230857842490688e-17,0.15319059076733055,2.5592032101155625e-17,0.6626089751104005,0.3449669329836301,48.209551694586374,0.05393804808516878,0.05338511883215025,2.0614049632701376e-22,0.23224566322144466,0.20293679776797213,0.15319059076733055
EMSRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,1713,0.23218165057374238,2.118145017801853e-22,0.20339974716004885,1.8753932033671575e-17,0.1557024320237135,7.570414367470162e-18,0.7895403790027131,3.4507160834898257e-07,48.20918885927874,0.053908318863147286,0.05335537223477982,2.118145017800939e-22,0.23218165057374238,0.20339974716004885,0.1557024320237135
EMSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,1713,0.211629915485045,8.512985030935873e-19,0.18518970270150964,1.1095149261033045e-14,0.1326564740358821,2.8060153073487596e-13,0.5350980069665392,1.71363311328905e-05,48.26699582319404,0.04478722112820743,0.04422894364201713,8.512985030939296e-19,0.211629915485045,0.18518970270150964,0.1326564740358821
EMSRI FP Equity_DX_ACTIVE_UTILIZATION_MV,0,1713,0.19344272666344467,6.646345035574649e-16,0.2831147626400611,6.1479173045393026e-33,0.22615726743472087,1.2415181654438895e-31,0.14763055166566197,0.034687629864528044,48.26217286099331,0.03742008849898815,0.03685750526608289,6.646345035585668e-16,0.19344272666344467,0.2831147626400611,0.22615726743472087
EMSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,1713,0.193359386936986,6.842375378517207e-16,0.2830849847312871,6.245728260823493e-33,0.22607774809393222,1.3087882792177837e-31,0.1440176988110451,0.03468098477190284,48.263420995280654,0.037387852516647224,0.03682525044330809,6.842375378533008e-16,0.193359386936986,0.2830849847312871,0.22607774809393222
EMSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,1713,0.12498882363942303,2.1066203408322904e-07,0.25080183766539516,5.552303513550292e-26,0.19619711385921232,1.3528027533203706e-26,0.2598863554733635,0.020136393136723385,48.13493201068685,0.015622206034766828,0.015046882952379215,2.1066203408294618e-07,0.12498882363942303,0.25080183766539516,0.19619711385921232
EMSRI FP Equity_DX_BROKER_SI_CON_RATIO,0,1713,0.124170960773099,2.530228305522376e-07,0.2476020031271828,2.4083457915836203e-25,0.193595184693323,6.15011824601211e-26,0.2837462959715391,2.0138286679975685,48.1552266423798,0.015418427499314658,0.01484298531784145,2.5302283055222617e-07,0.124170960773099,0.2476020031271828,0.193595184693323
EMSRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,1713,0.03891360895318056,0.10739647697299584,0.19726398491065034,1.728281206096301e-16,0.1615177559669227,6.634460771554426e-21,0.5921854137437323,4.2514713913555774e-07,49.06460966985848,0.0015142689617609895,0.0009307004456662327,0.10739647697300857,0.03891360895318056,0.19726398491065034,0.1615177559669227
EMSRI FP Equity_DX_SI_MV,0,1713,0.03507424332708106,0.1467648920751977,0.22002106902362084,3.1775108519586445e-20,0.16277877796185292,2.2024836089144614e-20,0.5240112649851856,0.3148304787559071,49.07122917085461,0.001230202544967196,0.0006464680052506999,0.14676489207517437,0.03507424332708106,0.22002106902362084,0.16277877796185292
EMSRI FP Equity_DX_SHORT_INTEREST_VALUE,0,1713,0.03489871997442036,0.14879868738282648,0.23313329376914904,1.413442064521567e-22,0.19213692679165773,5.951217019794395e-29,0.5625282417384878,3.193337984911745e-07,49.071264518538705,0.001217920655853022,0.0006341789379430418,0.14879868738281454,0.03489871997442036,0.23313329376914904,0.19213692679165773
