feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EPAB FP Equity_DX_ACTIVE_UTILIZATION_MV,0,1336,0.24645542287919237,6.176112592653502e-20,0.2943240231697566,4.164268448326852e-28,0.24046553440661284,5.680239008337645e-27,0.10101819705122561,0.04066360373129432,26.00286040609138,0.060740275466561466,0.060036182719534814,6.176112592649719e-20,0.24645542287919237,0.2943240231697566,0.24046553440661284
EPAB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,1336,0.24645542287919237,6.176112592653502e-20,0.2943240231697566,4.164268448326852e-28,0.24046553440661284,5.680239008337645e-27,0.10101819705122561,0.04066360373129432,26.00286040609138,0.060740275466561466,0.060036182719534814,6.176112592649719e-20,0.24645542287919237,0.2943240231697566,0.24046553440661284
EPAB FP Equity_DX_UTILIZATION_QUANTITY,0,1336,0.2270653297007077,4.39874531192183e-17,0.29002789825856107,2.635774366661666e-27,0.23189528455638156,1.648392949380579e-26,0.20725627383990952,0.04631143924739282,26.085795607151542,0.05155866395209108,0.05084768843781218,4.398745311925682e-17,0.2270653297007077,0.29002789825856107,0.23189528455638156
EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,1336,0.20352118398392108,5.879001189631772e-14,0.1990321708357097,2.1097268429045809e-13,0.16264972973153058,2.6622200809227107e-13,0.04023498203167564,0.17696109063398524,26.32832856498048,0.04142087233021707,0.040702297271993704,5.879001189634675e-14,0.20352118398392108,0.1990321708357097,0.16264972973153058
EPAB FP Equity_DX_DEMAND_SUPPLY_RATIO,0,1336,0.18912874138666155,3.1823331775842504e-12,0.24355642466299574,1.7120149497084677e-19,0.19522721344216407,2.1833520223678162e-19,0.21875509331585885,2.238880345971058,26.155375722956606,0.035769680818502514,0.035046869484783194,3.1823331775813383e-12,0.18912874138666155,0.24355642466299574,0.19522721344216407
EPAB FP Equity_DX_SUPPLY_SI_MV,0,1336,0.18459109046558506,1.0516937738395192e-11,0.2853397650067605,1.9043147553517892e-26,0.2296131783347997,1.2533151308438628e-25,0.16993829578656028,19.60682331263073,26.240591018756888,0.03407387067927381,0.03334978812356104,1.0516937738397542e-11,0.18459109046558506,0.2853397650067605,0.2296131783347997
EPAB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,1336,0.18277208145880522,1.684020231866098e-11,0.2942970990802166,4.213120990020694e-28,0.2390153890584548,3.753315200059365e-28,0.2471166413119592,1.945231624947262e-05,26.243315346916397,0.03340563376078409,0.03268105027784607,1.6840202318673596e-11,0.18277208145880522,0.2942970990802166,0.2390153890584548
EPAB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,1336,0.18094668644585346,2.688004242570565e-11,0.23825786557260664,1.0663815527390342e-18,0.1898523384411252,1.040644432468446e-17,0.12110270093435482,0.02994772392271547,26.112169159217256,0.03274170333573401,0.03201662215382661,2.688004242570383e-11,0.18094668644585346,0.23825786557260664,0.1898523384411252
EPAB FP Equity_DX_BROKER_SI_CON_RATIO,0,1336,0.17974183515726752,3.650297314665974e-11,0.2382637154307543,1.064256069055813e-18,0.18995780335912443,1.0121872153008045e-17,0.11410643440430013,2.983695087720214,26.11510971092308,0.03230712730570218,0.031581720354656895,3.6502973146640854e-11,0.17974183515726752,0.2382637154307543,0.18995780335912443
EPAB FP Equity_DX_SUPPLY_SI_QTY,0,1336,0.16227312534661462,2.4414567620720726e-09,0.29342302324250724,6.148202975286498e-28,0.2365445268616491,1.794074846829811e-27,0.211174963645405,0.0005258297222496156,26.26610189955081,0.026332567209758517,0.025602681577981623,2.441456762071619e-09,0.16227312534661462,0.29342302324250724,0.2365445268616491
EPAB FP Equity_DX_SI_MV,0,1336,0.145711336458768,8.818141430411068e-08,0.22868460020541825,2.5992179790700254e-17,0.18382181508582876,3.8703605484964546e-17,0.17488699672830266,7.552668358113778,26.284692952156263,0.0212317935726003,0.020498084272429717,8.818141430414216e-08,0.145711336458768,0.22868460020541825,0.18382181508582876
EPAB FP Equity_DX_SHORT_INTEREST_VALUE,0,1336,0.14527545659980373,9.641274458062084e-08,0.24241564944420543,2.547800478842016e-19,0.19673723697883203,1.038026928139287e-19,0.21574918289224332,7.5469522709322e-06,26.285334057254836,0.02110495829028125,0.020371153911188378,9.641274458055924e-08,0.14527545659980373,0.24241564944420543,0.19673723697883203
EPAB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,1336,0.11889214649718563,1.3182059064932221e-05,0.23071466200135032,1.3363052204266285e-17,0.1875782431735368,4.984604524163517e-18,0.22552905861393469,1.1097981858960871e-05,26.315389498348544,0.014135342498708514,0.013396313520071756,1.3182059064928997e-05,0.11889214649718563,0.23071466200135032,0.1875782431735368
EPAB FP Equity_DX_SI_QTY,0,1336,0.11587801174067952,2.1777460988919992e-05,0.24002933708297125,5.813719002175426e-19,0.19357896886387507,4.555137444029754e-19,0.20592537545967238,0.00017784133608286123,26.319869746644393,0.013427713604972857,0.012688154169893995,2.1777460988924413e-05,0.11587801174067952,0.24002933708297125,0.19357896886387507
EPAB FP Equity_DX_SUPPLY_SI_MV_DEC,0,1336,0.11379792584953913,3.0577493878137336e-05,0.1434559689364595,1.3953658341429828e-07,0.11687241031019868,1.532172397932033e-07,0.011735002567548669,19.793688097329166,26.402398560318453,0.012949967927657124,0.012210050362385427,3.057749387815446e-05,0.11379792584953913,0.1434559689364595,0.11687241031019868
EPAB FP Equity_DX_BROKER_SI_MV_INC_y,0,1336,0.11361243877019556,3.1508241738930736e-05,0.11429711906150042,2.820051234970428e-05,0.09322328557731759,2.980481107473071e-05,0.0,74.83151625408354,26.42565805140095,0.012907786243311237,0.012167837057586506,3.150824173893655e-05,0.11361243877019556,0.11429711906150042,0.09322328557731759
EPAB FP Equity_DX_BROKER_SI_MV_INC_x,0,1336,0.11361243877019556,3.1508241738930736e-05,0.11429711906150042,2.820051234970428e-05,0.09322328557731759,2.980481107473071e-05,0.0,74.83151625408354,26.42565805140095,0.012907786243311237,0.012167837057586506,3.150824173893655e-05,0.11361243877019556,0.11429711906150042,0.09322328557731759
