feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
EUSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,1798,0.37508929109262057,3.671228089226231e-61,0.5585512604739955,4.9336035020488235e-148,0.4285229317856122,2.7310763698253577e-134,0.54138653064375,0.12009952188606401,62.81762682219809,0.14069197629236474,0.14021351970900864,3.67122808921815e-61,0.37508929109262057,0.5585512604739955,0.4285229317856122
EUSRI FP Equity_DX_ACTIVE_UTILIZATION_MV,0,1798,0.3750146746209051,3.893124330045549e-61,0.5587549420590131,3.664266422564696e-148,0.4285731029968919,1.784231561602436e-134,0.5389630808564139,0.12012947184484958,62.8197875311244,0.14063600618102345,0.14015751843390822,3.893124330051991e-61,0.3750146746209051,0.5587549420590131,0.4285731029968919
EUSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,1798,0.36505089912350563,8.590581625131175e-58,0.43298761891214943,4.666836262383814e-83,0.3049688767160104,1.514331928795646e-72,0.5692780333980751,0.12664641980311087,61.15889709737126,0.13326215895087978,0.13277956549817982,8.590581625104635e-58,0.36505089912350563,0.43298761891214943,0.3049688767160104
EUSRI FP Equity_DX_BROKER_SI_CON_RATIO,0,1798,0.34735405662904334,3.866623420852059e-52,0.4388806273803303,1.54610463414115e-85,0.3101317661707728,9.389876641668519e-75,0.5713860898868912,12.396148384327699,61.6261593802114,0.12065484065665277,0.12016522753897829,3.866623420842306e-52,0.34735405662904334,0.4388806273803303,0.3101317661707728
EUSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,1798,0.31340129254040483,2.8616303461310886e-42,0.43205989824908797,1.1348944597613432e-82,0.31823107846154103,7.323543155580634e-75,0.4944218195812833,0.23943810326884987,63.8617356688752,0.09822037016599672,0.09771826569504238,2.8616303461341052e-42,0.31340129254040483,0.43205989824908797,0.31823107846154103
EUSRI FP Equity_DX_UTILIZATION_QUANTITY,0,1798,0.2467561283062544,2.3921157833208646e-26,0.5779150786560381,1.0012273068159692e-160,0.43495699883896677,8.543728011794166e-149,0.6000152504756713,0.21525556142334354,65.86209542337131,0.06088858685669285,0.060365696314853556,2.3921157833179248e-26,0.2467561283062544,0.5779150786560381,0.43495699883896677
EUSRI FP Equity_DX_DEMAND_SUPPLY_RATIO,0,1798,0.17808043238523164,2.8109436496168616e-14,0.5454761779378952,6.327220973414019e-140,0.407880424377086,2.5657876658213035e-132,0.48411034678422693,4.235789548433503,66.41726179838248,0.03171264039851085,0.031173504897619164,2.810943649617897e-14,0.17808043238523164,0.5454761779378952,0.407880424377086
EUSRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,1798,0.13323978573452486,1.418692115432589e-08,0.4199114470115111,9.97554976884623e-78,0.29777828287384683,5.387291378362048e-69,0.6311840825711084,4.083675547734163e-07,66.17419629331377,0.01775284050258208,0.0172059322845991,1.4186921154333927e-08,0.13323978573452486,0.4199114470115111,0.29777828287384683
EUSRI FP Equity_DX_BROKER_SI_QTY,0,1798,0.11949252886005912,3.744388947904875e-07,0.4137875137974476,2.6013269739504435e-75,0.2888728455209227,8.632543449872198e-65,0.6284932187739041,2.6454921360593215e-05,66.25572015645122,0.014278464453372441,0.013729621727566976,3.7443889479055805e-07,0.11949252886005912,0.4137875137974476,0.2888728455209227
EUSRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,1798,0.10986912502521229,3.0169175385236148e-06,0.47046852048411936,1.0750248135697604e-99,0.3233314029602948,8.208212503345289e-84,0.6842021737197808,3.825181875417632e-07,66.33530951701097,0.012071224633805833,0.011521152932599699,3.016917538523611e-06,0.10986912502521229,0.47046852048411936,0.3233314029602948
EUSRI FP Equity_DX_SUPPLY_SI_MV,0,1798,0.10965142018583268,3.1566364559109824e-06,0.4646856421196839,5.444681696611481e-97,0.3183506015504076,2.9823070963763344e-80,0.6652787165332992,0.3811566755911007,66.33697532391699,0.012023433948770368,0.011473335638051418,3.1566364559100617e-06,0.10965142018583268,0.4646856421196839,0.3183506015504076
EUSRI FP Equity_DX_SHORT_INTEREST_VALUE,0,1798,0.10720512593913323,5.219303525964984e-06,0.43314299126720934,4.020404111336534e-83,0.29705563049688855,1.6929232131071454e-71,0.6403400462538005,1.9290968079563454e-07,66.36959148022466,0.011492939027625493,0.010942545341115273,5.219303525964679e-06,0.10720512593913323,0.43314299126720934,0.29705563049688855
EUSRI FP Equity_DX_SI_MV,0,1798,0.10670700035323571,5.774454977900757e-06,0.4296728871847864,1.1026457812130952e-81,0.293787113330641,1.953578471087356e-69,0.6270013281272613,0.19152529284310513,66.37276753098395,0.011386383924385513,0.010835930908753233,5.774454977899515e-06,0.10670700035323571,0.4296728871847864,0.293787113330641
EUSRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,1798,0.10167931534343044,1.562473245207007e-05,0.3112751920774346,1.0801751706204695e-41,0.22018611964430324,4.8573641054671885e-37,0.5001263222829464,4.559355889836485,66.33203374622525,0.010338683168708673,0.009787646800762495,1.5624732452072675e-05,0.10167931534343044,0.3112751920774346,0.22018611964430324
EUSRI FP Equity_DX_SUPPLY_SI_QTY,0,1798,0.09589401563662858,4.646359659692129e-05,0.45864065846744856,3.2213591735628546e-94,0.30848367859679604,4.895143925175915e-76,0.6740031741851857,2.3802057716074985e-05,66.41314294890516,0.009195662234918078,0.00864398944106226,4.6463596596904744e-05,0.09589401563662858,0.45864065846744856,0.30848367859679604
EUSRI FP Equity_DX_SI_QTY,0,1798,0.09480426048198431,5.667478897517217e-05,0.42199105974981854,1.4686967990585111e-78,0.2845597989826804,1.8260650462402989e-65,0.6243003648351024,1.2190696698698651e-05,66.43717623081868,0.008987847805536076,0.008436059302087018,5.6674788975175644e-05,0.09480426048198431,0.42199105974981854,0.2845597989826804
EUSRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,1798,0.09425305090487493,6.261575434834914e-05,0.4890890870911099,9.147785073040509e-109,0.3453151184318822,1.1867703424282681e-94,0.5107169902834281,0.1884210317821529,66.5048929804419,0.008883637604877204,0.008331791077931139,6.26157543483625e-05,0.09425305090487493,0.4890890870911099,0.3453151184318822
EUSRI FP Equity_DX_BROKER_SI_MV_DEC,0,1798,0.07974340314678054,0.0007133788239381513,0.21788649467233678,9.182576729925778e-21,0.17141712769784717,5.175071823230502e-20,0.047616205381516785,0.9047278232811558,66.73045705265467,0.006359010345430294,0.005805758124019067,0.0007133788239382366,0.07974340314678054,0.21788649467233678,0.17141712769784717
EUSRI FP Equity_DX_BROKER_SI_MV_INC_x,0,1798,0.07886090936690426,0.0008174620239500044,0.15399032633695217,5.2287045967747564e-11,0.12355016627809365,7.806704642011646e-11,0.017038933567544268,1.4575368488245075,66.76735021751553,0.006219043026175264,0.005665712871958273,0.000817462023949932,0.07886090936690426,0.15399032633695217,0.12355016627809365
EUSRI FP Equity_DX_BROKER_SI_MV_INC_y,0,1798,0.07886090936690426,0.0008174620239500044,0.15399032633695217,5.2287045967747564e-11,0.12355016627809365,7.806704642011646e-11,0.017038933567544268,1.4575368488245075,66.76735021751553,0.006219043026175264,0.005665712871958273,0.000817462023949932,0.07886090936690426,0.15399032633695217,0.12355016627809365
EUSRI FP Equity_DX_BROKER_SI_QTY_INC,0,1798,0.07405307481499089,0.0016768850942619784,0.15302701551322256,6.904462080255839e-11,0.12264500729521204,1.062107082166533e-10,0.019151158133967616,0.00010280520263220157,66.77520574483765,0.005483857889554744,0.00493011838949331,0.0016768850942618105,0.07405307481499089,0.15302701551322256,0.12264500729521204
EUSRI FP Equity_DX_BROKER_SI_QTY_DEC,0,1798,0.07185278712559723,0.0022992290276050114,0.21968018243380108,4.34512617019944e-21,0.17236226515857012,3.0329407486161246e-20,0.05201745047556172,5.859781226699922e-05,66.75273096925139,0.0051628230177165335,0.004608904767726463,0.0022992290276056333,0.07185278712559723,0.21968018243380108,0.17236226515857012
