feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FLY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4996,-0.34609978249248374,1.4155650280468683e-140,-0.43620620595787396,3.3911500367307764e-231,-0.32969072643358127,4.545892743285472e-227,1.16860821922271,-0.4468493518631753,57.13597593864966,0.11978505944134443,0.11960880494784043,1.4155650280490806e-140,0.34609978249248374,0.43620620595787396,0.32969072643358127
FLY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4996,-0.22286601780452453,2.8596952538540936e-57,-0.29172278595551576,1.361926667868956e-98,-0.22101089215853575,6.693965847370643e-99,0.7459527885434065,-0.08551117347148778,56.31874257319052,0.04966926189204646,0.04947896739102353,2.859695253856582e-57,0.22286601780452453,0.29172278595551576,0.22101089215853575
FLY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4996,-0.2220980735242737,7.041470005554548e-57,-0.15502163243449224,3.0185992449824327e-28,-0.09577533523038909,8.080380795866061e-22,1.2805845429083544,-0.10258987160210403,58.52563811585551,0.049327554263193796,0.04913719133853678,7.041470005538706e-57,0.2220980735242737,0.15502163243449224,0.09577533523038909
FLY FP Equity_DX_UTILIZATION_QUANTITY,0,4996,0.2012182198734968,8.433215223037842e-47,-0.11066300247924299,4.3617382100925224e-15,-0.08804898271199006,2.6919260359868794e-19,1.372323893313537,0.13817248368194301,50.81675531230893,0.04048877200905876,0.04029663920409454,8.433215223012344e-47,0.2012182198734968,0.11066300247924299,0.08804898271199006
FLY FP Equity_DX_BROKER_SI_CON_RATIO,0,4996,-0.1798676615463396,1.3524270347529714e-37,-0.15440514726827642,4.936787202829192e-28,-0.09700921283769569,2.4191813620011643e-22,1.303265061796297,-8.322271371131759,57.037382770053824,0.03235237567014826,0.03215861363083505,1.3524270347566592e-37,0.1798676615463396,0.15440514726827642,0.09700921283769569
FLY FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4996,-0.16682277529352105,1.6593763354187785e-32,-0.29270094787116585,2.8503749636276244e-99,-0.22116369761503019,4.298295216449347e-99,0.7237118086473444,-0.045972800911451145,54.67822735320672,0.02782983835663244,0.027635170723143476,1.6593763354216293e-32,0.16682277529352105,0.29270094787116585,0.22116369761503019
FLY FP Equity_DX_SUPPLY_SI_QTY,0,4996,-0.1511147773985528,6.589426059868492e-27,-0.44591293720338304,9.824671827461764e-243,-0.3149882288304242,2.515120506731263e-228,1.3374340041979056,-7.576340716565986e-05,52.95529811343972,0.022835675948213785,0.022640008282204138,6.58942605987256e-27,0.1511147773985528,0.44591293720338304,0.3149882288304242
FLY FP Equity_DX_SUPPLY_SI_MV,0,4996,-0.14195781713139705,6.6021010829100924e-24,-0.33003018089055647,2.9889556407393e-127,-0.2329238584955073,3.2895455845365978e-121,1.1005402164092284,-2.5618694047637622,53.05239935012122,0.020152021844711432,0.01995581680303027,6.602101082915389e-24,0.14195781713139705,0.33003018089055647,0.2329238584955073
FLY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4996,-0.140235773465545,2.30444215872724e-23,-0.34635601181764286,8.55057025207366e-141,-0.2277851084268428,3.286898252504357e-121,1.8828507246509782,-4.167158261180793e-06,53.091963604752166,0.019666072159479908,0.019469769811093718,2.3044421587295804e-23,0.140235773465545,0.34635601181764286,0.2277851084268428
FLY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4996,-0.12233573697012616,4.048178933731998e-18,-0.3440813044578283,7.386461112954124e-139,-0.24328929418843406,1.0413441958355008e-138,0.9021611539720147,-0.08357687747799203,53.050549760316954,0.014966032540023821,0.014768789054348974,4.0481789337312875e-18,0.12233573697012616,0.3440813044578283,0.24328929418843406
FLY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,4996,-0.07851446334735124,2.7479608881738464e-08,-0.15267754413780152,1.9384403795531613e-27,-0.10324075848211745,5.816136729112666e-25,0.8645626429090187,-0.3707271138715551,52.73014472377389,0.006164520954722308,0.0059655150518297395,2.7479608881735307e-08,0.07851446334735124,0.15267754413780152,0.10324075848211745
FLY FP Equity_DX_SI_QTY,0,4996,-0.059625975704404206,2.47350147497467e-05,-0.4428392594114188,4.860059981005681e-239,-0.30348603140858627,3.5176679043083846e-216,1.377286504691145,-1.1166964028451632e-05,52.80920744513498,0.0035552569787017374,0.0033557285960381655,2.4735014749732766e-05,0.059625975704404206,0.4428392594114188,0.30348603140858627
FLY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4996,0.05883004917350728,3.171185104519752e-05,0.10602048043757703,5.774867898916508e-14,0.07279340178590894,7.342852330527898e-13,1.5682501327048164,3.4709583969448684e-07,51.85152369870545,0.0034609746857572343,0.0032614274239801677,3.171185104522329e-05,0.05883004917350728,0.10602048043757703,0.07279340178590894
FLY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4996,-0.05557624440272764,8.483414666161994e-05,-0.3783759284037599,8.209649850759477e-170,-0.28553581440325215,3.544664852791263e-154,0.5971600685558012,-4.529125525956882,52.784103025835016,0.0030887189419126493,0.0028890971395381104,8.483414666149065e-05,0.05557624440272764,0.3783759284037599,0.28553581440325215
FLY FP Equity_DX_DEMAND_SUPPLY_RATIO,0,4996,0.04835367245251204,0.000628753752223193,-0.13989989066983124,2.9353928900430397e-23,-0.10166898192787226,8.546764374399503e-26,1.2872839305107155,0.36560342311462496,52.34073578943162,0.0023380776396451086,0.0021383055286398056,0.0006287537522233412,0.04835367245251204,0.13989989066983124,0.10166898192787226
FLY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,4996,-0.04318323970506957,0.0022660005212662097,0.02447234469848799,0.08370356443695118,0.003866713252621431,0.7034885485124057,1.291375942371852,-8.799499584994638e-06,52.96614853830165,0.001864792191425546,0.0016649253096056027,0.002266000521264806,0.04318323970506957,0.02447234469848799,0.003866713252621431
FLY FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,4996,-0.04284309308399495,0.0024545805771882317,-0.021703447359586115,0.12506698206673428,-0.01792065916659476,0.11737056504735997,0.031043888143293952,-0.0014468697509527522,52.594473721843926,0.001835530625003745,0.0016356578838392366,0.002454580577188611,0.04284309308399495,0.021703447359586115,0.01792065916659476
