feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
FORSE FP Equity_DX_UTILIZATION_QUANTITY,0,999,-0.6437645893593889,5.3719648293497845e-118,-0.609074801886777,1.7948305134630184e-102,-0.4570799140441268,1.1202117830739033e-102,1.4539648484391998,-0.030845000762066074,3.359411149462817,0.41443284651306245,0.4138455173721528,5.371964829351187e-118,0.6437645893593889,0.609074801886777,0.4570799140441268
FORSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,999,0.5966894398419228,2.2013326244913514e-97,0.5543075234595359,1.5241435530113357e-81,0.41800064234441625,2.714005013675008e-86,1.738794536610167,1.3941599711455674e-05,1.7069626196592673,0.3560382876188679,0.35539238820825503,2.2013326244922782e-97,0.5966894398419228,0.5543075234595359,0.41800064234441625
FORSE FP Equity_DX_DEMAND_SUPPLY_RATIO,0,999,-0.5624812633792201,2.0181862230522282e-84,-0.5296080288923481,2.5815958671341022e-73,-0.3818531380196876,2.469631898559284e-72,1.4355497469890737,-1.5785570184733306,3.2293324664684397,0.31638517165268354,0.31569949980880463,2.0181862230533287e-84,0.5624812633792201,0.5296080288923481,0.3818531380196876
FORSE FP Equity_DX_SUPPLY_SI_QTY,0,999,-0.5285173419105049,5.751122162699633e-73,-0.38864530612653614,2.2881473694158068e-37,-0.2621748397161521,7.766941745891787e-35,1.4643765057905367,-2.2512390775121162e-05,3.0702399227078256,0.2793305807001455,0.27860774276704636,5.751122162700864e-73,0.5285173419105049,0.38864530612653614,0.2621748397161521
FORSE FP Equity_DX_SHORT_INTEREST_VALUE,0,999,0.4800983938260539,9.914470064237817e-59,0.3900238624699888,1.2135290917748117e-37,0.2876633103380569,4.7943789605632794e-42,1.725023966964994,1.0777131195669854e-05,1.5468867479956538,0.23049446775435678,0.22972264675912546,9.914470064235985e-59,0.4800983938260539,0.3900238624699888,0.2876633103380569
FORSE FP Equity_DX_SI_MV,0,999,0.477250196232654,5.815958735352035e-58,0.389009817318492,1.9354528694356987e-37,0.2859006071781617,2.0023707332411e-39,1.1482525292214398,10.614561591113684,1.5552485159017382,0.22776774980410663,0.2269931938861569,5.81595873535117e-58,0.477250196232654,0.389009817318492,0.2859006071781617
FORSE FP Equity_DX_SI_QTY,0,999,-0.4156078931541702,5.357097459235132e-43,-0.24755522169446612,2.0454726443696213e-15,-0.14486664077355443,9.703916742282929e-12,1.4253706528557215,-1.0493702765220814e-05,2.9412855947486483,0.1727299208520482,0.17190016149482867,5.357097459235305e-43,0.4156078931541702,0.24755522169446612,0.14486664077355443
FORSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,999,-0.3372516001630159,5.379847127769741e-28,-0.19070086061833713,1.233942704465892e-09,-0.10305320059933125,2.675596011894553e-06,1.061126217613606,-8.116644631005315,2.96287904287744,0.1137386418125148,0.11284971366989949,5.3798471277687385e-28,0.3372516001630159,0.19070086061833713,0.10305320059933125
FORSE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,999,0.2687497539028479,5.464558678583856e-18,0.15210451023332938,1.3675937370511643e-06,0.1082195864955858,4.151124412961176e-07,1.3391247557481827,0.33457455896950017,2.1481398723366825,0.07222643022284125,0.07129586495726747,5.464558678584491e-18,0.2687497539028479,0.15210451023332938,0.1082195864955858
FORSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,999,0.19355465299518126,6.89682915222429e-10,-0.10148665696326428,0.0013183042552897524,-0.0799363885188659,0.0017599577182563662,0.17904571649189216,1.5599075502238456e-06,2.3851564748097505,0.03746340369608514,0.03649797080109629,6.896829152224606e-10,0.19355465299518126,0.10148665696326428,0.0799363885188659
FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,999,0.19283492645002703,7.993384680285519e-10,-0.08567721801293995,0.00673664716474478,-0.06758329843748749,0.008484847069484071,0.15516277314718074,1.557305097297586,2.3849659170813458,0.03718530885898719,0.036219597032366435,7.993384680286632e-10,0.19283492645002703,0.08567721801293995,0.06758329843748749
FORSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,999,0.17390535477637203,3.167037434811643e-08,-0.10229510711222735,0.0012050323573473227,-0.08172251477481954,0.0013935362765681103,0.17246366262648438,9.571701934287075e-06,2.38165770846203,0.030243072419895545,0.029270397467458187,3.167037434811884e-08,0.17390535477637203,0.10229510711222735,0.08172251477481954
FORSE FP Equity_DX_BROKER_SI_QTY,0,999,-0.17068482261856963,5.7004186991335464e-08,0.0350870283557854,0.26788467769881913,0.07070318121892867,0.0009300094495746452,1.4235537822978208,-8.608787117676066e-06,2.618732451787332,0.02913330867233277,0.028159520616838685,5.700418699133233e-08,0.17068482261856963,0.0350870283557854,0.07070318121892867
