feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
INR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4906,0.3292644613825803,2.1744119490252665e-124,0.1265604433800204,5.676231268102621e-19,0.08688746303739872,8.702129495026764e-20,0.5452710934479241,0.17392005566812188,14.438394350116878,0.1084150855295608,0.10823327783900816,2.1744119490260773e-124,0.3292644613825803,0.1265604433800204,0.08688746303739872
INR FP Equity_DX_DEMAND_SUPPLY_RATIO,0,4906,-0.250588486796516,3.9379304880907666e-71,-0.137845342710543,3.0461257689095076e-22,-0.09101966235240384,1.549881032967262e-21,0.5869857459481134,-2.155228946579727,16.043814887060496,0.06279458971496754,0.06260347931319654,3.937930488092425e-71,0.250588486796516,0.137845342710543,0.09101966235240384
INR FP Equity_DX_DSS,0,4906,-0.24890758551487474,3.562346338802546e-70,-0.2907701722343273,3.337326704877275e-96,-0.23752352457585482,3.468148593817368e-92,0.08280547792517079,-5.454573200586509,15.862555656726622,0.06195498612684491,0.06176370451716451,3.5623463387886173e-70,0.24890758551487474,0.2907701722343273,0.23752352457585482
INR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4906,0.23802540838083108,3.711204373317899e-64,0.24475897378089426,7.610698197543012e-68,0.16773526560534208,2.1444232234953388e-68,0.8689870563109294,2.071551125638219e-07,14.464337713361147,0.056656095034861464,0.056463732900896346,3.711204373314594e-64,0.23802540838083108,0.24475897378089426,0.16773526560534208
INR FP Equity_DX_SUPPLY_SI_MV,0,4906,0.23755362605590352,6.662224309794682e-64,0.2437423026806985,2.7902691914393274e-67,0.16655435348408004,3.426477452798355e-67,0.8024894496214774,0.20655347689936754,14.466505168511713,0.056431725252307885,0.05623931736594012,6.66222430980004e-64,0.23755362605590352,0.2437423026806985,0.16655435348408004
INR FP Equity_DX_SHORT_INTEREST_VALUE,0,4906,0.19693668024819977,4.3366833041165704e-44,0.033918671192125535,0.017509129962171858,0.030665760640081027,0.0012873851625776042,0.7321022921518487,8.669336623597525e-08,14.607202353603231,0.038784056027181824,0.038588049513321176,4.3366833041150605e-44,0.19693668024819977,0.033918671192125535,0.030665760640081027
INR FP Equity_DX_SI_MV,0,4906,0.19628783127052418,8.340672610106154e-44,0.03258714600142021,0.022458603691216647,0.028676697925078796,0.0026431419245608904,0.6823201832093164,0.08559037501331622,14.610332143250522,0.0385289127048859,0.03833285416343102,8.340672610106083e-44,0.19628783127052418,0.03258714600142021,0.028676697925078796
INR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4906,0.17854391163355177,2.008664430896948e-36,-0.02792921219954218,0.050450487050328396,-0.016992867171918075,0.0765386263757755,0.6932100442451752,0.7964558046069161,14.588963426089277,0.031877928381409903,0.03168051360334745,2.0086644308955138e-36,0.17854391163355177,0.02792921219954218,0.016992867171918075
INR FP Equity_DX_UTILIZATION_QUANTITY,0,4906,-0.17732784959160133,6.049934040133603e-36,0.0035858697414756914,0.8017357749901082,0.006885599846147553,0.47374414258428166,0.7739613820810183,-0.05648587300127716,15.975520263283137,0.03144516624078142,0.03124766321595296,6.04993404012698e-36,0.17732784959160133,0.0035858697414756914,0.006885599846147553
INR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4906,0.14541879354289355,1.3479566855071059e-24,0.2992210052982037,4.958504793374334e-102,0.2212626542083744,3.1328414793443585e-105,0.6892591054736759,0.038093206480437285,14.808740923722143,0.02114662551547075,0.02094702246194624,1.3479566855033261e-24,0.14541879354289355,0.2992210052982037,0.2212626542083744
