feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
LACR FP Equity_DX_UTILIZATION_QUANTITY,0,4961,-0.1901971587148821,1.2481460259226996e-41,0.12801826670859837,1.4052783410265308e-19,0.09168590429006174,1.9438497584682182e-17,0.6803777300741736,-0.20794358448632874,27.66126576259469,0.03617495918321467,0.03598060043330198,1.248146025921384e-41,0.1901971587148821,0.12801826670859837,0.09168590429006174
LACR FP Equity_DX_DEMAND_SUPPLY_RATIO,0,4961,-0.1820595989954877,3.12014357035393e-38,0.14570722833825825,6.009080618867756e-25,0.11122788187315213,2.331363026774717e-25,0.6949375665204869,-5.951752338456566,27.432866483792242,0.033145697586397405,0.03295072797510201,3.120143570356868e-38,0.1820595989954877,0.14570722833825825,0.11122788187315213
LACR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4961,0.13462025532323318,1.684465740115556e-21,0.317711315475042,9.329519490306602e-117,0.2748098955001381,9.509070116240065e-141,0.6591916817993646,4.128354824139482,26.00234790586747,0.018122613143292332,0.01792461407354906,1.6844657401142615e-21,0.13462025532323318,0.317711315475042,0.2748098955001381
LACR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4961,0.13363917096091468,3.2973870021134765e-21,0.30569055056717953,8.411494609848097e-108,0.2721815307066547,2.1464756961036468e-141,1.0126466720176746,4.100013464376685e-06,26.008867192194817,0.017859428015120304,0.01766137587315919,3.2973870021145726e-21,0.13363917096091468,0.30569055056717953,0.2721815307066547
LACR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,4961,0.12523029972806565,8.507172003038262e-19,0.21671133856762995,8.285642224795893e-54,0.17899511634219747,8.444766504015562e-63,0.7052874665561433,12.287276234855293,25.679381059540837,0.0156826279699801,0.01548413686854233,8.507172003033602e-19,0.12523029972806565,0.21671133856762995,0.17899511634219747
LACR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,4961,0.12469504630681831,1.1965669122904475e-18,0.30023782152690365,7.080686727717915e-104,0.2577848749949756,3.078035565561728e-125,0.6190554334166614,0.0001449564618805098,25.99841256587953,0.015548854573459447,0.015350336496140149,1.1965669122878866e-18,0.12469504630681831,0.30023782152690365,0.2577848749949756
LACR FP Equity_DX_BROKER_SI_QTY,0,4961,-0.10736504985373214,3.3972186644211094e-14,0.20488458969749462,3.6440768535769625e-48,0.16514094502067322,3.9718557096017714e-54,0.7982977590830864,-0.001294947448684439,27.500234203063698,0.011527253930095238,0.01132792488269252,3.397218664421138e-14,0.10736504985373214,0.20488458969749462,0.16514094502067322
LACR FP Equity_DX_BROKER_SI_CON_RATIO,0,4961,0.09402599293871204,3.229727101625931e-11,0.29736850016613786,7.615984481730727e-102,0.2176113485699327,7.382160303657872e-92,0.6859975524749125,4.955550472475705,25.533642261829144,0.008840887348110726,0.008641016585325456,3.229727101625137e-11,0.09402599293871204,0.29736850016613786,0.2176113485699327
LACR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4961,0.08889227974340673,3.5664009438810274e-10,0.28715496513652966,8.43756236274602e-95,0.21174359542188684,4.358427440100428e-87,0.6520296342903262,0.04412616213624599,25.545282903828653,0.007901837397980449,0.007701777272430488,3.56640094387295e-10,0.08889227974340673,0.28715496513652966,0.21174359542188684
LACR FP Equity_DX_SI_QTY,0,4961,-0.08389010681362692,3.264931976687157e-09,0.22208222658195637,1.744382230186233e-56,0.1770777039671661,5.404171227400659e-62,0.7574838201603287,-0.0006068358549515306,27.326924776933698,0.007037550021201988,0.00683731560902634,3.264931976686252e-09,0.08389010681362692,0.22208222658195637,0.1770777039671661
LACR FP Equity_DX_SI_MV,0,4961,0.08248852461204806,5.9384977209864355e-09,0.2578710510851255,3.491148869676292e-76,0.19733872087303733,2.9054560056595445e-74,0.5773346282066836,27.72850984499923,25.959045171610303,0.006804356692672875,0.006604075256232633,5.938497720976751e-09,0.08248852461204806,0.2578710510851255,0.19733872087303733
LACR FP Equity_DX_SHORT_INTEREST_VALUE,0,4961,0.07020940635517912,7.420664981035845e-07,0.282028457777783,2.254557048269109e-91,0.21959063706147092,7.31232525900112e-95,0.9950706646691576,2.3794404390957243e-05,26.066568397729796,0.004929360740747568,0.0047287012047001475,7.420664981043586e-07,0.07020940635517912,0.282028457777783,0.21959063706147092
LACR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4961,0.06988226720823963,8.354587855693799e-07,0.2662051171022076,3.0137563724309677e-81,0.2094093382495799,2.086144609131173e-86,1.034306357159772,4.292253531854588e-05,26.060062436854885,0.004883531270163388,0.0046828624924400986,8.354587855692645e-07,0.06988226720823963,0.2662051171022076,0.2094093382495799
LACR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4961,0.0695773356268961,9.326286679780939e-07,0.2165765558034585,9.651121638712131e-54,0.16106991502467455,1.63255087028215e-49,0.6022130897380933,0.09564149487517659,26.00948305432991,0.0048410056329381,0.0046403282797686796,9.326286679783347e-07,0.0695773356268961,0.2165765558034585,0.16106991502467455
LACR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4961,-0.06694715835619872,2.364395072346703e-06,0.17057467556647582,1.0552500396026313e-33,0.13310648112668397,2.943430465176254e-32,0.3471560314031392,-0.029754865386139393,27.344403078198766,0.004481922011969619,0.004281172248310039,2.3643950723480082e-06,0.06694715835619872,0.17057467556647582,0.13310648112668397
LACR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4961,0.063140104064982,8.5649241511416e-06,0.23597702446815044,9.594578363290432e-64,0.1783520111425643,1.235397989613666e-61,0.9392017297543083,3.700840362682694e-05,26.162218229611597,0.003986672741336905,0.003785823108899189,8.564924151139152e-06,0.063140104064982,0.23597702446815044,0.1783520111425643
LACR FP Equity_DX_SUPPLY_SI_MV,0,4961,0.06295207181727261,9.110558263216056e-06,0.2217809256277861,2.4757049107311806e-56,0.16944172903722746,3.275650309514233e-54,0.4850363229408734,36.824147743151244,26.161854385581893,0.003962963346087478,0.0037621089325657886,9.110558263227215e-06,0.06295207181727261,0.2217809256277861,0.16944172903722746
LACR FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4961,-0.06056716899265914,1.964794765640286e-05,0.1747994867322132,2.4735116298349893e-35,0.13641763064229565,7.716334139061135e-34,0.3488604007223306,-0.026900867210483372,27.281986991862993,0.0036683819597859157,0.0034674681428792375,1.9647947656377656e-05,0.06056716899265914,0.1747994867322132,0.13641763064229565
LACR FP Equity_DX_SUPPLY_SI_QTY,0,4961,-0.05120179014861931,0.00030877664215267156,0.19116003772286674,4.8279508210861847e-42,0.14446550750497897,7.136453710326087e-41,0.6954358550968678,-0.0007248218165564829,27.066051989748455,0.0026216233144233936,0.0024204984149102104,0.00030877664215252985,0.05120179014861931,0.19116003772286674,0.14446550750497897
LACR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,4961,-0.044709482978049615,0.0016334558550919252,0.18838656053861863,7.344040431257465e-41,0.15348057821207864,2.1401825000055833e-45,0.5243067338688914,-15.430171665948992,27.03240022491753,0.0019989378681640746,0.0017976874019144384,0.001633455855092339,0.044709482978049615,0.18838656053861863,0.15348057821207864
LACR FP Equity_DX_SUPPLY_SI_MV_DEC,0,4961,0.032818084752536225,0.020801880672498548,0.08100796673856869,1.1054651933024612e-08,0.0660226980249021,1.1319707623879411e-08,0.019160029677696366,73.11507016298093,26.614142308789596,0.0010770266868246337,0.0008755903139040511,0.020801880672495422,0.032818084752536225,0.08100796673856869,0.0660226980249021
LACR FP Equity_DX_BROKER_SI_MV_DEC,0,4961,0.026478248656154273,0.062204446120470464,0.04445061183929002,0.0017385090962406943,0.03620025008599384,0.0017441964016938088,0.021657214138109504,58.439501192237316,26.623761715486648,0.000701097651898186,0.0004995854715497128,0.0622044461204693,0.026478248656154273,0.04445061183929002,0.03620025008599384
LACR FP Equity_DX_BROKER_SI_MV_ADD,0,4961,0.02323498984660206,0.10176629783480612,0.03588806549036853,0.011473707350566372,0.029263744329076725,0.01149587858584525,0.014607626010414432,58.49672068770455,26.63657099838153,0.0005398647531713596,0.0003383200596349667,0.10176629783481488,0.02323498984660206,0.03588806549036853,0.029263744329076725
LACR FP Equity_DX_SUPPLY_SI_QTY_ADD,0,4961,0.02121033800557811,0.13524665298187355,0.05664309000845111,6.55682069019274e-05,0.04620537661134188,6.497444472582487e-05,0.01587775600327168,0.003242065532355456,26.64238363992837,0.00044987843831190144,0.0002483155987148544,0.13524665298186744,0.02121033800557811,0.05664309000845111,0.04620537661134188
LACR FP Equity_DX_BROKER_SI_MV_INC_x,0,4961,0.018133318442474348,0.20160509441997504,0.033601426899922834,0.017944220371556973,0.027396574045269247,0.018064352949666677,0.010003744979414364,68.20235972429188,26.647176866925285,0.00032881723773603433,0.0001272299857170145,0.2016050944199907,0.018133318442474348,0.033601426899922834,0.027396574045269247
LACR FP Equity_DX_BROKER_SI_MV_INC_y,0,4961,0.018133318442474348,0.20160509441997504,0.033601426899922834,0.017944220371556973,0.027396574045269247,0.018064352949666677,0.010003744979414364,68.20235972429188,26.647176866925285,0.00032881723773603433,0.0001272299857170145,0.2016050944199907,0.018133318442474348,0.033601426899922834,0.027396574045269247
LACR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4961,0.016251843939456834,0.2524265108385226,0.25004152616499914,1.3609267010983006e-71,0.18825930341902095,4.9140470920133687e-70,0.5484430965089082,0.2680074829121626,26.52858065256586,0.00026412243143270064,6.252213347568425e-05,0.2524265108384041,0.016251843939456834,0.25004152616499914,0.18825930341902095
LACR FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,4961,-0.014877785251513875,0.29477625058831547,0.01094081418193969,0.44104001002470095,0.008879831286981842,0.44169246940680695,0.02187606356960292,-0.0008002879481297535,26.686908418840424,0.0002213484939898036,1.9739570516152938e-05,0.29477625058829354,0.014877785251513875,0.01094081418193969,0.008879831286981842
LACR FP Equity_DX_SUPPLY_SI_QTY_INC_y,0,4961,-0.014877785251513875,0.29477625058831547,0.01094081418193969,0.44104001002470095,0.008879831286981842,0.44169246940680695,0.02187606356960292,-0.0008002879481297535,26.686908418840424,0.0002213484939898036,1.9739570516152938e-05,0.29477625058829354,0.014877785251513875,0.01094081418193969,0.008879831286981842
LACR FP Equity_DX_BROKER_SI_QTY_NEW,0,4961,-0.014070539114489562,0.32175940793155794,-0.02307662181876531,0.10412121652066066,-0.018860263927044398,0.10411496263708477,0.005466605905028121,-0.04572905745967719,26.67162298387101,0.0001979800709722701,-3.633564827021374e-06,0.32175940793155644,0.014070539114489562,0.02307662181876531,0.018860263927044398
LACR FP Equity_DX_BROKER_SI_QTY_ADD,0,4961,-0.011476481042735538,0.41899756688002665,0.03665644388597275,0.009820382058648837,0.029928687977519762,0.009553030611354683,0.014287163960808424,-0.0006565540619287962,26.682393720720714,0.00013170961712405393,-6.991738234818357e-05,0.4189975668800243,0.011476481042735538,0.03665644388597275,0.029928687977519762
LACR FP Equity_DX_BROKER_SI_QTY_DEC,0,4961,-0.01146234214528457,0.4195709223627809,0.03746245808655449,0.008317407376291169,0.030522351247457644,0.007901526267309548,0.030360245201417557,-0.0006871102784006984,26.689525511607915,0.00013138528745526568,-7.0241777419211e-05,0.4195709223627725,0.01146234214528457,0.03746245808655449,0.030522351247457644
LACR FP Equity_DX_BROKER_SI_QTY_INC,0,4961,-0.008529317001885426,0.5480953941525812,0.024356126790858888,0.08628464863933925,0.019837938021959888,0.08618824044824955,0.014033730221017171,-0.0006178200506208586,26.67592123351456,7.274924851896625e-05,-0.00012888964052137908,0.5480953941525937,0.008529317001885426,0.024356126790858888,0.019837938021959888
LACR FP Equity_DX_SUPPLY_SI_QTY_DEC,0,4961,-0.00013186652862677667,0.9925912736159074,0.06556102151387377,3.8086908972153793e-06,0.05311654035729694,3.831706519270266e-06,0.03224878483725058,-7.796944038557884e-06,26.66815455392913,1.738878085966178e-08,-0.00020163616689794495,0.992591273615981,0.00013186652862677667,0.06556102151387377,0.05311654035729694
