feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MRN FP Equity_DX_SI_MV,0,5000,0.3715183240476769,1.9146550665169275e-163,0.28140405251874984,1.161868133230378e-91,0.19552300795802502,3.3536805571188554e-95,0.6869504942221205,0.2962763996104861,26.360135108864714,0.1380258651031946,0.13785340129069024,1.9146550665236263e-163,0.3715183240476769,0.28140405251874984,0.19552300795802502
MRN FP Equity_DX_SHORT_INTEREST_VALUE,0,5000,0.3558367291966782,3.6970180614771217e-149,0.29172365758323543,1.1379449337482655e-98,0.20486458498798713,1.6542539507728777e-104,0.7042459327062844,3.5525807298714444e-07,26.399535450172486,0.12661977784538958,0.1264450319025816,3.6970180614781927e-149,0.3558367291966782,0.29172365758323543,0.20486458498798713
MRN FP Equity_DX_SUPPLY_SI_MV,0,5000,0.3400266612806499,1.4903293581031475e-135,0.30150957109811805,1.3592875366056632e-105,0.21534881487719837,6.010925822098101e-115,0.7597026989746754,0.4786120954552029,26.373193561985264,0.11561813038166568,0.11544118322888097,1.4903293580984674e-135,0.3400266612806499,0.30150957109811805,0.21534881487719837
MRN FP Equity_DX_DEMAND_SUPPLY_RATIO,0,5000,0.3074570235697688,6.20029664484561e-110,0.08767049660593097,5.310295700375909e-10,0.0490660575622241,2.0325464744328267e-07,0.6948533128343977,16.072025645639233,26.62019763701339,0.09452982134238141,0.09434865484004895,6.200296644828632e-110,0.3074570235697688,0.08767049660593097,0.0490660575622241
MRN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,5000,0.30181671506064994,8.158721599017291e-106,0.19914812856506459,6.78285540390884e-46,0.13409112720593946,7.962471226630829e-46,0.6100369640435974,4.3170318596705555e-07,26.911358664830637,0.09109332949000148,0.09091147541426925,8.158721599010054e-106,0.30181671506064994,0.19914812856506459,0.13409112720593946
MRN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,5000,0.3009494620011258,3.442628417060896e-105,0.3075136241092288,5.631335195547585e-110,0.2215684541353306,6.811077540470087e-122,0.8078503177653551,4.950672616972954e-07,26.623046370701573,0.09057057867876728,0.09038862001103598,3.442628417062605e-105,0.3009494620011258,0.3075136241092288,0.2215684541353306
MRN FP Equity_DX_UTILIZATION_QUANTITY,0,5000,0.28599706428507965,9.59810568172764e-95,0.1138440472941586,6.789901575654399e-16,0.06845546751186071,4.2963179624236625e-13,0.7108767117901897,0.2659388607038592,26.573853484826124,0.08179432077968374,0.08161060615799098,9.598105681736186e-95,0.28599706428507965,0.1138440472941586,0.06845546751186071
MRN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,5000,0.2824189867419658,2.4486394903179108e-92,0.33203874340392736,5.6453363519263944e-129,0.2617077050670687,3.0700649234178375e-168,1.0709247387913434,0.0682390808205664,24.188685536142735,0.0797604840723587,0.07957636252055245,2.4486394903160683e-92,0.2824189867419658,0.33203874340392736,0.2617077050670687
MRN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,0,5000,0.2548649327864173,5.67676049397106e-75,0.1266823777760991,2.4320482681644675e-19,0.0840823216618329,7.279912554576443e-19,0.6802561259067428,1.236165852916227,26.887309186189597,0.06495613396422484,0.06476905035757508,5.6767604939572e-75,0.2548649327864173,0.1266823777760991,0.0840823216618329
MRN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,5000,0.24995480419348823,4.3225756009731506e-72,0.28756720620825194,8.219233564529369e-96,0.23381243376969346,1.0424532216436123e-134,1.3619357664531728,5.916594630968457e-08,24.94195361649148,0.062477404139404835,0.06228982458841237,4.322575600982371e-72,0.24995480419348823,0.28756720620825194,0.23381243376969346
MRN FP Equity_DX_DSS,0,5000,0.23082456341831323,1.842428106119851e-61,0.14995578349434072,1.5466209263883622e-26,0.11680392756535053,5.400674364348239e-25,0.17207473945692842,3.6131680552001173,27.10134941762351,0.0532799790772549,0.0530905593051616,1.8424281061118634e-61,0.23082456341831323,0.14995578349434072,0.11680392756535053
MRN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,0,5000,0.2210972769585804,2.0499427779799893e-56,0.10253735956892444,3.652919547302634e-13,0.06775730108462981,8.401790205405258e-13,0.678604655913472,0.9649843837133563,27.02743310924857,0.04888400587849895,0.0486937065599472,2.049942777981177e-56,0.2210972769585804,0.10253735956892444,0.06775730108462981
MRN FP Equity_DX_SI_QTY,0,5000,0.1959708285089822,1.8037226102906712e-44,0.11848471837583881,4.254504382507958e-17,0.08124737645860201,7.414192989168062e-18,0.673044557206611,5.88637733919891e-06,27.143353586512184,0.03840456562649719,0.038212169581204436,1.80372261029184e-44,0.1959708285089822,0.11848471837583881,0.08124737645860201
MRN FP Equity_DX_BROKER_SI_QTY,0,5000,0.1586160837914789,1.5643491955364599e-29,0.014353875062502923,0.310215124383782,0.00598282151759799,0.5261992994121811,0.6233917813795418,7.036685911887432e-06,27.47624687350976,0.025159062037345414,0.024964015831270503,1.5643491955364416e-29,0.1586160837914789,0.014353875062502923,0.00598282151759799
MRN FP Equity_DX_BROKER_SI_MV_INC_x,0,5000,0.14276178649699672,3.514403210037735e-24,0.06614738519316249,2.850831919574028e-06,0.05020886717596331,3.2951185957951118e-06,0.029566629082574902,2.0441966225699986,28.112948911701846,0.020380927683814054,0.02018492546846473,3.514403210036325e-24,0.14276178649699672,0.06614738519316249,0.05020886717596331
MRN FP Equity_DX_BROKER_SI_MV_INC_y,0,5000,0.14276178649699672,3.514403210037735e-24,0.06614738519316249,2.850831919574028e-06,0.05020886717596331,3.2951185957951118e-06,0.029566629082574902,2.0441966225699986,28.112948911701846,0.020380927683814054,0.02018492546846473,3.514403210036325e-24,0.14276178649699672,0.06614738519316249,0.05020886717596331
MRN FP Equity_DX_BROKER_SI_MV_DEC,0,5000,0.14273213668176007,3.591849278631406e-24,0.09644435343042468,8.265078241547358e-12,0.07234603908077777,6.075008240309008e-12,0.04353552702336572,1.4842244318893343,28.093796906578326,0.020372462841740657,0.020176458932745445,3.5918492786306324e-24,0.14273213668176007,0.09644435343042468,0.07234603908077777
MRN FP Equity_DX_SUPPLY_SI_QTY,0,5000,0.1389688594292079,5.502248372735173e-23,0.1503341029497238,1.1539003459246321e-26,0.10660282442754451,1.4678429162875133e-29,0.7496103558783176,6.510627007894639e-06,27.49102059125738,0.019312343891055406,0.019116127873426647,5.502248372731496e-23,0.1389688594292079,0.1503341029497238,0.10660282442754451
MRN FP Equity_DX_SUPPLY_SI_MV_DEC,0,5000,0.09643636323796488,8.29793190581305e-12,0.10519817144519607,8.819707388646618e-14,0.07855915250702099,6.792466975275801e-14,0.0330309071128867,1.248774740285871,28.153178555599155,0.009299972154564573,0.009101752861278234,8.297931905816225e-12,0.09643636323796488,0.10519817144519607,0.07855915250702099
MRN FP Equity_DX_BROKER_SI_QTY_DEC,0,5000,0.07932168189430118,1.9504655244655207e-08,0.054928637983322065,0.00010190786143416591,0.040179060485088375,9.839204944766416e-05,0.02987886767891501,3.0929873294034196e-05,28.18644718537712,0.006291929218540715,0.006093108075927445,1.950465524465728e-08,0.07932168189430118,0.054928637983322065,0.040179060485088375
MRN FP Equity_DX_BROKER_SI_QTY_INC,0,5000,0.07409105188038552,1.5634313215082847e-07,0.042226715605371515,0.0028222301038467665,0.03207377426829876,0.002642779829424059,0.03282464391432338,3.848089550312657e-05,28.216194682341765,0.005489483968741604,0.0052905022728569895,1.5634313215075748e-07,0.07409105188038552,0.042226715605371515,0.03207377426829876
MRN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,5000,0.07119008403195581,4.6788600170045426e-07,0.042684219516062896,0.002537350706135791,0.029254374846726647,0.0019470521685682985,0.5514382576599282,0.08581624847078995,27.899991865713442,0.005068028064476593,0.0048689620436812575,4.678860017004809e-07,0.07119008403195581,0.042684219516062896,0.029254374846726647
MRN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,5000,-0.06996130338731565,7.351413692723974e-07,-0.08480102848373505,1.9055645504433167e-09,-0.05427210163757752,8.92713920725147e-09,0.437578226406921,-0.04154079392322646,30.090854344172243,0.004894583971652544,0.004695483248157495,7.351413692725333e-07,0.06996130338731565,0.08480102848373505,0.05427210163757752
MRN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,5000,-0.06649691005161688,2.5253146369649953e-06,-0.06286614578428627,8.643306287404729e-06,-0.040479385174981126,1.8016172898986857e-05,0.38173193184042997,-0.07985915066591712,30.219755448411995,0.004421839046413134,0.004222643736098375,2.5253146369650313e-06,0.06649691005161688,0.06286614578428627,0.040479385174981126
MRN FP Equity_DX_BROKER_SI_CON_RATIO,0,5000,-0.05705592543190807,5.419840594987461e-05,-0.10462078016247435,1.204229930331819e-13,-0.06560329489607533,3.647351539582776e-12,0.4802744748804555,-3.4486428545538406,29.391908384617047,0.003255378626891514,0.0030559499311386684,5.419840594987556e-05,0.05705592543190807,0.10462078016247435,0.06560329489607533
MRN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,5000,-0.05007445075332258,0.0003969020435589138,-0.016199648646739957,0.2520944794933567,0.006271349003580692,0.5076399216776794,1.0259733327662497,-3.8781799373832586e-07,29.18437145400256,0.002507450618247087,0.0023078722770343285,0.0003969020435589346,0.05007445075332258,0.016199648646739957,0.006271349003580692
MRN FP Equity_DX_BROKER_SI_MV_ADD,0,5000,0.04354453748147079,0.0020717117933736736,0.031076661007294875,0.027989532820407975,0.024840818056078726,0.026853461418880127,0.002929384877280228,0.601703459854366,28.322416125246363,0.0018961267444751462,0.0016964260895621086,0.002071711793373298,0.04354453748147079,0.031076661007294875,0.024840818056078726
