feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
MTI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,0,4999,0.1722186794827945,1.3929930060607064e-34,0.264635183523811,7.01998737829277e-81,0.18401649176517873,9.103975339276094e-73,0.5436196856891171,1.7759851478781497,133.97765552234432,0.029659273562797406,0.029465088906716397,1.3929930060604492e-34,0.1722186794827945,0.264635183523811,0.18401649176517873
MTI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4999,0.15610144740102827,1.2225972377982899e-28,0.23257101587619206,2.2186967664898033e-62,0.1891835073547927,5.553282985017667e-62,0.18355636915134288,0.11455862347942239,133.729608448734,0.024367661880695946,0.02417241826690386,1.2225972377921132e-28,0.15610144740102827,0.23257101587619206,0.1891835073547927
MTI FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4999,0.1418884834180129,6.734323246812889e-24,0.21854545023557964,4.0441745203476726e-55,0.17680062588127113,1.3926022571782714e-54,0.19656274237568971,0.10375784328330072,133.92761557108045,0.02013234172666356,0.01993625054029713,6.734323246815169e-24,0.1418884834180129,0.21854545023557964,0.17680062588127113
MTI FP Equity_DX_DSS,0,4999,-0.11561883864038841,2.4011335800242246e-16,-0.12959946180218967,3.59020737734761e-20,-0.10586499410605286,5.0834417375978335e-20,0.024144323827489877,-33.23366497499305,136.58693770226532,0.013367715848552564,0.01317027092476808,2.401133580019744e-16,0.11561883864038841,0.12959946180218967,0.10586499410605286
MTI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4999,0.11496793746400537,3.530635189613044e-16,0.15837600045783073,1.928702208869197e-29,0.12491608600186577,2.1046275856671975e-31,0.4711925270632955,0.07542962175849999,132.88771464190515,0.013217626644727365,0.013020151685080528,3.530635189614332e-16,0.11496793746400537,0.15837600045783073,0.12491608600186577
MTI FP Equity_DX_BROKER_SI_CON_RATIO,0,4999,0.1122957552012443,1.6801722936272288e-15,0.1589484893632047,1.2064519756749306e-29,0.12694591852885773,2.4946601020884534e-32,0.4553257776045645,7.460955949004472,133.0311618776163,0.012610336636217911,0.012412740145650858,1.6801722936282186e-15,0.1122957552012443,0.1589484893632047,0.12694591852885773
MTI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4999,0.10623417005588585,5.0516095335739256e-14,0.24767308528156906,9.270831403934557e-71,0.19297720835337648,1.3013186132286889e-70,0.6290381989050562,1.3001036080212785e-05,135.45172462639638,0.01128569888746267,0.011087837310293946,5.051609533564217e-14,0.10623417005588585,0.24767308528156906,0.19297720835337648
MTI FP Equity_DX_SUPPLY_SI_MV,0,4999,0.10326291345925354,2.501861113801393e-13,0.18390917860877626,2.8192267848301806e-39,0.14003945350621105,1.346028836539509e-37,0.4599844010116194,12.630851033198498,135.46713214315074,0.010663229296092869,0.010465243150264647,2.501861113796701e-13,0.10326291345925354,0.18390917860877626,0.14003945350621105
MTI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4999,0.08839719579444394,3.8326268422878513e-10,0.09928960075898402,1.981662748623967e-12,0.07907057462571661,6.544677612070466e-13,0.4143073093522136,0.18613949177604472,135.08875963127153,0.007814064224321293,0.0076155079033736195,3.832626842273125e-10,0.08839719579444394,0.09928960075898402,0.07907057462571661
MTI FP Equity_DX_SUPPLY_SI_MV_DEC,0,4999,0.08679866475800467,7.893842492140045e-10,0.2074445539975785,1.0104954423448584e-49,0.1677947457681698,1.5086214817704116e-48,0.031242709178024297,24.86036313923949,135.94359818409777,0.007534008203772258,0.007335395837993586,7.893842492133355e-10,0.08679866475800467,0.2074445539975785,0.1677947457681698
MTI FP Equity_DX_SUPPLY_SI_QTY_DEC,0,4999,0.07792942148338246,3.4502315618402e-08,0.19982154370667615,3.4290762597441887e-46,0.16100720149268502,5.659858463449853e-45,0.03704625396983974,0.003404723968198416,135.9829016027059,0.006072994732734149,0.00587408998883443,3.450231561840495e-08,0.07792942148338246,0.19982154370667615,0.16100720149268502
MTI FP Equity_DX_SUPPLY_SI_QTY,0,4999,0.07689027559853845,5.2355525068234096e-08,0.23622942245334813,2.3451930342998258e-64,0.18302261663442113,2.4631865474704613e-63,0.4941592595701838,0.001425836578743996,135.6624849733182,0.005912114481619435,0.005713177542352232,5.2355525068202484e-08,0.07689027559853845,0.23622942245334813,0.18302261663442113
MTI FP Equity_DX_BROKER_SI_MV_INC_y,0,4999,0.07102286162915494,4.990828751645398e-07,0.14341398582025153,2.1961685192427252e-24,0.11565187853617748,4.758068663008237e-24,0.023375976258398712,11.702379912611054,135.9366822664983,0.005044246873993963,0.004845136256998561,4.990828751644096e-07,0.07102286162915494,0.14341398582025153,0.11565187853617748
MTI FP Equity_DX_BROKER_SI_MV_INC_x,0,4999,0.07102286162915494,4.990828751645398e-07,0.14341398582025153,2.1961685192427252e-24,0.11565187853617748,4.758068663008237e-24,0.023375976258398712,11.702379912611054,135.9366822664983,0.005044246873993963,0.004845136256998561,4.990828751644096e-07,0.07102286162915494,0.14341398582025153,0.11565187853617748
MTI FP Equity_DX_BROKER_SI_QTY_INC,0,4999,0.061373530829181046,1.4097413118983845e-05,0.13970947868558484,3.2671156259121237e-23,0.11260451761755588,6.809634465290355e-23,0.024758275687825515,0.001482008750554528,135.98153732009683,0.003766710286440267,0.0035673440087309327,1.4097413118976944e-05,0.061373530829181046,0.13970947868558484,0.11260451761755588
MTI FP Equity_DX_SUPPLY_SI_QTY_ADD,0,4999,0.05813510596907525,3.908682596464845e-05,0.19954815331301887,4.562047993740249e-46,0.16180948766663908,4.208882245591285e-45,0.030342658540806644,0.0032338860991290718,136.08639159078177,0.0033796905460353743,0.0031802468179077392,3.9086825964636935e-05,0.05813510596907525,0.19954815331301887,0.16180948766663908
MTI FP Equity_DX_BROKER_SI_MV_DEC,0,4999,0.05760081136100114,4.60242346711615e-05,0.14618525306165941,2.7797858374850787e-25,0.11625279011598658,1.0844534620696308e-24,0.03474244632302259,5.012871679226667,135.95738396308485,0.0033178534694456863,0.0031183973664778986,4.6024234671164796e-05,0.05760081136100114,0.14618525306165941,0.11625279011598658
MTI FP Equity_DX_SHORT_INTEREST_VALUE,0,4999,0.05431715875172424,0.00012188913778309873,0.21835633569989152,5.027477310048627e-55,0.15216112136971705,1.1647124736712762e-50,0.9399365385446625,1.2070735618374953e-06,135.57549052334892,0.0029503537348597453,0.002750824087818571,0.00012188913778310011,0.05431715875172424,0.21835633569989152,0.15216112136971705
MTI FP Equity_DX_SI_MV,0,4999,0.052990253369206944,0.00017803824357442278,0.19523458202516605,3.902095413988745e-44,0.13408256297662768,3.632982236090585e-39,0.8628457006920991,1.1753663470585929,135.59103080017493,0.002807966952132479,0.002608408810638063,0.00017803824357442272,0.052990253369206944,0.19523458202516605,0.13408256297662768
MTI FP Equity_DX_SUPPLY_SI_QTY_INC_x,0,4999,0.051628078742073695,0.0002603945737780735,0.08401253955044125,2.6974746365857713e-09,0.06816918099101024,3.1388178909316176e-09,0.010444661429163116,0.003041610881888009,136.12648531889633,0.0026654585145972076,0.0024658718543040248,0.00026039457377810245,0.051628078742073695,0.08401253955044125,0.06816918099101024
