feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
NRJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,4631,0.4251768003842537,1.0268257663260255e-202,0.5977781565043695,0.0,0.4439045800935966,0.0,0.4885517806910311,0.08910892690335535,20.89604439787622,0.1807753115849916,0.1805983349834761,1.026825766329734e-202,0.4251768003842537,0.5977781565043695,0.4439045800935966
NRJ FP Equity_DX_ACTIVE_UTILIZATION_MV,0,4631,0.4251006619414642,1.233117915027998e-202,0.5977834820759488,0.0,0.4439132712155727,0.0,0.4889153833582278,0.08909347049368241,20.8967857954298,0.1807105727830708,0.18053358219607207,1.2331179150280125e-202,0.4251006619414642,0.5977834820759488,0.4439132712155727
NRJ FP Equity_DX_SUPPLY_SI_QTY,0,4631,0.39207917648823,5.004886846700204e-170,0.6665231027952349,0.0,0.5142870113307,0.0,0.705219019932732,7.412518103453934e-05,22.70121673968929,0.1537260806356885,0.15354326060558166,5.004886846735995e-170,0.39207917648823,0.6665231027952349,0.5142870113307
NRJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,0,4631,0.3890907853798966,2.9624994822479087e-167,0.6808039295411215,0.0,0.535119181494533,0.0,0.7149005746897936,1.8414178030518003e-06,22.811701255360884,0.15139163926754473,0.15120831492951647,2.9624994822679664e-167,0.3890907853798966,0.6808039295411215,0.535119181494533
NRJ FP Equity_DX_SUPPLY_SI_MV,0,4631,0.38888348520380966,4.601504289001221e-167,0.6793124991756873,0.0,0.5327032246865102,0.0,0.6870432692686816,1.8420450743917582,22.81033413631541,0.15123036506426157,0.15104700588626718,4.601504289021773e-167,0.38888348520380966,0.6793124991756873,0.5327032246865102
NRJ FP Equity_DX_SHORT_INTEREST_VALUE,0,4631,0.3481849831929026,4.194740051905518e-132,0.54922198899309,0.0,0.4039357635826205,0.0,0.7513258135202476,8.684982877393864e-07,22.81330809189007,0.12123278252104164,0.12104294298388907,4.194740051915801e-132,0.3481849831929026,0.54922198899309,0.4039357635826205
NRJ FP Equity_DX_SI_MV,0,4631,0.3462976286768979,1.3280650299331866e-130,0.54784382050813,0.0,0.40385359425905515,0.0,0.7539889522103653,0.8549250281848478,22.805213528129087,0.11992204762724246,0.11973192493284346,1.3280650299379103e-130,0.3462976286768979,0.54784382050813,0.40385359425905515
NRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_2,0,4631,0.3166959420077281,2.1427875482810737e-108,0.44711275089136276,1.7118601673259703e-226,0.32568614133465895,7.370992998378975e-198,0.5199209727541039,0.20106764018023504,22.02956599493627,0.1002963196841622,0.10010195725592363,2.142787548280022e-108,0.3166959420077281,0.44711275089136276,0.32568614133465895
NRJ FP Equity_DX_SI_QTY,0,4631,0.31604679802635244,6.175233663094294e-108,0.49393650712930387,1.775999503492838e-283,0.35393528811906777,1.0537281615892025e-258,0.7590449883137871,3.0632179592910056e-05,22.700177828904526,0.09988557854271018,0.09969112738231756,6.175233663094038e-108,0.31604679802635244,0.49393650712930387,0.35393528811906777
NRJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,0,4631,0.29112897022173956,3.8117892211830973e-91,0.5136707504434048,2.76270431958547e-310,0.37624712016126477,1.2285320661380848e-292,0.7378957808681692,8.453284167808125e-07,23.09777048472315,0.08475607730237056,0.08455835772520526,3.811789221177796e-91,0.29112897022173956,0.5136707504434048,0.37624712016126477
NRJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,4631,0.28650884657261655,3.271617702675214e-88,0.2837429198418292,1.7566704464339166e-86,0.21340705803404744,3.6829924771430244e-79,0.44334715151570214,4.422551205078302e-07,23.264530757636916,0.08208731916437129,0.08188902305704016,3.27161770268417e-88,0.28650884657261655,0.2837429198418292,0.21340705803404744
NRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,4631,0.2863599284578198,4.0588542694431164e-88,0.3136220237419904,3.144494029336864e-106,0.239209729860699,3.33281774848662e-98,0.38151217288987094,0.4415471885595133,23.265839321091935,0.08200200862636764,0.08180369408945387,4.058854269455058e-88,0.2863599284578198,0.3136220237419904,0.239209729860699
NRJ FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,4631,0.2757063544356696,1.4459314396056187e-81,0.30091842263709606,1.5180512133284029e-97,0.21393134683185439,1.9523967733561625e-91,0.5874422261620249,0.06086136406479443,20.755764126605488,0.07601399387620711,0.07581438575217947,1.4459314396028217e-81,0.2757063544356696,0.30091842263709606,0.21393134683185439
NRJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,4631,0.2729839026221352,6.139867311417393e-80,0.27678722313150744,3.225541586840301e-82,0.20683224040050216,2.576390750403733e-74,0.4599992991511037,1.5974617030468776e-05,23.24727430562274,0.07452021109081164,0.07432028026581494,6.139867311429036e-80,0.2729839026221352,0.27678722313150744,0.20683224040050216
