feature,lag,n_pairs,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,mutual_info,ols_slope,ols_intercept,ols_r2,ols_adj_r2,ols_slope_p,abs_pearson,abs_spearman,abs_kendall
PABW FP Equity_DX_UTILIZATION_QUANTITY,0,446,0.304426562929392,5.11401693276393e-11,0.45936675844032365,1.15131435545391e-24,0.36485399512292477,9.507922854790899e-24,0.41012945990066974,0.07475209052707331,72.01380893364939,0.09267553221700298,0.09063200864091503,5.11401693276319e-11,0.304426562929392,0.45936675844032365,0.36485399512292477
PABW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,0,446,0.29444615522476786,2.2679049845663626e-10,0.45124505564112743,9.296621326270496e-24,0.3688657734711258,1.7481164539907814e-21,0.19382302021748776,0.051384758051389874,71.79861639344266,0.08669853832664809,0.0846415530526089,2.267904984565861e-10,0.29444615522476786,0.45124505564112743,0.3688657734711258
PABW FP Equity_DX_BROKER_SI_CON_RATIO,0,446,0.28905570992593355,4.951525090278615e-10,0.44352198210725896,6.436553453697715e-23,0.36255262398165994,8.272921915593055e-21,0.18564175893185486,5.063990345183113,71.84487296416933,0.08355320344078554,0.08148913407916558,4.951525090279264e-10,0.28905570992593355,0.44352198210725896,0.36255262398165994
PABW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,0,446,0.284533300712337,9.413828319196336e-10,0.43722594784762914,3.0060383835592904e-22,0.35740599352455854,2.881173084478279e-20,0.18089857666480924,0.049946620082815876,71.87767857142859,0.0809591992142572,0.07888928750077573,9.41382831919592e-10,0.284533300712337,0.43722594784762914,0.35740599352455854
PABW FP Equity_DX_ACTIVE_UTILIZATION_MV,0,446,0.284533300712337,9.413828319196336e-10,0.43722594784762914,3.0060383835592904e-22,0.35740599352455854,2.881173084478279e-20,0.18089857666480924,0.049946620082815876,71.87767857142859,0.0809591992142572,0.07888928750077573,9.41382831919592e-10,0.284533300712337,0.43722594784762914,0.35740599352455854
PABW FP Equity_DX_DEMAND_SUPPLY_RATIO,0,446,0.25677498411011423,3.7974187247339024e-08,0.4540121973605827,4.5918048413741106e-24,0.3655599819555929,7.804755787272411e-24,0.4038872442885766,5.510345665336602,72.30055585531328,0.06593339246474939,0.06382963884417436,3.797418724733335e-08,0.25677498411011423,0.4540121973605827,0.3655599819555929
PABW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,0,446,0.1763128341400375,0.0001822647621179203,-0.15049950213880958,0.001434537618347784,-0.07229707859230003,0.042013301197967354,0.4718930495683267,1.1153347163270656e-05,73.13417159494108,0.03108621548249213,0.02890397722907423,0.00018226476211788916,0.1763128341400375,0.15049950213880958,0.07229707859230003
PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,0,446,0.17494026596840803,0.00020496657101735103,-0.15460044581607377,0.0010546989606034537,-0.09123803586897568,0.010932577436112614,0.41681646245891746,0.0009016887215478261,73.13280473030949,0.030604096657097513,0.028420772550469264,0.00020496657101736878,0.17494026596840803,0.15460044581607377,0.09123803586897568
PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,0,446,0.17379736368211707,0.00022586223994680858,-0.22583860429680916,1.446950958336206e-06,-0.1866734561311566,9.727400447750076e-07,0.3625726484335272,10.994309322883135,73.13247778718207,0.030205523622854114,0.02802130182921181,0.0002258622399467755,0.17379736368211707,0.22583860429680916,0.1866734561311566
PABW FP Equity_DX_SUPPLY_SI_MV,0,446,0.1223510281985533,0.009699312024171399,0.24233829777094498,2.207742967933597e-07,0.19911477983385442,2.4162832237977503e-07,0.09472997357470958,29.628704358743096,73.29423388687003,0.014969774101242894,0.01275123755642582,0.00969931202417217,0.1223510281985533,0.24233829777094498,0.19911477983385442
